name,slug,shortName,gender,userCount,nameCode,disabled,national,type,team.id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text,team.image
San Lorenzo,san-lorenzo,San Lorenzo,M,20812,SLO,False,False,0,3201,San Lorenzo,-1948752000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Pedro Bidegain,47964,14324,AR,Argentina,AR,Argentina,#ff0000,#000033,#000033,https://api.sofascore.app/api/v1/team/3201/image
Talleres,talleres,Talleres,M,16143,CAT,False,False,0,3210,Talleres,-1774224000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Mario Alberto Kempes,57000,16068,AR,Argentina,AR,Argentina,#050040,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3210/image
River Plate,river-plate,River,M,97385,RIV,False,False,0,3211,River Plate,-2165011200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Mâs Monumental,86049,1009,AR,Argentina,AR,Argentina,#ffffff,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/3211/image
Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,20288,DYJ,False,False,0,36839,Defensa y Justicia,-1097798400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Norberto Tomaghello,12000,12025,AR,Argentina,AR,Argentina,#ffff00,#339900,#339900,https://api.sofascore.app/api/v1/team/36839/image
Godoy Cruz,godoy-cruz,Godoy Cruz,M,12555,GOD,,False,0,6074,Godoy Cruz,-1533254400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Malvinas Argentinas,40628,2249,AR,Argentina,AR,Argentina,#002593,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/6074/image
Racing Club,racing-club,Racing,M,31894,RAC,False,False,0,3215,Racing Club,-2107209600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Presidente Perón,51389,1082,AR,Argentina,AR,Argentina,#00ccff,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3215/image
Boca Juniors,boca-juniors,Boca Juniors,M,112498,BOC,False,False,0,3202,Boca Juniors,-2043273600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Alberto J. Armando,54000,572,AR,Argentina,AR,Argentina,#003399,#ffcc66,#ffcc66,https://api.sofascore.app/api/v1/team/3202/image
Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,9635,GLP,False,False,0,3205,Gimnasia y Esgrima,-2605996800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Juan Carmelo Zerillo,21500,12003,AR,Argentina,AR,Argentina,#ffffff,#000033,#000033,https://api.sofascore.app/api/v1/team/3205/image
Sarmiento,sarmiento,Sarmiento,M,6892,CAS,False,False,0,42338,Sarmiento,-1854144000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Eva Perón,22000,8975,AR,Argentina,AR,Argentina,#006600,#006600,#006600,https://api.sofascore.app/api/v1/team/42338/image
Lanús,lanus,Lanús,M,13117,LAN,False,False,0,3218,Lanús,-1735516800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Ciudad de Lanus,46619,981,AR,Argentina,AR,Argentina,#660033,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3218/image
Tigre,tigre,Tigre,M,12755,TIG,False,False,0,7628,Tigre,-2127427200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Jose Dellagiovanna,26282,4738,AR,Argentina,AR,Argentina,#000099,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/7628/image
Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,19880,ELP,False,False,0,3206,Estudiantes de La Plata,-2032646400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Jorge Luis Hirschi Stadium,32500,1050,AR,Argentina,AR,Argentina,#ff0000,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3206/image
Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,17754,ARG,False,False,0,3216,Argentinos Juniors,-2063232000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Diego Armando Maradona,24380,613,AR,Argentina,AR,Argentina,#cc0000,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3216/image
Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,13105,CAT,False,False,0,36833,Atlético Tucumán,-2122675200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Monumental Jose Fierro,35200,12017,AR,Argentina,AR,Argentina,#ffffff,#33ccff,#33ccff,https://api.sofascore.app/api/v1/team/36833/image
Newell's Old Boys,newells-old-boys,Newell's,M,14714,NOB,False,False,0,3212,Newell's Old Boys,-2087942400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Marcelo Bielsa,42000,1567,AR,Argentina,AR,Argentina,#ff0000,#000000,#000000,https://api.sofascore.app/api/v1/team/3212/image
Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,15577,VEL,False,False,0,3208,Vélez Sarsfield,-1893456000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Jose Amalfitani,49540,1079,AR,Argentina,AR,Argentina,#ffffff,#003366,#003366,https://api.sofascore.app/api/v1/team/3208/image
Barracas Central,barracas-central,Barracas,M,7506,BAR,,False,0,65668,Barracas Central,-2074636800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Barracas Central,4400,12710,AR,Argentina,AR,Argentina,#ffffff,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/65668/image
Rosario Central,rosario-central,Rosario Central,M,12771,ROS,False,False,0,3217,Rosario Central,-2525212800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Gigante de Arroyito,45000,1329,AR,Argentina,AR,Argentina,#000066,#ffcc00,#ffcc00,https://api.sofascore.app/api/v1/team/3217/image
Instituto Córdoba,instituto-cordoba,Instituto,M,7816,IAC,,False,0,4937,Instituto Córdoba,-1622073600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Juan Domingo Perón,30000,16019,AR,Argentina,AR,Argentina,#e72328,#222226,#222226,https://api.sofascore.app/api/v1/team/4937/image
Central Córdoba,central-cordoba,Central Córdoba,M,7920,CC,False,False,0,65676,Central Córdoba,-1596240000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Alfredo Terrera,20000,28238,AR,Argentina,AR,Argentina,#ffffff,#000000,#000000,https://api.sofascore.app/api/v1/team/65676/image
Belgrano,belgrano,Belgrano,M,11438,BEL,,False,0,3203,Belgrano,-2044569600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Julio César Villagra,34830,4750,AR,Argentina,AR,Argentina,#3399ff,#3399ff,#3399ff,https://api.sofascore.app/api/v1/team/3203/image
Huracán,huracan,Huracán,M,14673,HUR,False,False,0,7629,Huracán,-1930262400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Tomas Adolfo Duco,48314,12021,AR,Argentina,AR,Argentina,#ffffff,#dd0000,#dd0000,https://api.sofascore.app/api/v1/team/7629/image
Banfield,banfield,Banfield,M,9885,BAN,False,False,0,3219,Banfield,-2333491200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Florencio Sola,34901,634,AR,Argentina,AR,Argentina,#009900,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/3219/image
Unión,union,Unión,M,8735,UNI,False,False,0,3204,Unión,-2042236800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio 15 de Abril,30000,4754,AR,Argentina,AR,Argentina,#ffffff,#cc0000,#cc0000,https://api.sofascore.app/api/v1/team/3204/image
Colón,colon,Colón,M,10059,COL,False,False,0,3207,Colón,-2040508800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Brigadier Estanislao Lopez,40000,1566,AR,Argentina,AR,Argentina,#000000,#cc0000,#cc0000,https://api.sofascore.app/api/v1/team/3207/image
Platense,platense,Platense,M,9202,PLA,,False,0,36837,Platense,-2038780800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Ciudad de Vicente Lopez,31000,12712,AR,Argentina,AR,Argentina,#442b0b,#f2f2f2,#f2f2f2,https://api.sofascore.app/api/v1/team/36837/image
Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,8462,ARS,False,False,0,3221,Arsenal de Sarandí,-409363200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Estadio Julio Humberto Grondona,16300,586,AR,Argentina,AR,Argentina,#00ccff,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/3221/image
Independiente,independiente,Independiente,M,17395,CAI,False,False,0,3209,Independiente,-2051222400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Libertadores de America,50655,1099,AR,Argentina,AR,Argentina,#cc0000,#cc0000,#cc0000,https://api.sofascore.app/api/v1/team/3209/image
