goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8.6,890061,47700
7,78.57,3,0,0,0,0.0,28,25.0,0,0,2,2,14,0,0,0,0.0,22,11,0,7,7,0.0,7.73,840066,7059
1,0.0,0,0,0,0,,1,100.0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0.0,7.5,989584,268083
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.5,989573,423192
8,70.0,5,0,0,3,0.0,49,16.33,15,0,5,6,25,3,0,1,100.0,21,19,3,8,7,0.0,7.46,1476548,6968
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.4,1184211,7878
5,46.3,13,0,1,2,,52,9.62,6,0,4,3,23,0,1,3,0.0,25,16,0,4,2,16.67,7.38,579384,321264
22,58.54,8,3,2,6,0.0,96,22.92,0,5,16,11,44,3,0,5,100.0,24,44,3,20,12,0.0,7.37,1099312,268083
21,27.27,10,0,2,2,0.0,85,24.71,0,5,15,7,39,1,0,4,0.0,3,36,0,19,11,0.0,7.33,897007,47700
3,62.5,7,0,0,1,,29,10.34,2,0,2,2,11,0,0,3,0.0,10,11,0,3,0,0.0,7.3,1184178,268082
1,72.88,10,0,0,1,0.0,32,3.13,10,0,1,0,6,0,0,0,0.0,43,16,0,1,1,0.0,7.29,386274,268082
22,52.94,11,2,1,5,0.0,94,23.4,0,4,18,12,40,9,0,7,88.89,18,43,8,21,11,0.0,7.29,340419,32529
0,0.0,0,0,0,0,,1,0.0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,0,0.0,7.28,894214,268083
2,56.52,6,0,0,0,0.0,27,7.41,1,0,7,2,12,0,0,0,0.0,13,9,0,2,2,0.0,7.28,38406,47700
2,25.0,3,1,1,3,,29,6.9,9,0,3,0,8,0,0,0,0.0,1,18,0,1,2,0.0,7.26,311400,33820
