tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
0,0,0,0,0,0,0,0,0,7.7,145054,1955
0,0,0,0,0,0,0,2,0,7.6,1507616,1982
0,0,5,1,0,0,0,19,0,7.5,840103,1966
24,0,4,6,0,0,0,15,15,7.49,840020,1963
25,0,9,1,0,0,0,35,14,7.45,34705,1977
0,0,1,0,1,0,0,3,0,7.45,839514,5926
1,0,1,6,0,0,0,19,0,7.33,358530,1968
0,0,1,0,0,0,0,2,0,7.3,1106840,1955
0,0,1,0,1,0,0,4,0,7.3,1119887,1967
5,0,1,6,0,0,0,0,7,7.29,147464,1963
10,0,3,4,0,0,0,5,14,7.27,16943,5926
0,0,1,0,1,0,0,0,0,7.27,34141,1963
16,0,1,3,0,0,0,29,10,7.26,789100,1958
32,0,2,7,0,0,0,14,19,7.24,333587,5981
28,2,10,10,0,0,0,60,4,7.21,338937,1981
0,0,8,0,0,0,0,12,0,7.21,1140986,5981
0,0,5,0,3,0,0,16,0,7.21,1105835,5981
15,0,1,6,0,0,0,0,13,7.2,808785,1967
0,0,1,0,0,0,0,1,0,7.2,942061,1954
0,0,1,0,0,0,0,2,0,7.2,879859,2020
0,0,1,0,0,0,0,2,0,7.2,1018555,1977
3,0,0,3,0,0,0,1,8,7.18,1046501,2020
10,0,1,3,0,0,0,5,3,7.17,954719,1982
7,0,5,4,0,0,0,30,13,7.17,583974,1974
19,0,4,10,0,0,0,71,3,7.16,826343,1957
50,0,13,25,0,0,0,19,28,7.15,331397,1999
39,0,4,17,0,0,0,16,19,7.15,885179,1977
41,0,6,42,0,0,0,111,8,7.15,385916,1977
33,0,2,9,0,0,0,8,7,7.15,245159,1954
66,1,12,77,2,0,0,76,52,7.14,870556,1999
1,1,1,1,0,0,0,2,0,7.13,358418,2020
108,0,13,46,0,0,0,59,48,7.13,870787,1954
0,0,15,2,2,0,0,38,1,7.13,844576,1999
7,0,1,5,0,0,0,15,5,7.13,340519,1981
0,0,14,1,0,0,0,35,0,7.12,870748,1977
12,0,9,26,0,1,0,67,6,7.12,250351,1963
15,0,5,27,0,1,1,64,5,7.12,869643,1999
46,0,11,28,1,1,0,82,22,7.12,358548,5981
42,1,14,21,0,0,0,138,7,7.12,840220,5981
53,0,8,42,0,0,0,30,13,7.12,273329,1963
0,1,12,0,1,0,0,33,0,7.12,17785,1961
51,0,7,8,1,0,0,15,34,7.11,844096,1961
3,0,9,1,1,0,0,40,3,7.11,358524,1955
37,0,5,7,0,1,0,16,13,7.11,82576,1963
0,2,14,0,1,0,0,30,1,7.11,871290,1958
21,0,4,10,0,0,0,5,17,7.11,255873,1955
34,0,0,8,0,0,0,1,9,7.11,1105970,1957
6,0,2,1,0,0,0,9,1,7.11,777341,1957
0,0,0,3,0,0,0,12,0,7.1,583824,1982
0,0,0,0,0,0,0,0,1,7.1,931574,1968
1,0,0,2,0,0,0,10,0,7.1,1111123,1999
16,0,4,13,0,0,0,82,4,7.09,44691,1974
59,0,7,45,1,1,0,173,14,7.08,1047740,1968
0,0,14,0,0,1,0,15,1,7.08,124980,1954
29,0,1,20,0,0,0,9,24,7.08,1106839,5926
