saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,rating,player.id,team.id
6,5,0,0,0,1,0,0,0,0,0,0,1,7.7,145054,1955
5,3,2,0,0,2,0,1,1,0,0,0,4,7.6,1507616,1982
35,22,12,0,5,12,6,0,5,5,0,0,1,7.5,840103,1966
0,0,0,0,4,0,0,0,12,0,0,7,0,7.49,840020,1963
0,0,0,0,9,0,0,0,19,0,0,4,0,7.45,34705,1977
8,6,3,0,1,2,2,0,1,2,0,0,4,7.45,839514,5926
0,0,0,0,1,0,0,0,2,0,0,1,0,7.33,358530,1968
7,5,2,0,1,2,1,0,1,1,0,0,1,7.3,1106840,1955
24,11,2,0,1,13,3,1,5,3,0,1,1,7.3,1119887,1967
0,0,0,0,1,0,0,0,8,0,0,1,0,7.29,147464,1963
0,0,0,0,3,0,0,0,41,0,0,3,0,7.27,16943,5926
13,7,0,0,1,6,0,1,3,0,0,0,5,7.27,34141,1963
0,0,0,0,1,0,0,0,20,0,0,4,0,7.26,789100,1958
0,0,0,0,2,0,0,0,18,0,0,2,0,7.24,333587,5981
0,0,0,0,10,0,0,0,10,0,0,1,0,7.21,338937,1981
40,21,9,2,8,19,1,1,9,1,0,1,5,7.21,1140986,5981
77,48,6,0,5,28,7,4,19,7,1,3,8,7.21,1105835,5981
0,0,0,0,1,0,0,0,20,0,0,4,0,7.2,808785,1967
1,0,1,0,1,1,0,0,0,0,0,0,0,7.2,942061,1954
1,1,1,0,1,0,0,0,0,0,0,0,1,7.2,879859,2020
7,5,0,0,1,2,0,0,1,0,0,0,2,7.2,1018555,1977
0,0,0,0,0,0,0,0,3,0,0,2,0,7.18,1046501,2020
0,0,0,0,1,0,0,0,13,0,0,4,0,7.17,954719,1982
0,0,0,0,5,0,0,0,16,0,0,3,0,7.17,583974,1974
0,0,0,0,4,0,0,0,15,0,0,2,0,7.16,826343,1957
0,0,0,0,13,0,0,0,19,0,0,1,0,7.15,331397,1999
0,0,0,0,4,0,0,0,17,0,0,4,0,7.15,885179,1977
0,0,0,0,6,0,0,0,17,0,0,2,0,7.15,385916,1977
0,0,0,0,2,0,0,0,15,0,0,3,0,7.15,245159,1954
0,0,0,0,12,0,0,0,25,0,0,1,0,7.14,870556,1999
24,11,1,0,1,12,0,1,5,0,0,0,2,7.13,358418,2020
0,0,0,0,13,0,0,0,26,0,0,4,0,7.13,870787,1954
86,56,19,0,15,30,21,7,24,19,1,1,14,7.13,844576,1999
0,0,0,0,1,0,0,0,14,0,0,4,0,7.13,340519,1981
97,58,19,0,14,38,11,1,22,10,0,4,27,7.12,870748,1977
0,0,0,0,9,0,0,0,13,0,0,4,0,7.12,250351,1963
0,0,0,0,5,0,0,0,12,0,0,1,0,7.12,869643,1999
0,0,0,0,11,0,0,0,28,0,0,4,0,7.12,358548,5981
0,0,0,0,14,0,0,0,29,0,0,4,0,7.12,840220,5981
0,0,0,0,8,0,0,0,14,0,0,7,0,7.12,273329,1963
101,57,19,1,12,42,13,5,34,13,0,3,39,7.12,17785,1961
0,0,0,0,7,0,0,0,25,0,0,2,0,7.11,844096,1961
130,74,15,0,9,55,18,6,43,17,0,4,23,7.11,358524,1955
0,0,0,0,5,0,0,0,7,0,0,0,0,7.11,82576,1963
128,68,11,3,14,60,18,1,28,18,0,5,29,7.11,871290,1958
0,0,0,0,4,0,0,0,28,0,0,4,0,7.11,255873,1955
0,0,0,0,0,0,0,0,9,0,0,0,0,7.11,1105970,1957
0,0,0,0,2,0,0,0,17,0,0,1,0,7.11,777341,1957
0,0,0,0,0,0,0,0,3,0,0,0,0,7.1,583824,1982
0,0,0,0,0,0,0,0,0,0,0,1,0,7.1,931574,1968
0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,1111123,1999
0,0,0,0,4,0,0,0,6,0,0,3,0,7.09,44691,1974
0,0,0,0,7,0,0,0,42,0,0,8,0,7.08,1047740,1968
104,67,8,1,14,34,9,3,27,9,0,4,15,7.08,124980,1954
0,0,0,0,1,0,0,0,19,0,0,2,0,7.08,1106839,5926
0,0,0,0,3,0,0,0,13,0,0,1,0,7.08,1199282,1957
0,0,0,0,9,0,0,0,17,0,0,5,0,7.07,874729,1963
0,0,0,0,7,0,0,0,16,0,0,4,0,7.07,243113,1966
0,0,0,0,9,0,0,0,28,0,0,2,0,7.07,611876,5981
0,0,0,0,12,0,0,0,27,0,0,2,0,7.07,795261,1958
0,0,0,0,1,0,0,0,0,0,0,2,0,7.07,1129429,2020
97,52,12,0,14,45,7,4,22,6,1,7,32,7.07,243529,1963
0,0,0,0,0,0,0,0,30,0,0,1,0,7.07,558820,5926
0,0,0,0,9,0,0,0,31,0,0,3,0,7.07,1035996,1961
0,0,0,0,0,0,0,0,14,0,0,0,0,7.06,906837,1999
0,0,0,0,4,0,0,0,12,0,0,0,0,7.06,875402,1981
13,4,4,0,2,9,1,2,4,1,0,0,2,7.06,874979,1981
0,0,0,0,10,0,0,0,22,0,0,2,0,7.06,817650,1954
0,0,0,0,1,0,0,0,15,0,0,1,0,7.06,17787,1961
0,0,0,0,0,0,0,0,24,0,0,3,0,7.05,109610,1960
0,0,0,0,0,0,0,0,3,0,0,1,0,7.05,904505,1958
0,0,0,0,1,0,0,0,3,0,0,0,0,7.05,897617,1954
0,0,0,0,4,0,0,0,12,0,0,0,0,7.05,925189,1999
0,0,0,0,14,0,0,0,25,0,0,4,0,7.05,587148,1958
0,0,0,0,8,0,0,0,17,0,0,7,0,7.05,1108441,1981
128,65,22,0,9,61,2,5,42,2,1,7,30,7.04,595598,1974
113,66,18,2,9,47,9,3,40,8,0,4,41,7.04,552172,1960
0,0,0,0,0,0,0,0,4,0,0,1,0,7.04,243425,1974
133,62,15,0,8,71,4,7,41,4,0,5,26,7.04,27756,1957
0,0,0,0,5,0,0,0,40,0,0,2,0,7.03,243109,5926
0,0,0,0,1,0,0,0,22,0,0,1,0,7.03,787607,1961
0,0,0,0,0,0,0,0,2,0,0,0,0,7.03,874030,1977
0,0,0,0,1,0,0,0,20,0,0,3,0,7.03,116853,1961
0,0,0,0,0,0,0,0,17,0,0,1,0,7.03,34152,1957
0,0,0,0,3,0,0,0,1,0,0,0,0,7.03,841129,1977
124,69,16,0,8,54,7,6,40,6,1,6,22,7.02,795177,1968
44,28,10,3,0,16,4,1,19,4,0,3,9,7.02,839762,1973
0,0,0,0,3,0,0,0,9,0,0,3,0,7.02,841128,1963
0,0,0,0,7,0,0,0,17,0,0,5,0,7.02,12634,1981
0,0,0,0,7,0,0,0,27,0,0,5,0,7.02,330057,2020
0,0,0,0,11,0,0,0,26,0,0,4,0,7.02,840202,1958
0,0,0,0,1,0,0,0,5,0,0,2,0,7.02,139300,1954
0,0,0,0,1,0,0,0,14,0,0,1,0,7.02,21300,5981
0,0,0,0,9,0,0,0,14,0,0,4,0,7.02,1127439,1977
