bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.id,team.id
0,38,1,5,0,57.89,0,26.32,22,21,0,0,16,1,0.0,8.6,890061,47700
5,307,131,12,7,78.18,24,57.14,240,52,7,0,67,195,33.33,7.73,840066,7059
0,2,1,0,0,50.0,0,0.0,1,0,0,0,1,1,0.0,7.5,989584,268083
0,36,1,9,0,72.22,0,50.0,26,22,0,0,10,4,0.0,7.5,989573,423192
5,606,184,53,4,68.32,59,50.0,414,130,33,0,192,317,29.46,7.46,1476548,6968
0,11,2,4,0,72.73,0,57.14,8,4,0,0,3,4,0.0,7.4,1184211,7878
3,677,281,56,0,80.35,42,62.92,544,130,25,0,133,439,32.89,7.38,579384,321264
1,347,114,12,2,75.79,25,54.55,263,76,1,0,84,188,10.0,7.37,1099312,268083
5,477,148,20,5,81.13,20,55.56,387,123,8,0,90,272,30.77,7.33,897007,47700
2,169,37,11,0,73.96,10,64.71,125,44,4,0,44,85,26.67,7.3,1184178,268082
5,1259,298,123,2,81.57,59,63.4,1027,454,40,0,232,613,42.11,7.29,386274,268082
1,542,189,9,4,76.2,27,64.29,413,83,2,0,129,332,12.5,7.29,340419,32529
0,138,11,33,0,65.22,1,40.74,90,69,0,0,48,21,0.0,7.28,894214,268083
15,657,270,29,12,71.99,63,61.7,473,68,55,0,184,460,26.07,7.28,38406,47700
6,215,73,21,2,66.05,25,42.0,142,34,24,0,73,132,24.74,7.26,311400,33820
5,430,139,10,5,65.12,24,33.33,280,72,5,0,150,213,20.0,7.25,805150,7059
6,1091,285,155,3,79.19,64,62.75,864,315,39,0,227,588,33.05,7.25,931426,268083
6,826,287,74,4,81.6,51,70.48,674,169,23,0,152,528,26.74,7.24,868702,47700
1,698,280,54,5,81.23,56,59.34,567,130,29,1,131,466,26.85,7.23,876307,7059
10,880,335,51,5,79.77,79,63.75,702,148,37,0,178,591,36.27,7.22,72872,32529
6,632,239,13,3,78.96,38,56.52,499,126,4,0,133,377,33.33,7.21,815461,47700
0,543,185,37,1,72.93,29,43.02,396,96,31,0,147,331,26.27,7.21,223728,273544
13,821,288,26,13,72.23,67,52.0,593,146,32,0,228,479,29.09,7.19,789878,273544
1,837,41,72,1,80.17,4,47.68,671,489,2,0,166,184,66.67,7.18,122667,7878
6,815,318,20,5,76.2,55,38.46,621,129,31,0,194,523,21.99,7.18,846524,372975
0,543,32,147,0,56.91,1,38.89,309,203,0,0,234,106,0.0,7.17,870493,7878
5,1439,313,103,4,80.68,68,58.52,1161,468,40,0,278,733,38.46,7.17,1468327,321264
4,380,130,3,2,77.37,23,30.0,294,94,2,0,86,202,18.18,7.15,839459,33714
8,999,294,41,7,79.28,73,45.56,792,253,54,0,207,593,30.86,7.15,819655,327910
2,872,244,80,4,82.22,60,66.12,717,223,13,0,155,507,21.67,7.15,1000182,268083
1,117,41,2,1,72.65,6,50.0,85,19,3,0,32,69,75.0,7.15,866847,7059
0,780,96,132,0,70.9,9,48.0,553,345,1,0,227,209,20.0,7.15,340857,335685
6,411,122,15,4,79.32,26,51.72,326,96,23,0,85,253,35.38,7.15,1017472,32529
2,372,87,25,1,87.1,18,80.65,324,96,7,0,48,235,21.21,7.15,590260,32529
1,531,30,147,0,64.41,3,44.28,342,254,0,0,189,88,0.0,7.14,34430,268082
5,362,127,18,5,65.47,30,51.43,237,59,5,0,125,183,11.9,7.14,1099313,268083
0,311,23,58,0,63.99,1,49.57,199,118,0,0,112,81,0.0,7.13,944708,372975
3,481,180,25,6,69.65,47,39.68,335,89,42,0,146,288,35.9,7.13,866405,33714
2,244,64,29,0,71.72,18,55.77,175,67,13,0,69,121,41.94,7.13,796451,7878
9,323,95,12,3,67.18,26,40.0,217,74,3,0,106,146,15.0,7.07,340125,6968
2,460,150,42,3,81.3,38,71.19,374,102,21,0,86,293,43.75,7.06,1017482,268083
0,456,36,123,0,60.53,0,41.41,276,182,0,0,180,94,0.0,7.06,975065,273544
4,624,181,40,4,77.08,35,62.5,481,165,13,0,143,329,35.14,7.06,130098,335685
6,309,102,16,2,66.02,26,69.57,204,56,5,0,105,153,15.63,7.06,358932,321264
6,460,153,21,5,78.26,26,51.22,360,109,7,0,100,258,14.58,7.05,986778,7059
5,626,141,45,1,73.64,31,51.72,461,216,31,0,165,276,24.6,7.05,815133,335685
0,38,0,10,0,76.32,0,52.63,29,26,0,0,9,3,0.0,7.05,1503689,268083
1,164,36,4,2,64.63,11,57.14,106,41,0,0,58,65,0.0,7.03,77558,7878
6,757,237,59,5,76.35,49,56.73,578,179,34,0,179,433,34.69,7.03,163161,33714
2,778,90,123,1,62.98,7,39.94,490,279,2,0,288,213,100.0,7.02,1184158,33820
3,897,219,82,4,87.4,27,78.85,784,307,4,0,113,481,20.0,7.02,220991,7059
2,352,93,12,1,63.07,25,44.44,222,80,6,0,130,148,21.43,7.02,1495665,423192
