name,slug,shortName,gender,userCount,nameCode,disabled,national,type,team.id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text,team.image
El Nacional,el-nacional,El Nacional,M,6417,ELN,,False,0,5254,El Nacional,-176256000.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Olimpico Atahualpa,35742.0,1098.0,EC,Ecuador,EC,Ecuador,#f60404,#222226,#222226,https://api.sofascore.app/api/v1/team/5254/image
Delfín,delfin,Delfín,M,5218,DSC,False,False,0,213638,Delfín,604713600.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Jocay,15000.0,2974.0,EC,Ecuador,EC,Ecuador,#004597,#ffc414,#ffc414,https://api.sofascore.app/api/v1/team/213638/image
Gualaceo SC,gualaceo-sc,Gualaceo,M,2281,GUA,,False,0,248196,Gualaceo SC,954633600.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,,,,,,EC,Ecuador,#f9f11e,#13943b,#13943b,https://api.sofascore.app/api/v1/team/248196/image
Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica,M,6220,UNI,,False,0,21942,Universidad Católica del Ecuador,-205977600.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Olimpico Atahualpa,35742.0,1098.0,EC,Ecuador,EC,Ecuador,#4bacd2,#222226,#222226,https://api.sofascore.app/api/v1/team/21942/image
LDU,ldu,LDU,M,22382,LDU,False,False,0,5257,LDU,-1615507200.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Rodrigo Paz Delgado,41575.0,676.0,EC,Ecuador,EC,Ecuador,#ffffff,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/5257/image
Independiente del Valle,independiente-del-valle,Independiente del Valle,M,22905,IND,False,False,0,39723,Independiente del Valle,-373593600.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Banco De Guayaquil,12000.0,32388.0,EC,Ecuador,EC,Ecuador,#002945,#e8ac35,#e8ac35,https://api.sofascore.app/api/v1/team/39723/image
Aucas,aucas,Aucas,M,7500,SDA,False,False,0,5249,Aucas,-785808000.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Gonzalo Pozo Ripalda,22000.0,15629.0,EC,Ecuador,EC,Ecuador,#d4252a,#ffdd00,#ffdd00,https://api.sofascore.app/api/v1/team/5249/image
Barcelona SC,barcelona-sc,Barcelona SC,M,22473,BSC,False,False,0,5250,Barcelona SC,-1409702400.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Monumental Banco Pichincha,60000.0,1980.0,EC,Ecuador,EC,Ecuador,#ffff00,#000000,#000000,https://api.sofascore.app/api/v1/team/5250/image
Técnico Universitario,tecnico-universitario,Técnico,M,2881,TEC,,False,0,21941,Técnico Universitario,40176000.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Bellavista,20000.0,2966.0,EC,Ecuador,EC,Ecuador,#b80606,#dfdfdf,#dfdfdf,https://api.sofascore.app/api/v1/team/21941/image
Deportivo Cuenca,deportivo-cuenca,Cuenca,M,4135,CUE,,False,0,5251,Deportivo Cuenca,36892800.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Alejandro Serrano Aguilar,16000.0,993.0,EC,Ecuador,EC,Ecuador,#990000,#ffff00,#ffff00,https://api.sofascore.app/api/v1/team/5251/image
Emelec,emelec,Emelec,M,13214,CSE,False,False,0,5255,Emelec,-1283731200.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Banco del Pacífico Capwell,40020.0,1305.0,EC,Ecuador,EC,Ecuador,#0000cc,#333399,#333399,https://api.sofascore.app/api/v1/team/5255/image
Cumbayá FC,cumbaya-fc,Cumbayá FC,M,3202,CUM,,False,0,377757,Cumbayá FC,12960000.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,,,,,,EC,Ecuador,#52b030,#52b030,#ffffff,https://api.sofascore.app/api/v1/team/377757/image
Guayaquil City,guayaquil-city,Guayaquil City,M,3359,GUA,,False,0,188850,Guayaquil City,1189123200.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Christian Benitez Betancourt,10150.0,16048.0,EC,Ecuador,EC,Ecuador,#87bee7,#0070a0,#0070a0,https://api.sofascore.app/api/v1/team/188850/image
Libertad,libertad,Libertad,M,2965,LIB,,False,0,394127,Libertad,,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio Federativo Reina del Cisne,14935.0,2972.0,EC,Ecuador,EC,Ecuador,#fc771c,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/394127/image
Mushuc Runa,mushuc-runa,Mushuc Runa,M,2987,MUR,,False,0,134976,Mushuc Runa,1041465600.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio del Mushuc Runa Sporting Club,18000.0,13440.0,EC,Ecuador,EC,Ecuador,#00e100,#009933,#009933,https://api.sofascore.app/api/v1/team/134976/image
Orense SC,orense-sc,Orense,M,2909,ORE,,False,0,277525,Orense SC,1260835200.0,Football,football,1,Ecuador,ecuador,Football,football,1,165,ecuador,EC,Estadio 9 de Mayo,16456.0,16368.0,EC,Ecuador,EC,Ecuador,#7cfc00,#00009a,#00009a,https://api.sofascore.app/api/v1/team/277525/image
