yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.id,team.id
2,0,38,5,0,0.0,0,1,0,0,0,1,0.0,0.0,0,7.7,145054,1955
0,2,90,18,0,66.67,0,1,0,2,0,1,0.0,66.67,0,7.6,1507616,1982
1,5,810,66,0,83.33,3,9,4,9,0,9,100.0,90.0,0,7.5,840103,1966
5,13,2291,385,0,38.24,58,29,108,121,31,28,54.0,51.71,21,7.49,840020,1963
7,44,2766,620,2,41.51,111,32,215,259,52,31,48.64,47.26,100,7.45,34705,1977
0,2,180,21,0,100.0,0,2,0,2,0,2,0.0,100.0,0,7.45,839514,5926
0,9,270,18,1,56.25,0,3,2,11,3,3,40.0,52.38,0,7.33,358530,1968
1,0,180,35,0,0.0,1,2,1,1,0,2,100.0,100.0,0,7.3,1106840,1955
2,0,450,56,0,0.0,0,5,0,0,0,5,0.0,0.0,0,7.3,1119887,1967
0,5,1085,181,0,50.0,40,14,86,91,9,14,65.15,64.08,11,7.29,147464,1963
8,25,2712,465,0,40.98,70,31,108,133,28,31,46.75,45.55,34,7.27,16943,5926
0,1,270,28,0,50.0,0,3,0,1,0,3,0.0,50.0,0,7.27,34141,1963
10,78,2364,353,0,52.7,83,31,134,212,47,29,51.15,51.71,57,7.26,789100,1958
3,14,1671,361,0,43.75,39,26,106,120,22,20,53.81,52.4,36,7.24,333587,5981
1,54,1540,124,1,63.53,12,18,42,96,5,17,80.77,70.07,1,7.21,338937,1981
1,3,1170,105,0,75.0,1,13,1,4,0,13,100.0,80.0,0,7.21,1140986,5981
1,3,1590,150,0,100.0,4,19,3,6,0,18,100.0,100.0,0,7.21,1105835,5981
7,19,1964,353,0,34.55,32,30,80,99,19,23,49.38,45.62,32,7.2,808785,1967
2,1,90,4,1,100.0,0,1,0,1,0,1,0.0,100.0,0,7.2,942061,1954
0,1,90,3,0,100.0,0,1,0,1,0,1,0.0,100.0,0,7.2,879859,2020
2,1,180,26,0,100.0,0,2,0,1,0,2,0.0,100.0,0,7.2,1018555,1977
1,7,371,58,0,58.33,3,6,20,27,2,5,40.0,43.55,7,7.18,1046501,2020
3,11,804,97,0,42.31,11,10,38,49,10,9,55.07,51.58,10,7.17,954719,1982
2,99,1614,185,1,50.51,40,19,51,150,30,18,45.95,48.86,18,7.17,583974,1974
4,49,1215,84,0,63.64,3,14,24,73,14,14,58.54,61.86,0,7.16,826343,1957
6,67,2550,489,0,46.53,69,31,147,214,37,30,51.22,49.65,48,7.15,331397,1999
1,24,2822,353,0,43.64,23,34,109,133,19,33,49.32,48.19,32,7.15,885179,1977
10,61,2226,227,1,59.8,17,27,61,122,25,25,60.4,60.1,6,7.15,385916,1977
2,19,1549,239,0,45.24,22,22,88,107,21,19,59.86,56.61,22,7.15,245159,1954
11,56,2811,574,0,51.85,59,33,147,203,66,32,48.04,49.03,19,7.14,870556,1999
0,2,461,38,0,100.0,0,6,1,3,0,5,100.0,100.0,0,7.13,358418,2020
7,28,3037,559,0,42.42,35,34,163,191,38,34,58.63,55.52,21,7.13,870787,1954
5,8,2790,314,1,80.0,6,31,7,15,1,31,77.78,78.95,0,7.13,844576,1999
