bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.id,team.id
3,241,73,2,4,67.22,17,40.0,162,44,5,0,79,123,31.25,7.46,873891,5254
0,332,24,112,0,54.52,0,43.08,181,92,0,0,151,89,0.0,7.41,877442,213638
5,774,186,52,5,71.83,57,48.15,556,209,44,1,218,391,25.43,7.34,789939,248196
9,778,253,51,3,83.8,40,68.0,652,202,12,0,126,462,25.0,7.33,42573,21942
3,939,389,42,4,85.52,55,80.77,803,172,31,1,136,662,27.43,7.29,826826,5257
6,368,137,15,4,79.35,28,53.57,292,67,5,0,76,230,21.74,7.24,105717,39723
0,567,18,105,0,74.6,1,43.93,423,370,0,0,144,53,0.0,7.22,108832,21942
5,536,174,66,3,83.96,38,72.53,450,125,25,0,86,350,28.74,7.2,845323,5249
2,1676,427,127,4,86.75,50,69.02,1454,561,19,0,222,912,19.39,7.19,33308,21942
6,720,235,35,6,77.08,34,63.64,555,128,21,0,165,448,23.6,7.19,42454,5250
0,533,35,126,0,60.41,0,37.95,322,240,0,0,211,82,0.0,7.19,588618,5249
1,331,92,3,2,71.9,16,42.86,238,75,1,0,93,164,16.67,7.18,1199361,21941
0,584,26,150,0,77.91,0,55.76,455,375,0,0,129,80,0.0,7.18,33567,5257
4,617,148,53,3,77.63,19,56.99,479,212,13,0,138,280,20.31,7.18,805485,5257
10,613,162,21,8,75.86,57,53.85,465,142,56,0,148,379,35.22,7.18,174935,5251
0,177,12,44,0,71.19,1,46.81,126,100,0,0,51,26,0.0,7.14,107249,5249
3,845,314,55,3,85.56,60,70.51,723,170,36,1,122,589,41.86,7.14,155786,39723
0,612,27,135,0,67.97,1,41.28,416,331,0,0,196,85,0.0,7.13,905632,5255
9,752,169,19,7,76.2,23,41.3,573,228,11,0,179,356,31.43,7.12,873887,377757
5,897,90,92,3,85.84,10,58.23,770,456,0,0,127,314,0.0,7.11,877436,39723
7,725,245,39,4,67.45,48,46.99,489,123,31,0,236,397,23.85,7.11,906808,213638
2,1149,75,91,3,86.07,6,53.85,989,686,0,0,160,303,0.0,7.1,839638,5257
0,54,2,15,0,48.15,0,35.71,26,13,0,0,28,13,0.0,7.1,1185856,377757
1,448,127,42,1,75.45,31,53.16,338,111,29,0,110,256,36.25,7.09,221748,5251
1,433,108,16,0,82.45,16,61.54,357,150,0,0,76,207,0.0,7.08,340247,188850
1,450,15,39,1,76.22,4,41.05,343,287,1,0,107,57,50.0,7.08,874645,5251
0,1782,272,226,0,89.51,13,69.11,1595,847,5,0,187,753,26.32,7.08,896806,39723
4,844,173,75,2,85.9,30,71.43,725,336,5,0,119,394,35.71,7.07,859965,5251
4,372,162,19,4,84.41,19,79.17,314,76,8,0,58,246,42.11,7.06,47658,5255
4,324,112,5,4,59.88,31,26.32,194,44,6,0,130,156,35.29,7.06,961894,5254
1,454,169,13,1,87.0,21,72.22,395,102,1,0,59,294,16.67,7.06,796328,21942
3,176,46,8,0,65.91,9,72.73,116,30,0,0,60,86,0.0,7.05,106458,5255
2,214,65,9,3,79.91,13,56.25,171,53,0,0,43,118,0.0,7.04,925147,5249
3,522,221,18,4,82.57,30,56.25,431,87,17,0,91,361,41.46,7.04,158395,5257
3,396,102,4,3,67.17,24,23.53,266,87,0,0,130,179,0.0,7.03,594430,5250
4,844,220,63,3,85.31,24,70.0,720,281,10,0,124,449,16.13,7.02,33703,5255
1,537,104,73,2,75.98,14,57.03,408,192,20,0,129,236,27.4,7.02,158593,5249
0,293,54,87,0,39.59,2,33.59,116,35,0,0,177,81,0.0,7.02,822736,5254
5,1081,246,87,4,82.52,18,53.7,892,425,3,0,189,470,25.0,7.02,826831,39723
0,14,0,3,0,100.0,0,100.0,14,12,0,0,0,2,0.0,7.0,1470458,5255
0,11,2,1,0,63.64,0,100.0,7,4,0,0,4,3,0.0,7.0,1517144,5255
2,292,104,8,1,70.21,21,66.67,205,52,8,0,87,161,28.57,7.0,965310,21941
0,967,210,54,3,90.07,18,69.23,871,356,12,0,96,527,32.43,7.0,925740,39723
0,164,71,3,0,81.1,10,50.0,133,27,0,0,31,106,0.0,6.99,338,5257
0,202,50,6,0,61.39,1,50.0,124,39,1,0,78,86,20.0,6.99,895229,213638
2,215,44,15,2,75.81,10,62.5,163,74,0,0,52,89,0.0,6.99,977091,394127
6,718,235,22,4,76.18,39,53.66,547,149,20,0,171,418,23.26,6.99,1011412,21942
0,640,69,58,0,86.09,4,61.05,551,338,0,0,89,213,0.0,6.98,553508,21942
2,480,112,12,2,76.04,23,60.0,365,119,2,0,115,248,33.33,6.98,340415,5251
1,1086,89,100,1,85.17,5,58.14,925,650,2,0,161,277,66.67,6.98,339967,5255
2,610,171,51,1,82.79,7,63.75,505,196,3,0,105,312,33.33,6.98,789402,5257
3,612,148,44,0,79.08,28,48.35,484,167,12,0,128,329,26.67,6.98,975528,5257
0,198,56,10,0,80.3,11,71.43,159,61,4,0,39,102,25.0,6.98,353296,5255
2,910,83,114,2,82.64,7,58.46,752,516,0,0,158,236,0.0,6.97,155776,5249
1,573,142,34,1,86.21,12,62.96,494,230,6,0,79,270,15.0,6.96,1066555,5257
4,695,205,47,1,73.81,33,53.41,513,163,10,0,182,360,20.83,6.96,989331,5255
0,550,24,125,0,76.0,0,49.6,418,333,0,0,132,85,0.0,6.96,174421,5250
0,674,51,193,0,58.31,3,40.98,393,261,0,0,281,132,0.0,6.96,794921,5251
0,757,61,70,0,69.88,5,35.0,529,342,2,0,228,189,40.0,6.96,312346,377757
5,360,134,25,1,74.17,31,73.53,267,57,19,0,93,229,26.39,6.96,975813,134976
5,973,254,63,5,90.13,23,72.41,877,325,3,0,96,555,33.33,6.95,250009,39723
4,355,119,12,2,71.83,41,50.0,255,55,27,1,100,227,31.76,6.95,975090,21941
1,1250,234,91,1,87.6,23,66.42,1095,522,0,0,155,573,0.0,6.95,822718,21942
7,618,203,31,5,72.01,58,42.47,445,111,19,0,173,353,19.79,6.95,922846,5254
0,883,23,163,0,78.6,1,47.52,694,610,0,0,189,84,0.0,6.95,925484,188850
3,323,99,14,3,78.64,20,48.28,254,82,13,0,69,185,22.81,6.94,836584,5255
1,910,219,111,0,91.21,13,81.62,830,320,1,0,80,511,50.0,6.94,1145130,5257
2,328,56,12,0,75.3,7,27.91,247,110,3,0,81,140,9.09,6.94,827140,5255
4,442,123,19,7,79.86,31,50.0,353,123,11,0,89,241,31.43,6.93,975548,5249
1,64,13,1,1,67.19,4,100.0,43,14,0,0,21,29,0.0,6.93,1086968,248196
1,1073,92,90,0,84.44,4,49.45,906,612,3,0,167,297,33.33,6.93,980485,5257
3,326,106,47,1,78.53,10,63.51,256,79,10,0,70,187,26.32,6.92,975696,21941
2,1061,282,91,2,86.24,29,62.33,915,347,8,0,146,576,38.1,6.92,359098,5257
2,486,188,36,1,80.04,30,66.67,389,80,19,0,97,328,32.76,6.92,1464025,39723
0,672,35,175,1,55.21,1,38.04,371,248,0,0,301,123,0.0,6.92,805464,377757
2,912,176,78,2,74.34,45,50.98,678,301,39,1,234,416,39.8,6.91,47668,377757
3,337,83,26,1,81.31,14,72.22,274,101,1,0,63,174,12.5,6.91,1018554,5255
1,576,208,41,0,80.9,35,71.93,466,114,9,0,110,361,22.5,6.91,897059,5257
0,295,20,28,0,78.98,2,52.83,233,150,0,0,62,83,0.0,6.91,805203,5249
1,846,201,84,1,80.26,29,60.87,679,260,17,0,167,436,32.08,6.9,1134650,277525
1,61,22,0,0,75.41,5,0.0,46,14,0,0,15,32,0.0,6.9,1116667,5249
0,1099,76,105,0,80.89,2,47.3,889,616,0,0,210,273,0.0,6.9,898990,5255
0,29,5,5,0,89.66,2,100.0,26,12,0,0,3,14,0.0,6.9,339563,5249
0,109,2,7,0,83.49,0,30.43,91,88,0,0,18,3,0.0,6.9,1067803,39723
5,522,156,26,1,86.78,15,72.22,453,129,3,0,69,327,17.65,6.89,1116579,5257
3,227,94,4,2,76.65,25,80.0,174,38,1,0,53,137,16.67,6.89,590176,5257
1,238,76,6,1,76.05,15,60.0,181,41,1,0,57,141,12.5,6.89,868742,5255
1,1250,79,106,0,86.24,4,57.61,1078,717,0,0,172,361,0.0,6.89,827135,21942
0,262,79,21,0,87.4,6,75.0,229,76,0,0,33,153,0.0,6.89,998401,134976
0,498,71,77,1,67.27,6,44.51,335,181,0,0,163,154,0.0,6.88,1461225,5254
2,624,117,75,2,64.74,22,38.07,404,168,17,0,220,253,26.98,6.88,1466377,5254
6,724,209,42,2,70.86,35,45.16,513,149,24,0,211,388,26.67,6.88,588628,21941
0,433,155,31,0,76.21,22,46.27,330,90,2,0,103,242,7.69,6.88,1015290,213638
0,777,52,78,1,77.86,3,45.88,605,423,0,0,172,182,0.0,6.88,849170,5250
0,148,20,11,0,68.92,2,52.38,102,51,1,0,46,52,50.0,6.88,1118571,377757
0,412,58,30,0,74.51,7,39.47,307,183,5,0,105,129,45.45,6.88,971200,5255
4,198,61,9,2,70.2,13,69.23,139,39,1,0,59,101,33.33,6.87,846663,5249
1,206,62,8,1,72.33,11,57.14,149,52,3,0,57,100,23.08,6.87,1479176,134976
0,52,19,4,0,82.69,6,80.0,43,10,3,0,9,36,30.0,6.87,1122552,39723
0,495,39,62,0,85.45,2,60.19,423,288,1,0,72,136,50.0,6.87,871814,21942
0,662,87,68,0,85.5,7,67.33,566,304,1,0,96,263,16.67,6.86,844615,5249
4,341,104,5,5,73.31,29,38.46,250,69,10,0,91,191,25.0,6.86,882607,213638
2,790,236,30,2,77.09,28,45.45,609,183,13,0,181,439,23.21,6.86,896857,213638
1,53,14,3,1,73.58,1,42.86,39,10,0,0,14,29,0.0,6.86,1474739,394127
0,224,68,6,0,84.38,3,50.0,189,51,1,0,35,139,9.09,6.86,1065584,39723
2,489,137,35,1,82.21,21,67.31,402,143,12,0,87,271,36.36,6.86,1049725,188850
0,375,119,40,4,77.07,21,68.97,289,94,11,1,86,206,21.15,6.85,1090134,5250
2,433,42,16,0,87.3,5,53.33,378,237,0,0,55,141,0.0,6.85,1004135,377757
0,1031,84,94,0,78.76,8,44.55,812,546,1,0,219,267,50.0,6.85,37047,277525
0,654,13,83,0,83.94,1,47.7,549,508,0,0,105,41,0.0,6.85,923237,39723
6,663,270,38,3,83.11,35,62.3,551,109,6,0,112,448,35.29,6.85,925741,5257
3,556,160,18,3,73.02,20,52.94,406,98,6,0,150,314,17.14,6.85,1119725,277525
2,373,103,23,2,72.39,14,62.16,270,89,8,0,103,189,20.51,6.85,1185457,21942
