yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.id,team.id
0,8,181,10,0,100.0,0,3,4,12,0,2,80.0,92.31,0,7.55,1086957,3201
3,15,2096,465,0,37.5,80,27,151,166,24,26,57.2,54.61,31,7.41,994454,3210
3,44,1760,171,0,61.97,20,20,75,119,18,20,70.75,67.23,3,7.4,158259,3211
0,9,1881,161,0,100.0,2,21,2,11,0,21,100.0,100.0,0,7.37,790756,36839
1,6,469,77,0,100.0,2,6,2,8,0,5,40.0,72.73,0,7.35,794812,6074
3,2,1021,252,0,50.0,22,14,69,71,15,13,51.11,51.08,9,7.34,846280,3215
2,7,1075,246,0,36.84,44,16,94,101,10,13,59.49,57.06,20,7.34,146416,3202
0,1,78,17,0,100.0,2,1,7,8,1,1,77.78,80.0,0,7.3,941090,3205
3,8,1890,240,0,100.0,4,21,5,13,0,21,100.0,100.0,0,7.29,1017440,42338
1,18,457,55,0,62.07,3,6,9,27,2,5,75.0,65.85,0,7.25,174855,3218
0,0,180,20,0,0.0,1,2,1,1,0,2,100.0,100.0,0,7.25,871581,7628
2,12,1096,207,0,60.0,32,17,76,88,17,15,60.8,60.69,10,7.25,877513,3211
0,7,224,24,0,50.0,2,3,11,18,1,3,68.75,60.0,0,7.23,945103,6074
4,62,2065,194,0,63.92,6,23,52,114,23,23,63.41,63.69,1,7.22,249009,3206
1,20,1370,257,0,29.85,23,25,68,88,13,16,45.95,40.93,28,7.22,962029,3211
2,64,2147,464,0,56.64,22,24,91,155,24,24,62.76,60.08,9,7.22,260077,3216
3,33,1196,110,0,56.9,3,15,25,58,11,13,53.19,55.24,3,7.21,790004,3211
5,9,1854,381,0,40.91,63,25,125,134,25,22,52.74,51.74,35,7.2,340861,3211
5,18,2228,507,1,36.73,59,25,183,201,34,25,53.82,51.67,39,7.2,832213,36833
0,0,90,10,0,0.0,0,1,1,1,0,1,100.0,100.0,0,7.2,1384966,3212
0,0,54,11,0,0.0,1,1,3,3,0,1,75.0,60.0,0,7.2,1381878,3205
10,81,1978,262,0,67.5,10,23,48,129,24,23,55.81,62.62,2,7.2,849020,36839
1,4,2070,157,0,80.0,2,23,3,7,1,23,60.0,70.0,0,7.2,25566,3202
3,21,1154,113,0,56.76,11,13,46,67,10,13,73.02,67.0,2,7.18,14933,3208
