tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
0,0,1,0,0,0,0,0,0,8.6,890061,47700
12,0,0,3,0,0,0,7,4,7.73,840066,7059
0,0,0,0,0,0,0,0,0,7.5,989584,268083
0,0,0,0,0,0,0,3,0,7.5,989573,423192
26,0,0,14,0,0,0,10,10,7.46,1476548,6968
0,0,1,0,0,0,0,0,0,7.4,1184211,7878
28,0,1,9,0,0,0,2,12,7.38,579384,321264
18,0,6,7,0,0,1,9,8,7.37,1099312,268083
14,0,6,6,0,0,0,7,8,7.33,897007,47700
6,0,1,0,0,0,0,2,5,7.3,1184178,268082
37,0,8,24,0,0,0,16,29,7.29,386274,268082
19,0,6,4,0,0,0,11,13,7.29,340419,32529
1,0,3,0,0,0,0,13,1,7.28,894214,268083
5,0,3,2,0,0,0,0,3,7.28,38406,47700
12,0,2,2,0,0,0,2,16,7.26,311400,33820
13,0,6,1,0,0,0,14,1,7.25,805150,7059
26,0,5,27,0,1,0,20,21,7.25,931426,268083
15,0,1,4,0,0,0,9,7,7.24,868702,47700
23,0,1,11,0,0,0,7,15,7.23,876307,7059
12,0,2,6,0,0,0,1,11,7.22,72872,32529
16,0,8,2,0,0,0,11,11,7.21,815461,47700
19,0,2,5,0,0,0,3,4,7.21,223728,273544
23,0,3,11,0,1,0,5,10,7.19,789878,273544
36,0,11,32,0,0,0,87,5,7.18,122667,7878
28,0,8,15,0,0,0,1,18,7.18,846524,372975
0,0,12,0,0,2,0,26,0,7.17,870493,7878
34,0,3,26,0,0,0,17,9,7.17,1468327,321264
16,0,5,1,0,0,0,12,10,7.15,839459,33714
31,0,2,8,0,0,0,8,30,7.15,819655,327910
32,0,5,11,0,0,0,3,23,7.15,1000182,268083
3,0,0,0,0,0,0,3,2,7.15,866847,7059
52,0,7,22,0,0,0,101,18,7.15,340857,335685
18,0,1,0,0,0,0,4,9,7.15,1017472,32529
10,0,0,7,0,0,0,0,7,7.15,590260,32529
1,1,10,0,0,1,0,27,0,7.14,34430,268082
19,0,1,4,0,0,0,1,10,7.14,1099313,268083
34,0,5,36,0,0,0,107,11,7.13,944708,372975
15,0,2,6,0,0,0,3,10,7.13,866405,33714
7,0,1,2,0,0,0,4,4,7.13,796451,7878
10,0,0,6,0,0,0,11,8,7.07,340125,6968
10,0,2,9,0,0,0,3,8,7.06,1017482,268083
0,0,5,1,0,0,0,28,2,7.06,975065,273544
22,0,1,11,0,0,0,15,15,7.06,130098,335685
11,0,1,2,0,0,0,1,13,7.06,358932,321264
22,0,3,23,0,0,0,15,15,7.05,986778,7059
32,0,8,23,0,0,0,27,18,7.05,815133,335685
