bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.id,team.id
4,259,78,7,2,67.95,15,41.18,176,40,7,0,83,143,33.33,6.63,935094,36833
1,358,106,11,2,69.27,15,68.75,248,81,1,0,110,168,14.29,6.63,830717,3205
1,326,109,17,1,75.46,19,50.0,246,68,10,0,80,188,20.0,6.63,975210,3207
0,427,66,21,0,71.9,7,41.18,307,173,1,0,120,135,16.67,6.63,1117037,3221
0,162,41,1,0,74.69,6,50.0,121,34,1,0,41,88,50.0,6.63,338,3215
0,76,17,2,0,69.74,5,33.33,53,19,2,0,23,36,10.53,6.63,1067653,36837
1,22,6,3,1,45.45,2,75.0,10,1,0,0,12,9,0.0,6.63,1498863,3219
1,86,33,1,1,76.74,5,25.0,66,18,0,0,20,48,0.0,6.63,1179213,7628
0,130,60,7,0,81.54,5,77.78,106,9,1,0,24,98,12.5,6.63,925125,3215
0,151,44,7,0,70.86,4,36.84,107,34,7,0,44,80,46.67,6.63,39697,3209
1,644,124,32,0,68.32,7,28.07,440,173,6,0,204,273,18.75,6.63,897044,36833
0,56,9,0,0,62.5,2,0.0,35,12,1,0,21,24,16.67,6.62,1113237,6074
0,63,7,9,0,50.79,0,30.0,32,20,0,0,31,12,0.0,6.62,805213,4937
0,131,19,2,0,69.47,0,15.38,91,57,0,0,40,34,0.0,6.62,1103068,7629
0,180,28,9,0,75.56,0,50.0,136,69,4,0,44,71,30.77,6.62,365862,3211
1,64,10,5,0,64.06,2,38.46,41,20,6,0,23,27,27.27,6.62,895232,42338
0,88,29,2,0,72.73,1,66.67,64,18,0,0,24,46,0.0,6.62,33252,3218
1,361,82,17,1,82.27,6,70.83,297,134,4,0,64,167,8.51,6.62,1127057,3202
0,335,68,14,1,61.49,4,27.45,206,78,3,0,129,131,9.38,6.61,941542,36837
1,292,76,10,0,74.32,12,62.5,217,76,9,0,75,150,26.47,6.61,586956,65668
0,162,42,0,0,66.05,4,0.0,107,29,1,0,55,79,7.69,6.61,128464,3221
1,95,24,2,1,75.79,2,100.0,72,27,2,0,23,47,66.67,6.61,79688,3203
0,154,24,5,0,79.22,0,35.71,122,71,0,0,32,51,0.0,6.61,1116658,3201
0,81,16,1,0,74.07,1,20.0,60,21,0,0,21,39,0.0,6.61,248105,4937
0,270,71,9,1,61.11,13,23.68,165,57,15,0,105,123,34.88,6.61,1179175,42338
2,69,22,2,2,73.91,6,50.0,51,12,10,0,18,49,32.26,6.61,1104316,3208
1,463,132,17,1,81.64,16,54.84,378,128,14,0,85,264,26.92,6.61,944623,3211
0,430,51,6,0,74.42,7,24.0,320,176,0,0,110,144,0.0,6.6,334027,3218
1,383,118,15,0,74.67,17,50.0,286,92,2,0,97,196,15.38,6.6,249843,3208
0,103,25,2,0,62.14,2,33.33,64,16,1,0,39,49,14.29,6.6,1084961,65668
2,369,108,6,1,69.11,19,27.27,255,72,20,0,114,203,33.9,6.6,896722,4937
2,88,25,7,1,71.59,11,38.89,63,26,10,0,25,47,32.26,6.6,1086967,3205
0,45,8,3,1,91.11,2,100.0,41,13,0,0,4,28,0.0,6.6,1482424,3211
1,114,30,6,0,65.79,5,66.67,75,21,1,0,39,55,3.57,6.6,981453,3203
1,171,44,7,0,71.93,4,35.0,123,46,5,0,48,82,33.33,6.6,1432630,7629
1,48,10,0,0,60.42,1,0.0,29,9,0,0,19,20,0.0,6.6,1099296,3206
0,624,100,39,0,76.44,18,48.75,477,247,2,0,147,232,13.33,6.6,922455,36839
0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,6.6,1464531,65668
0,8,4,0,0,75.0,0,0.0,6,1,0,0,2,5,0.0,6.6,1385677,7629
0,34,6,2,0,67.65,1,66.67,23,9,1,0,11,15,20.0,6.6,1386653,65676
0,28,6,1,0,53.57,0,25.0,15,4,0,0,13,11,0.0,6.6,873716,42338
1,54,13,2,0,83.33,2,40.0,45,12,1,0,9,34,11.11,6.6,1016200,3219
0,107,18,4,0,72.9,3,57.14,78,34,0,0,29,44,0.0,6.6,1184978,3219
0,20,2,1,0,65.0,0,100.0,13,5,0,0,7,8,0.0,6.6,989515,65668
0,141,25,5,0,75.18,4,45.45,106,55,3,0,35,54,27.27,6.6,129517,3216
0,3,1,0,0,66.67,0,0.0,2,0,0,0,1,2,0.0,6.6,1489956,3215
0,1,0,0,0,100.0,0,0.0,1,1,0,0,0,0,0.0,6.6,1410399,3202
0,3,0,0,0,66.67,0,0.0,2,1,0,0,1,1,0.0,6.6,1182233,3218
1,70,29,3,0,84.29,4,42.86,59,13,3,0,11,49,12.0,6.6,831608,3215
0,8,1,0,0,62.5,0,0.0,5,2,0,0,3,3,0.0,6.6,1501702,3218
0,9,3,1,0,88.89,0,100.0,8,4,0,0,1,4,0.0,6.6,909479,3211
0,20,2,2,0,75.0,0,100.0,15,3,0,0,5,12,0.0,6.6,980767,3202
0,6,1,0,0,66.67,0,0.0,4,1,0,0,2,3,0.0,6.6,1018441,3201
0,30,1,12,0,60.0,0,50.0,18,10,0,0,12,8,0.0,6.6,875481,3205
0,30,4,1,0,56.67,1,25.0,17,7,1,0,13,11,25.0,6.6,1017431,36839
0,163,16,37,0,53.99,0,33.64,88,55,0,0,75,33,0.0,6.6,896998,36837
0,56,14,2,0,85.71,0,50.0,48,18,1,0,8,31,9.09,6.6,980759,3210
