,name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image,goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,tackles,errorLeadToGoal,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed
10,Luis Suárez,luis-suarez,L. Suárez,F,182.0,Right,67176,16943,9.0,1987-01-24,2023-12-31,5926,3600000.0,UY,Uruguay,3600000.0,EUR,https://api.sofascore.app/api/v1/player/16943/image,14,36.71,23,1,2,7,11.56,117,11.97,11,0,25,14,50,1,1,5,0.0,29,44,0,12,9,9.09,10,0,4,0,0,0,5,14,0,0,0,0,3,0,0,0,41,0,0,3,0,10,990,360,29,11,71.92,48,59.18,712,184,1,0,278,529,3.33,8,25,2712,465,0,40.98,70,31,108,133,28,31,46.75,45.55,34
11,Marcelo Lomba,marcelo-lomba,M. Lomba,G,187.0,Right,486,34141,42.0,1986-12-18,2023-12-31,1963,270000.0,BR,Brazil,270000.0,EUR,https://api.sofascore.app/api/v1/player/34141/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,13,7,0,0,1,6,0,1,3,0,0,0,5,0,83,0,17,0,68.67,1,39.53,57,50,0,0,26,7,0.0,0,1,270,28,0,50.0,0,3,0,1,0,3,0.0,50.0,0
12,Tiquinho Soares,tiquinho-soares,T. Soares,F,187.0,Right,4253,789100,9.0,1991-01-17,2024-12-31,1958,4099999.0,BR,Brazil,4099999.0,EUR,https://api.sofascore.app/api/v1/player/789100/image,17,60.34,23,1,1,0,12.39,80,21.25,1,4,13,2,31,7,0,2,71.43,35,26,5,16,11,0.0,16,0,3,0,0,0,29,10,0,0,0,0,1,0,0,0,20,0,0,4,0,2,631,155,35,4,71.63,31,72.92,452,158,5,0,179,299,38.46,10,78,2364,353,0,52.7,83,31,134,212,47,29,51.15,51.71,57
13,Giorgian De Arrascaeta,giorgian-de-arrascaeta,G. De Arrascaeta,M,173.0,Right,15068,333587,14.0,1994-06-01,2026-12-31,5981,16399999.0,UY,Uruguay,16399999.0,EUR,https://api.sofascore.app/api/v1/player/333587/image,7,70.0,15,1,1,3,4.42,48,14.58,4,3,4,5,15,0,1,1,0.0,35,18,0,6,3,25.0,32,0,7,0,0,0,14,19,0,0,0,0,2,0,0,0,18,0,0,2,0,11,776,267,30,5,78.87,46,60.0,612,161,25,1,164,476,22.32,3,14,1671,361,0,43.75,39,26,106,120,22,20,53.81,52.4,36
14,Robert Arboleda,robert-arboleda,R. Arboleda,D,187.0,Right,1472,338937,5.0,1991-10-22,2024-12-31,1981,1500000.0,EC,Ecuador,1500000.0,EUR,https://api.sofascore.app/api/v1/player/338937/image,0,100.0,5,0,0,1,0.93,15,0.0,0,0,4,0,4,0,0,0,0.0,3,6,0,0,0,0.0,28,2,10,0,0,0,60,4,0,0,0,0,10,0,0,0,10,0,0,1,0,1,1114,35,55,0,89.5,2,51.4,997,749,0,0,117,248,0.0,1,54,1540,124,1,63.53,12,18,42,96,5,17,80.77,70.07,1
15,Agustín Rossi,agustin-rossi,Agustín Rossi,G,190.0,Right,1358,1140986,17.0,1995-08-21,2027-12-31,5981,6200000.0,AR,Argentina,6200000.0,EUR,https://api.sofascore.app/api/v1/player/1140986/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,0,40,21,9,2,8,19,1,1,9,1,0,1,5,0,382,15,82,0,73.04,0,44.81,279,229,0,0,103,50,0.0,1,3,1170,105,0,75.0,1,13,1,4,0,13,100.0,80.0,0
16,Matheus Cunha,matheus-cunha,Matheus Cunha,G,193.0,Right,1562,1105835,25.0,2001-05-24,2025-12-31,5981,2900000.0,BR,Brazil,2900000.0,EUR,https://api.sofascore.app/api/v1/player/1105835/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,3,0,0,16,0,77,48,6,0,5,28,7,4,19,7,1,3,8,0,644,16,101,0,77.17,0,42.8,497,449,0,0,147,48,0.0,1,3,1590,150,0,100.0,4,19,3,6,0,18,100.0,100.0,0
17,Vitor Bueno,vitor-bueno,Vitor Bueno,M,183.0,Right,617,808785,8.0,1994-09-05,2024-12-31,1967,1500000.0,BR,Brazil,1500000.0,EUR,https://api.sofascore.app/api/v1/player/808785/image,4,65.38,21,0,1,2,5.28,63,6.35,10,0,5,1,19,3,0,0,100.0,34,23,3,3,4,0.0,15,0,6,0,0,0,0,13,0,0,0,0,1,0,0,0,20,0,0,4,0,9,829,284,34,4,79.98,76,55.74,663,180,53,1,166,536,38.13,7,19,1964,353,0,34.55,32,30,80,99,19,23,49.38,45.62,32
18,Anderson,anderson,Anderson,G,190.0,Left,114,942061,98.0,1998-03-05,2024-12-31,1954,185000.0,BR,Brazil,185000.0,EUR,https://api.sofascore.app/api/v1/player/942061/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,15,2,2,0,73.33,0,40.0,11,9,0,0,4,2,0.0,2,1,90,4,1,100.0,0,1,0,1,0,1,0.0,100.0,0
19,Mauricio Kozlinski,mauricio-kozlinski,Mauricio Kozlinski,G,190.0,Right,55,879859,30.0,1991-06-18,2023-12-31,2020,380000.0,BR,Brazil,380000.0,EUR,https://api.sofascore.app/api/v1/player/879859/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,14,0,0,0,78.57,0,0.0,11,11,0,0,3,0,0.0,0,1,90,3,0,100.0,0,1,0,1,0,1,0.0,100.0,0
