,name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image,goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,tackles,errorLeadToGoal,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed
179,Estêvão,estevao,Estêvão,M,176.0,Left,116,1116660,26.0,2002-02-03,2026-06-30,1966,290000.0,BR,Brazil,290000.0,EUR,https://api.sofascore.app/api/v1/player/1116660/image,0,0.0,0,0,0,0,0.02,1,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,0,90.91,0,0.0,10,4,0,0,1,6,0.0,0,0,10,1,0,0.0,1,1,3,3,1,0,75.0,75.0,0
180,Gatito Fernández,gatito-fernandez,G. Fernández,G,191.0,Right,440,840027,1.0,1988-03-29,2024-12-31,1958,440000.0,PY,Paraguay,440000.0,EUR,https://api.sofascore.app/api/v1/player/840027/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,1,0,1,1,0,0,1,0,10,0,1,0,80.0,0,33.33,8,7,0,0,2,1,0.0,0,0,45,2,0,0.0,0,1,0,0,0,0,0.0,0.0,0
181,Arthur Wenderroscky,arthur-wenderroscky,A. Wenderroscky,M,172.0,Left,176,1382913,28.0,2005-02-24,,199294,270000.0,BR,Brazil,270000.0,EUR,https://api.sofascore.app/api/v1/player/1382913/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,7,2,0,83.33,4,100.0,15,5,1,0,3,11,100.0,0,0,24,5,0,0.0,0,2,2,2,0,0,66.67,66.67,0
182,Gabriel Grando,gabriel-grando,Gabriel Grando,G,192.0,Right,538,1111770,12.0,2000-03-29,2025-12-31,5926,2300000.0,BR,Brazil,2300000.0,EUR,https://api.sofascore.app/api/v1/player/1111770/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,1,1,0,0,37,2,111,60,28,0,5,49,6,4,48,6,0,3,29,0,707,16,158,0,58.13,2,35.19,411,328,0,0,296,83,0.0,5,8,2790,307,0,100.0,8,31,6,14,0,31,75.0,87.5,0
183,Luciano,luciano,Luciano,F,181.0,Left,2627,282557,10.0,1993-05-18,2024-12-31,1981,2700000.0,BR,Brazil,2700000.0,EUR,https://api.sofascore.app/api/v1/player/282557/image,7,59.52,22,0,1,2,6.73,68,10.29,0,1,5,7,24,2,0,6,50.0,25,22,1,6,0,0.0,23,0,4,0,0,0,9,10,0,0,0,0,1,0,0,0,18,0,0,5,0,4,783,216,66,2,83.4,22,82.5,653,219,5,0,130,439,23.81,5,13,1953,227,0,38.24,50,32,98,111,24,22,56.32,53.37,27
184,Igor Gomes,igor-gomes,I. Gomes,M,182.0,Right,644,913598,17.0,1999-03-17,2026-12-31,1977,4600000.0,BR,Brazil,4600000.0,EUR,https://api.sofascore.app/api/v1/player/913598/image,2,75.0,9,0,0,0,1.79,19,10.53,0,0,1,1,5,0,0,0,0.0,30,5,0,2,2,0.0,17,0,10,0,0,0,9,14,0,0,0,0,0,0,0,0,11,0,0,1,0,3,602,158,29,1,78.9,28,59.18,475,189,15,0,127,301,24.59,1,19,1308,240,0,51.35,19,27,65,84,23,15,52.42,52.17,14
185,Caetano,caetano,Caetano,D,182.0,Left,479,959006,14.0,1999-06-24,2024-12-31,1957,1600000.0,BR,Brazil,1600000.0,EUR,https://api.sofascore.app/api/v1/player/959006/image,0,50.0,1,0,0,0,0.13,2,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0.0,11,0,18,1,1,0,59,3,0,0,0,0,2,0,0,0,16,0,0,2,0,0,717,41,61,0,90.1,0,62.24,646,475,0,0,71,171,0.0,3,18,1110,80,0,58.06,7,15,19,37,8,12,65.52,61.67,0
186,Allano,allano,Allano,F,182.0,Left,92,796925,77.0,1995-04-24,2024-12-31,1960,380000.0,BR,Brazil,380000.0,EUR,https://api.sofascore.app/api/v1/player/796925/image,1,50.0,5,0,0,2,2.13,30,3.33,0,0,5,1,13,0,0,0,0.0,21,12,0,1,1,0.0,38,0,11,0,0,0,11,23,0,0,0,0,2,0,0,0,13,0,0,1,0,1,400,123,12,0,75.0,12,41.38,300,98,2,0,100,204,15.38,5,27,1245,196,0,57.45,42,19,101,128,21,15,54.59,55.17,20
187,Julián Palacios,julian-palacios,J. Palacios,M,172.0,Right,168,1005177,10.0,1999-02-04,2023-12-31,1960,580000.0,AR,Argentina,580000.0,EUR,https://api.sofascore.app/api/v1/player/1005177/image,1,61.18,11,1,0,0,1.38,32,3.13,2,0,3,0,11,0,0,0,0.0,52,10,0,1,1,0.0,27,0,12,0,0,0,4,36,0,0,0,0,0,0,0,0,33,0,0,3,0,4,477,188,17,1,75.68,52,48.57,361,88,36,1,116,309,40.91,7,9,1640,287,0,23.08,56,27,135,144,36,19,50.0,46.6,34
188,Caio Alexandre,caio-alexandre,Caio Alexandre,M,174.0,Right,323,1008832,8.0,1999-02-24,2023-12-31,2020,2600000.0,BR,Brazil,2600000.0,EUR,https://api.sofascore.app/api/v1/player/1008832/image,2,59.26,4,0,1,1,1.89,19,10.53,0,0,4,2,6,0,0,0,0.0,16,9,0,1,2,0.0,71,0,24,0,0,0,19,57,0,0,0,0,7,0,0,0,26,0,0,5,0,4,1705,316,105,2,88.39,30,62.13,1507,696,8,1,198,819,29.63,4,9,2564,301,0,31.03,39,33,125,134,54,31,44.8,43.51,34
189,Dimitri Payet,dimitri-payet,D. Payet,M,175.0,Both,7302,14216,10.0,1987-03-29,2025-06-30,1974,1700000.0,FR,France,1700000.0,EUR,https://api.sofascore.app/api/v1/player/14216/image,2,73.68,3,0,1,0,0.62,10,20.0,3,0,0,1,4,0,1,1,0.0,14,3,0,1,1,33.33,6,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,1,0,3,333,93,16,1,82.28,16,64.0,274,95,10,1,59,189,16.13,0,2,712,146,0,25.0,15,15,35,37,3,6,59.32,55.22,9
190,Bruno Fuchs,bruno-fuchs,Bruno Fuchs,D,190.0,Right,427,973737,3.0,1999-04-01,2023-12-31,1977,1900000.0,BR,Brazil,1900000.0,EUR,https://api.sofascore.app/api/v1/player/973737/image,0,60.0,0,0,0,0,0.26,0,0.0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,13,0,16,0,0,0,53,4,0,0,0,0,5,0,0,0,7,0,0,2,0,1,651,44,61,0,84.18,3,52.59,548,363,1,1,103,186,33.33,2,15,1102,114,0,50.0,10,15,26,41,11,13,59.09,55.41,3
191,Ayrton Lucas,ayrton-lucas,Ayrton Lucas,D,180.0,Left,2496,818473,6.0,1997-06-19,2027-12-31,5981,8400000.0,BR,Brazil,8400000.0,EUR,https://api.sofascore.app/api/v1/player/818473/image,4,62.5,8,1,1,1,2.68,25,16.0,0,0,0,2,9,0,0,2,0.0,45,8,0,3,2,0.0,60,0,10,0,0,0,42,29,0,0,0,0,10,0,0,0,25,0,0,2,0,3,1491,322,54,3,87.06,17,55.67,1298,609,11,1,193,700,15.71,8,31,2495,360,0,53.45,47,33,151,182,39,28,54.91,54.65,31
192,Christian,christian,Christian,M,178.0,Right,297,981733,88.0,2000-12-19,2024-12-31,1967,7500000.0,BR,Brazil,7500000.0,EUR,https://api.sofascore.app/api/v1/player/981733/image,4,63.64,9,0,1,1,2.54,24,16.67,0,2,0,3,7,0,0,0,0.0,21,8,0,3,2,0.0,21,0,10,1,0,0,7,11,0,0,0,0,3,0,0,0,13,0,0,1,0,3,506,124,19,0,80.83,15,52.78,409,168,5,0,97,246,25.0,1,6,1198,158,0,23.08,22,19,64,70,28,12,52.03,46.98,8
193,Neris,neris,Neris,D,190.0,Right,109,840247,27.0,1992-06-17,2024-12-31,1954,750000.0,BR,Brazil,750000.0,EUR,https://api.sofascore.app/api/v1/player/840247/image,0,66.67,6,0,0,0,0.77,15,0.0,0,0,0,0,4,0,0,0,0.0,10,5,0,0,0,0.0,29,0,33,1,1,0,88,9,0,0,0,0,7,0,0,0,15,0,0,3,0,2,953,83,72,1,84.16,3,54.96,802,475,1,0,151,328,33.33,7,59,2024,182,0,67.05,11,25,49,108,47,23,43.75,54.0,5
194,Bruno Henrique,bruno-henrique,Bruno Henrique,M,180.0,Right,359,345113,8.0,1989-10-21,2025-12-31,1966,770000.0,BR,Brazil,770000.0,EUR,https://api.sofascore.app/api/v1/player/345113/image,2,57.14,6,0,1,1,1.27,18,11.11,3,0,0,0,7,0,0,0,0.0,4,5,0,1,2,0.0,14,0,3,0,0,0,10,15,0,0,0,0,1,0,0,0,12,0,0,2,0,3,593,136,27,0,84.49,26,58.7,501,197,12,0,92,316,33.33,3,11,896,145,0,40.74,21,18,38,49,26,8,41.3,41.18,10
195,Cacá,caca,Cacá,D,185.0,Right,174,929200,25.0,1999-04-25,2024-06-30,1967,620000.0,BR,Brazil,620000.0,EUR,https://api.sofascore.app/api/v1/player/929200/image,2,50.0,1,0,0,0,1.16,8,25.0,0,0,0,0,2,0,0,1,0.0,3,5,0,2,1,0.0,26,0,18,1,0,0,64,7,0,0,0,0,3,0,0,0,11,0,0,6,0,1,700,47,52,0,82.14,5,44.44,575,402,1,0,125,174,25.0,5,39,1605,154,0,54.17,9,18,38,77,27,18,47.5,50.66,6
196,Ramiro,ramiro,Ramiro,M,167.0,Right,298,330693,17.0,1993-05-22,2024-12-31,1954,1500000.0,BR,Brazil,1500000.0,EUR,https://api.sofascore.app/api/v1/player/330693/image,1,60.0,0,0,0,0,0.77,6,16.67,0,0,0,0,2,0,0,0,0.0,3,4,0,1,1,0.0,7,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,1,241,63,7,1,84.23,5,70.0,203,83,3,0,38,123,75.0,3,1,413,50,0,9.09,0,6,10,11,7,6,38.46,29.73,1
197,Adyson,adyson,Adyson,F,168.0,Left,75,1175259,44.0,2005-09-22,2025-12-31,1973,920000.0,BR,Brazil,920000.0,EUR,https://api.sofascore.app/api/v1/player/1175259/image,0,71.43,1,0,0,0,0.1,2,0.0,0,0,0,0,1,0,0,0,0.0,5,0,0,0,0,0.0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,59,22,1,0,79.66,6,50.0,47,11,9,0,12,45,42.86,0,0,133,34,0,0.0,5,6,15,15,2,0,62.5,62.5,4
198,Pablo,pablo,Pablo,D,188.0,Right,818,243735,30.0,1991-06-21,2025-12-31,5981,1900000.0,BR,Brazil,1900000.0,EUR,https://api.sofascore.app/api/v1/player/243735/image,0,100.0,0,0,0,0,0.06,1,0.0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0.0,4,0,5,0,0,0,33,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,276,15,3,0,92.03,0,25.0,254,167,0,0,22,87,0.0,0,19,353,24,0,73.08,1,6,6,25,6,3,54.55,67.57,0
199,Pepê,pepe,Pepê,M,183.0,Right,549,946945,23.0,1998-01-06,2025-12-31,5926,1900000.0,BR,Brazil,1900000.0,EUR,https://api.sofascore.app/api/v1/player/946945/image,1,59.26,1,0,0,0,0.74,5,20.0,0,0,1,0,1,0,0,0,0.0,16,3,0,1,1,0.0,34,0,14,0,0,0,23,17,0,0,0,0,2,0,0,0,20,0,0,1,0,1,672,154,30,1,87.65,8,61.22,589,272,3,0,83,320,15.79,1,15,1236,144,0,42.86,51,16,99,114,27,14,59.64,56.72,12
200,Hugo,hugo,Hugo,D,175.0,Left,203,1018915,16.0,2001-09-20,2024-12-31,1958,1900000.0,BR,Brazil,1900000.0,EUR,https://api.sofascore.app/api/v1/player/1018915/image,0,48.28,1,0,0,0,0.19,6,0.0,0,0,0,0,2,0,0,0,0.0,14,3,0,0,0,0.0,55,0,20,0,0,0,34,24,0,0,0,0,6,0,0,0,10,0,0,1,0,2,525,118,17,2,80.38,18,38.64,422,151,18,0,103,289,32.14,3,14,1278,217,0,40.0,13,20,82,96,32,12,51.9,49.74,5
201,Mateus Pasinato,mateus-pasinato,Mateus Pasinato,G,192.0,Right,104,914169,14.0,1992-06-28,2024-12-31,1973,325000.0,BR,Brazil,325000.0,EUR,https://api.sofascore.app/api/v1/player/914169/image,0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,1,0,1,0,0,17,1,41,17,11,1,1,22,6,2,19,6,0,1,14,0,194,9,54,0,69.59,0,48.65,135,101,0,0,59,34,0.0,1,3,900,62,0,75.0,2,10,3,6,0,10,75.0,75.0,0
202,Marllon,marllon,Marllon,D,184.0,Right,92,221206,4.0,1992-04-16,2023-12-31,49202,480000.0,BR,Brazil,480000.0,EUR,https://api.sofascore.app/api/v1/player/221206/image,1,75.0,0,0,0,0,1.49,13,7.69,0,0,1,2,4,0,0,0,0.0,6,9,0,1,1,0.0,47,0,25,0,1,0,139,20,0,0,0,0,12,0,0,0,33,0,0,1,0,1,1377,71,96,1,86.27,4,53.63,1188,811,0,0,189,377,0.0,7,59,3060,205,0,62.77,17,34,69,128,28,34,57.5,59.81,1
203,Thaciano,thaciano,Thaciano,M,182.0,Right,408,872039,16.0,1995-05-12,2025-12-31,1955,775000.0,BR,Brazil,775000.0,EUR,https://api.sofascore.app/api/v1/player/872039/image,5,55.1,12,0,0,2,8.8,62,8.06,0,0,6,7,18,2,0,1,100.0,27,32,2,5,4,0.0,47,0,24,0,0,0,26,31,0,0,0,0,4,0,0,0,33,0,0,3,0,3,1020,220,54,4,83.24,28,67.5,849,360,4,0,171,493,22.22,4,42,2745,270,0,42.86,28,33,102,144,35,33,49.28,47.21,18
204,Gabriel Pires,gabriel-pires,G. Pires,M,186.0,Left,493,178407,14.0,1993-09-18,2023-12-31,1958,3800000.0,BR,Brazil,3800000.0,EUR,https://api.sofascore.app/api/v1/player/178407/image,0,50.0,3,0,0,0,0.7,14,0.0,3,0,0,1,4,0,0,0,0.0,10,7,0,0,0,0.0,29,0,16,0,0,0,12,20,0,0,0,0,0,0,0,0,5,0,0,0,0,4,465,85,36,1,73.98,16,55.38,344,142,7,0,121,209,43.75,2,23,794,175,1,65.71,8,15,47,70,16,9,43.12,48.61,16
205,Cristian Pavón,cristian-pavon,C. Pavón,M,169.0,Right,1638,358956,9.0,1996-01-21,2025-06-30,1977,3700000.0,AR,Argentina,3700000.0,EUR,https://api.sofascore.app/api/v1/player/358956/image,3,52.24,15,0,0,1,4.28,53,5.66,1,0,10,0,17,1,0,1,100.0,35,21,1,3,2,0.0,32,0,19,0,0,0,6,41,0,0,0,0,3,0,0,0,16,0,0,3,0,6,830,229,27,7,82.53,37,60.0,685,242,12,0,145,455,14.81,7,13,1842,332,0,34.21,24,31,91,104,19,20,42.52,41.27,32
206,Gabriel Vasconcelos,gabriel-vasconcelos,Gabriel Vasconcelos,G,193.0,Right,188,147467,1.0,1992-09-27,2026-12-31,1982,1500000.0,BR,Brazil,1500000.0,EUR,https://api.sofascore.app/api/v1/player/147467/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,39,0,112,68,19,1,6,43,13,8,48,13,1,12,40,1,845,42,196,1,61.07,1,37.76,516,380,0,0,329,136,0.0,3,10,2766,340,0,90.91,4,31,5,15,0,31,100.0,93.75,0
207,Hyoran,hyoran,Hyoran,M,174.0,Right,425,551348,20.0,1993-05-25,2023-12-31,1977,2600000.0,BR,Brazil,2600000.0,EUR,https://api.sofascore.app/api/v1/player/551348/image,2,50.0,3,0,1,1,2.13,19,10.53,3,0,1,2,5,0,1,1,0.0,10,11,0,1,1,33.33,15,0,3,0,1,0,5,17,0,0,0,0,0,0,0,0,5,0,0,1,0,4,243,75,11,0,77.78,16,47.83,189,53,9,0,54,145,18.0,4,5,700,128,0,45.45,12,12,37,42,24,12,40.22,40.78,5
208,Wellington Rato,wellington-rato,W. Rato,M,172.0,Left,735,865356,27.0,1992-06-28,2025-12-31,1981,1100000.0,BR,Brazil,1100000.0,EUR,https://api.sofascore.app/api/v1/player/865356/image,0,56.36,16,0,0,1,2.94,36,0.0,6,0,10,4,5,1,0,0,0.0,31,15,0,0,0,0.0,22,0,6,0,1,0,23,14,0,0,0,0,1,0,0,0,16,0,0,4,0,5,750,217,51,3,81.47,42,57.95,611,223,34,0,139,422,23.13,6,11,1611,333,0,57.89,16,30,69,80,20,19,48.25,49.38,17
209,Sergio Rochet,sergio-rochet,Sergio Rochet,G,190.0,Right,1042,581060,33.0,1993-03-23,2026-12-31,1966,3300000.0,UY,Uruguay,3300000.0,EUR,https://api.sofascore.app/api/v1/player/581060/image,0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,1,0,4,0,0,14,1,53,29,11,0,5,24,7,5,19,6,0,4,17,0,425,12,78,0,64.94,0,34.98,276,230,0,0,149,46,0.0,4,10,1530,150,0,100.0,9,17,6,16,0,17,85.71,94.12,0
210,Martín Benítez,martin-benitez,M. Benítez,M,173.0,Right,613,155715,10.0,1994-06-17,2025-12-31,1973,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/155715/image,3,55.56,11,0,1,2,2.56,36,8.33,6,0,4,3,10,0,0,0,0.0,35,15,0,2,3,0.0,11,0,6,0,0,0,3,10,0,0,0,0,0,0,0,0,27,0,0,4,0,6,500,157,37,4,71.8,29,53.62,359,103,20,0,141,276,39.22,4,5,1125,246,0,35.71,45,20,90,95,14,14,54.22,52.78,26
211,Alisson,alisson,Alisson,M,174.0,Right,732,291723,25.0,1993-06-25,2024-12-31,1981,470000.0,BR,Brazil,470000.0,EUR,https://api.sofascore.app/api/v1/player/291723/image,0,62.86,7,1,0,0,1.07,21,0.0,1,0,2,0,4,0,0,0,0.0,22,10,0,0,0,0.0,40,1,25,0,0,0,24,38,0,0,0,0,4,0,0,0,14,0,0,5,0,4,1164,310,47,5,87.03,27,71.21,1013,394,15,0,151,634,25.42,2,17,2017,261,0,36.96,42,33,103,120,37,24,46.82,45.11,31
212,Samuel Xavier,xavier-samuel,S. Xavier,D,166.0,Right,386,795773,2.0,1990-06-06,2024-12-31,1961,460000.0,BR,Brazil,460000.0,EUR,https://api.sofascore.app/api/v1/player/795773/image,1,52.38,6,0,1,0,0.91,24,4.17,0,0,4,0,3,0,0,0,0.0,11,15,0,0,1,0.0,29,0,16,0,0,0,27,10,0,0,0,0,7,0,0,0,23,0,0,3,0,3,1150,255,39,2,86.78,22,51.32,998,493,4,0,152,509,12.5,7,18,2115,247,0,35.29,40,25,79,97,22,25,58.96,52.43,15
213,Ademir,ademir,Ademir,F,172.0,Left,546,922546,7.0,1995-02-16,2025-12-31,1955,3600000.0,BR,Brazil,3600000.0,EUR,https://api.sofascore.app/api/v1/player/922546/image,4,52.0,6,1,0,0,6.05,34,11.76,1,0,6,4,14,0,0,2,0.0,39,14,0,4,2,0.0,30,0,10,0,0,0,2,24,0,0,0,0,1,0,0,0,25,0,0,1,0,1,482,186,21,1,75.52,31,65.63,364,81,22,0,118,305,24.44,5,18,1697,297,0,39.13,83,31,150,168,27,19,57.03,54.37,26
214,Ruan Oliveira,ruan-oliveira,Ruan Oliveira,M,176.0,Right,290,1047656,33.0,2000-03-23,2023-12-31,1957,545000.0,BR,Brazil,545000.0,EUR,https://api.sofascore.app/api/v1/player/1047656/image,2,65.38,3,1,1,0,0.49,15,13.33,3,0,1,0,6,0,1,0,0.0,17,6,0,1,2,33.33,23,1,8,0,0,0,11,21,0,0,0,0,0,0,0,0,9,0,0,1,0,2,296,69,10,1,79.39,14,47.62,235,83,12,0,61,164,27.91,3,1,905,136,0,9.09,13,18,53,54,19,11,48.18,44.63,10
215,João Ricardo,joao-ricardo,J. Ricardo,G,188.0,Right,204,839761,1.0,1988-09-06,2024-12-31,2020,375000.0,BR,Brazil,375000.0,EUR,https://api.sofascore.app/api/v1/player/839761/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,2,1,0,20,0,90,54,15,1,7,34,1,6,31,1,2,7,27,0,568,13,135,0,59.86,0,37.6,340,265,0,0,228,75,0.0,5,10,2689,233,0,100.0,11,30,7,17,1,30,87.5,94.44,0
216,Pedro,pedro,Pedro,F,186.0,Right,14019,840219,9.0,1997-06-20,2027-12-31,5981,21000000.0,BR,Brazil,21000000.0,EUR,https://api.sofascore.app/api/v1/player/840219/image,12,42.86,16,1,1,0,10.54,60,20.0,0,0,2,8,28,4,0,0,100.0,15,16,4,11,12,0.0,18,0,8,0,0,0,13,10,0,0,0,0,2,0,0,0,20,0,0,2,0,0,356,118,12,0,76.69,21,70.59,273,89,0,0,83,184,0.0,1,22,1988,189,0,36.07,19,32,52,74,18,24,43.33,40.88,23
217,Islam Slimani,islam-slimani,I. Slimani,F,188.0,Right,8838,238708,9.0,1988-06-18,2024-12-31,1982,1600000.0,DZ,Algeria,1600000.0,EUR,https://api.sofascore.app/api/v1/player/238708/image,3,40.0,3,0,0,0,2.22,18,16.67,0,2,9,1,8,0,0,1,0.0,2,7,0,3,0,0.0,2,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,16,0,0,3,0,3,212,50,3,2,73.58,8,42.86,156,61,1,0,56,96,50.0,0,27,823,101,1,56.25,11,11,14,41,12,10,29.17,42.71,14
218,Danielzinho,danielzinho,Danielzinho,M,173.0,Right,263,840218,55.0,1996-01-11,2024-12-31,1961,1400000.0,BR,Brazil,1400000.0,EUR,https://api.sofascore.app/api/v1/player/840218/image,0,36.36,1,0,0,0,0.43,6,0.0,0,0,0,1,2,0,0,0,0.0,4,3,0,0,0,0.0,15,0,7,0,0,0,6,6,0,0,0,0,0,0,0,0,8,0,0,0,0,2,498,148,21,0,86.14,23,55.26,429,162,5,0,69,272,38.46,1,0,640,101,0,0.0,14,16,33,33,8,7,53.23,50.0,10
219,Breno Lopes,breno-lopes,Breno Lopes,F,178.0,Right,685,937552,19.0,1996-01-24,2024-12-31,1963,1400000.0,BR,Brazil,1400000.0,EUR,https://api.sofascore.app/api/v1/player/937552/image,4,47.06,8,0,0,2,5.77,44,9.09,0,0,13,8,22,0,0,2,0.0,8,14,0,4,2,0.0,15,0,4,0,0,0,2,6,0,0,0,0,0,0,0,0,9,0,0,4,0,2,294,98,11,3,80.95,6,84.62,238,85,2,0,56,155,7.41,1,19,1238,125,0,45.24,40,29,63,82,10,12,64.95,58.99,12
220,Fagner,fagner,Fagner,D,168.0,Right,1645,25554,23.0,1989-06-11,2024-12-31,1957,870000.0,BR,Brazil,870000.0,EUR,https://api.sofascore.app/api/v1/player/25554/image,0,54.17,2,0,0,1,0.64,9,0.0,2,0,0,0,1,0,0,0,0.0,13,6,0,0,0,0.0,42,0,16,0,0,0,50,19,0,0,0,0,4,0,0,0,27,0,0,5,0,3,1069,223,55,1,79.7,42,42.97,852,412,33,2,217,473,30.56,10,5,1940,394,0,31.25,37,28,92,97,22,20,59.35,56.73,11
221,Imanol Machuca,imanol-machuca,I. Machuca,M,169.0,Right,379,974698,39.0,2000-01-15,2027-12-31,2020,2600000.0,AR,Argentina,2600000.0,EUR,https://api.sofascore.app/api/v1/player/974698/image,2,58.82,2,0,0,0,1.27,14,14.29,1,0,4,0,8,0,0,1,0.0,30,4,0,2,1,0.0,18,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,1,0,1,213,86,7,0,85.45,19,87.5,182,38,16,0,31,160,33.33,4,5,677,126,0,50.0,5,15,53,58,12,6,46.9,47.15,18
222,Patryck,patryck,Patryck,D,180.0,Left,454,1002528,36.0,2003-01-18,2027-04-30,1981,1400000.0,BR,Brazil,1400000.0,EUR,https://api.sofascore.app/api/v1/player/1002528/image,0,66.67,0,0,0,0,0.07,2,0.0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0.0,6,0,7,0,0,0,10,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,132,20,4,0,75.76,2,40.0,100,55,3,0,32,48,37.5,2,8,362,59,0,53.33,6,5,14,22,2,4,58.33,56.41,4
223,Jair,jair,Jair,M,178.0,Right,549,268419,8.0,1994-08-28,2025-12-31,1974,4900000.0,BR,Brazil,4900000.0,EUR,https://api.sofascore.app/api/v1/player/268419/image,3,62.96,2,1,0,0,2.2,15,20.0,0,0,0,1,6,2,0,0,100.0,17,7,2,3,3,0.0,37,0,14,0,0,0,12,30,0,0,0,0,1,0,0,0,22,0,0,3,0,1,886,208,54,0,89.62,16,68.35,794,347,4,0,92,451,50.0,6,18,1499,142,1,54.55,50,27,104,122,35,15,57.14,56.74,5
224,Aloísio,aloisio,Aloísio,F,175.0,Right,270,243497,99.0,1988-06-19,2023-12-31,1973,210000.0,CN,China,210000.0,EUR,https://api.sofascore.app/api/v1/player/243497/image,3,40.91,10,0,0,4,4.28,36,8.33,2,0,6,2,12,2,0,0,100.0,9,14,2,3,2,0.0,5,0,2,0,0,0,3,14,0,0,0,0,0,0,0,0,13,0,0,2,0,2,153,42,5,1,63.4,5,55.56,97,38,2,0,56,61,33.33,3,8,724,107,0,33.33,9,12,23,31,18,10,30.26,31.0,8
225,Luan Patrick,luan-patrick,Luan Patrick,D,190.0,Right,151,1002565,30.0,2002-01-20,2023-12-31,1999,1400000.0,BR,Brazil,1400000.0,EUR,https://api.sofascore.app/api/v1/player/1002565/image,0,0.0,1,0,0,0,0.62,4,0.0,0,0,0,1,1,0,0,0,0.0,0,2,0,0,0,0.0,9,0,17,1,0,0,32,7,0,0,0,0,7,0,0,0,10,0,0,0,0,2,608,51,48,1,84.7,5,50.0,515,351,1,0,93,165,100.0,3,8,1111,101,0,30.77,3,14,12,20,11,12,40.0,35.71,0
