yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.id,team.id
1,43,1194,154,0,43.88,17,15,30,73,25,14,39.47,41.95,17,7.46,873891,5254
2,2,1260,156,1,66.67,4,14,4,6,0,14,100.0,85.71,0,7.41,877442,213638
6,10,2349,443,0,37.04,30,29,88,98,29,28,51.46,49.49,24,7.34,789939,248196
6,5,1545,215,0,50.0,50,21,94,99,20,19,63.09,62.26,14,7.33,42573,21942
7,8,1902,320,0,57.14,37,29,88,96,33,21,51.46,51.89,27,7.29,826826,5257
0,18,1395,158,0,58.06,32,22,44,62,24,15,41.51,45.26,20,7.24,105717,39723
2,3,2070,155,0,75.0,6,23,6,9,0,23,75.0,75.0,0,7.22,108832,21942
2,8,1399,245,0,53.33,84,25,142,150,14,14,66.67,65.79,26,7.2,845323,5249
8,21,2225,362,1,61.76,35,27,99,120,40,26,53.8,55.05,24,7.19,33308,21942
7,3,1461,319,1,33.33,27,24,57,60,10,17,50.44,49.18,22,7.19,42454,5250
1,1,1935,219,0,50.0,1,22,2,3,0,21,66.67,60.0,0,7.19,588618,5249
5,33,1481,141,0,41.77,13,20,27,60,18,18,39.13,40.54,14,7.18,1199361,21941
2,1,2250,132,0,100.0,1,25,2,3,0,25,100.0,100.0,0,7.18,33567,5257
0,18,1386,253,2,85.71,20,21,57,75,23,16,57.0,61.98,5,7.18,805485,5257
2,4,1955,337,0,17.39,50,25,76,80,16,23,53.52,48.48,15,7.18,174935,5251
2,1,588,51,1,50.0,0,7,0,1,0,7,0.0,50.0,0,7.14,107249,5249
5,2,1566,222,0,20.0,20,24,40,42,10,18,51.95,48.28,13,7.14,155786,39723
1,3,2610,203,0,100.0,3,29,3,6,1,29,75.0,85.71,0,7.13,905632,5255
4,26,1724,309,0,57.78,39,22,70,96,20,20,47.95,50.26,30,7.12,873887,377757
3,11,1057,135,0,50.0,9,14,23,34,10,13,58.97,55.74,1,7.11,877436,39723
2,1,2430,458,0,10.0,52,29,124,125,30,29,56.88,54.82,26,7.11,906808,213638
9,55,2264,170,0,68.75,9,26,43,98,19,25,58.9,64.05,2,7.1,839638,5257
0,0,243,36,1,0.0,0,3,0,0,1,3,0.0,0.0,0,7.1,1185856,377757
3,11,986,203,2,40.74,16,14,31,42,11,12,48.44,46.15,7,7.09,221748,5251
8,19,2037,144,0,39.58,43,25,57,76,30,25,47.9,45.51,14,7.08,340247,188850
5,42,1260,116,0,75.0,5,14,21,63,14,14,56.76,67.74,1,7.08,874645,5251
3,20,2204,224,0,54.05,7,25,31,51,17,25,53.45,53.68,4,7.08,896806,39723
9,11,1962,164,0,55.0,47,26,105,116,46,24,53.85,53.95,11,7.07,859965,5251
9,1,1095,129,0,20.0,23,15,34,35,20,12,41.46,40.23,20,7.06,47658,5255
4,50,1430,218,0,46.73,26,25,58,108,29,17,49.15,48.0,20,7.06,961894,5254
1,7,1428,158,0,53.85,15,19,60,67,14,15,46.51,47.18,22,7.06,796328,21942
