tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
12,0,0,4,0,0,0,2,18,6.86,38784,3215
48,0,0,22,0,0,0,16,25,6.86,78851,7628
33,0,3,5,0,0,0,7,19,6.85,1003010,3202
20,0,1,15,0,0,0,23,6,6.85,20738,3215
26,0,4,27,0,0,0,67,14,6.85,1117093,3203
55,0,6,44,0,1,0,61,21,6.85,896624,65668
71,0,7,48,0,0,0,42,43,6.85,976485,3209
47,0,6,28,0,0,0,20,25,6.85,1066560,3202
0,0,0,0,0,0,0,3,0,6.85,871837,3215
2,0,1,2,0,1,0,6,3,6.85,174519,3206
21,0,3,1,0,0,0,22,19,6.85,906811,4937
15,0,1,0,0,0,0,15,12,6.85,860051,7629
50,0,12,34,1,0,0,53,33,6.85,824513,36839
14,0,0,3,0,0,0,1,11,6.84,898982,36833
18,0,0,3,0,0,0,1,12,6.84,897000,4937
0,0,2,0,0,0,0,8,2,6.84,830775,3208
2,0,6,10,0,0,0,72,3,6.84,249425,42338
59,0,10,30,0,0,0,39,32,6.84,584422,36833
35,0,0,18,1,1,1,3,15,6.84,1003012,3202
25,0,3,13,0,0,0,7,30,6.84,341077,3217
32,0,6,11,1,0,0,15,17,6.84,1117026,3216
19,0,0,3,0,0,0,8,20,6.84,13207,42338
47,0,5,22,0,0,0,30,29,6.84,285611,3207
0,0,6,0,2,0,0,5,0,6.84,147578,3204
2,0,7,2,0,0,0,13,0,6.84,789855,7629
2,1,8,1,1,1,0,18,0,6.83,38266,6074
26,0,4,26,1,0,0,39,19,6.83,583660,65676
23,0,3,10,0,0,0,3,18,6.83,1489941,3219
61,0,6,30,0,0,0,100,19,6.83,879875,3207
14,0,0,1,0,0,0,2,6,6.83,895592,3202
26,0,1,12,1,0,0,13,20,6.83,1167858,3212
20,0,5,16,0,0,0,31,10,6.83,895340,36833
35,0,4,13,0,0,0,12,34,6.83,992114,3203
24,0,0,12,0,0,0,6,31,6.83,960016,3221
23,0,3,17,1,0,0,34,6,6.83,34391,3202
33,0,4,26,0,1,1,99,15,6.83,174825,3207
23,0,2,17,0,0,0,15,12,6.83,954700,3211
33,0,4,7,0,0,0,5,26,6.82,896773,3216
3,0,1,0,0,0,0,16,8,6.82,31973,3206
26,1,4,26,1,1,0,116,10,6.82,976345,3221
33,0,6,34,0,0,0,90,6,6.82,136758,3209
15,0,0,2,0,0,0,2,11,6.82,1003016,3206
4,0,2,5,0,0,0,6,5,6.82,788935,3207
16,0,3,1,0,0,0,0,11,6.82,789445,65676
50,0,6,25,0,0,0,65,35,6.82,1109302,6074
24,0,5,2,0,0,0,20,20,6.82,871580,3201
15,0,0,6,0,0,0,5,18,6.82,1018410,3221
70,1,6,27,0,0,0,32,39,6.82,914145,36839
67,0,8,28,0,0,0,44,42,6.82,841958,42338
51,0,4,16,0,0,0,44,20,6.82,992061,65668
24,0,3,16,0,0,0,48,5,6.82,579312,3210
22,0,0,6,0,0,0,3,17,6.82,1201391,3208
25,0,0,9,0,0,0,25,9,6.82,789446,3205
17,1,0,1,0,0,0,4,14,6.81,927308,7628
39,0,4,25,0,0,0,23,27,6.81,974318,42338
24,0,5,7,0,1,0,54,6,6.81,871805,65676
38,0,1,15,1,2,0,11,15,6.81,941433,3207
14,0,5,17,0,1,0,74,5,6.81,830753,42338
38,0,1,12,0,0,0,4,13,6.81,1104323,36839
27,0,1,5,0,0,0,10,17,6.81,941541,3211
12,0,0,2,0,0,0,1,21,6.81,1003025,3218
36,0,5,15,0,0,0,10,20,6.81,1065611,3216
5,0,0,1,0,0,0,0,4,6.81,954761,3204
16,0,0,6,0,0,0,1,6,6.81,944622,3205
20,0,0,10,0,1,0,12,4,6.81,830605,3209
44,0,6,2,0,0,0,23,22,6.81,871804,3204
48,0,2,8,0,0,0,22,23,6.81,584418,4937
1,0,8,1,0,0,0,27,0,6.81,895734,3205
26,0,0,13,0,0,0,2,8,6.81,939934,3216
23,0,11,21,0,0,0,108,16,6.8,981341,3204
13,0,2,1,0,0,0,30,18,6.8,981451,65668
38,0,1,12,0,0,0,9,26,6.8,986257,3215
6,0,0,0,0,0,0,8,1,6.8,329601,3211
13,0,3,6,0,0,0,20,5,6.8,977680,3209
22,0,1,14,0,0,0,4,20,6.8,558790,3215
66,0,2,16,0,0,0,14,30,6.8,1199248,3209
