goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
9,53.33,11,1,1,2,,60,15.0,0,0,11,4,22,0,0,2,0.0,8,27,0,8,7,0.0,7.46,873891,5254
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.41,877442,213638
10,44.12,12,1,2,2,0.0,84,11.9,13,0,7,5,38,5,2,0,100.0,15,34,5,8,10,15.38,7.34,789939,248196
6,68.42,4,0,0,1,0.0,27,22.22,2,0,1,0,14,1,0,1,100.0,26,9,1,6,5,0.0,7.33,42573,21942
10,56.1,17,1,2,1,0.0,56,17.86,12,0,5,1,20,7,1,0,85.71,23,19,6,8,10,8.33,7.29,826826,5257
12,30.77,13,2,1,1,0.0,62,19.35,2,4,9,4,22,2,0,2,100.0,4,27,2,11,6,0.0,7.24,105717,39723
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.22,108832,21942
2,62.5,11,0,1,2,0.0,53,3.77,25,0,0,0,21,1,1,0,100.0,40,21,1,1,2,4.0,7.2,845323,5249
1,58.62,8,0,1,2,0.0,27,3.7,3,0,1,1,7,0,0,0,0.0,17,12,0,0,1,0.0,7.19,33308,21942
10,50.0,6,0,3,1,0.0,37,27.03,6,1,0,1,15,5,0,0,80.0,15,16,4,7,9,0.0,7.19,42454,5250
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.19,588618,5249
13,63.64,5,0,0,2,0.0,40,32.5,0,5,4,5,22,4,0,2,75.0,7,13,3,13,6,0.0,7.18,1199361,21941
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.18,33567,5257
5,57.89,3,1,0,0,0.0,21,23.81,2,1,0,1,9,0,0,0,0.0,11,9,0,5,4,0.0,7.18,805485,5257
3,42.86,9,0,0,1,0.0,48,6.25,6,0,11,2,16,2,0,0,100.0,15,23,2,3,3,0.0,7.18,174935,5251
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.14,107249,5249
3,52.38,12,2,0,3,0.0,47,6.38,7,0,2,5,13,4,0,0,75.0,11,22,3,3,3,0.0,7.14,155786,39723
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.13,905632,5255
6,40.48,7,0,2,2,0.0,33,18.18,7,0,5,0,16,2,2,1,100.0,17,10,2,4,5,28.57,7.12,873887,377757
0,66.67,0,0,0,0,0.0,7,0.0,0,0,0,1,2,0,0,0,0.0,2,5,0,0,0,0.0,7.11,877436,39723
6,64.94,4,0,0,0,0.0,41,14.63,2,0,5,3,14,4,0,6,100.0,50,23,4,6,0,0.0,7.11,906808,213638
0,83.33,3,0,0,0,0.0,17,0.0,0,0,1,0,4,0,0,0,0.0,5,10,0,0,0,0.0,7.1,839638,5257
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.1,1185856,377757
3,45.0,5,0,1,1,0.0,42,7.14,7,1,2,0,14,0,1,0,0.0,9,23,0,2,2,14.29,7.09,221748,5251
16,46.67,10,1,2,0,0.0,58,27.59,5,4,12,4,26,8,1,0,100.0,7,22,8,14,12,20.0,7.08,340247,188850
1,100.0,2,0,0,0,,11,9.09,0,1,0,0,4,0,0,0,0.0,1,5,0,1,0,0.0,7.08,874645,5251
2,70.0,1,0,2,3,0.0,12,16.67,3,0,0,0,5,0,1,2,0.0,7,6,0,0,0,33.33,7.08,896806,39723
1,35.29,2,1,0,1,0.0,29,3.45,0,1,1,1,11,0,0,0,0.0,6,16,0,1,0,0.0,7.07,859965,5251
8,33.33,5,1,0,2,0.0,34,23.53,2,0,12,6,17,6,0,0,66.67,4,12,4,8,8,0.0,7.06,47658,5255
7,67.57,5,2,0,0,0.0,41,17.07,0,1,13,4,19,0,0,3,0.0,25,17,0,7,3,0.0,7.06,961894,5254
8,57.35,6,1,1,7,0.0,56,14.29,1,1,5,10,29,3,0,1,100.0,39,21,3,7,6,0.0,7.06,796328,21942
5,35.29,3,1,0,1,0.0,29,17.24,0,0,5,1,16,1,0,0,100.0,6,10,1,5,5,0.0,7.05,106458,5255
6,33.33,2,0,0,0,0.0,23,26.09,0,2,3,2,10,0,0,0,0.0,4,11,0,6,3,0.0,7.04,925147,5249
2,52.38,20,1,0,1,0.0,44,4.55,1,1,2,1,9,0,0,0,0.0,11,15,0,2,1,0.0,7.04,158395,5257
12,61.54,9,1,1,1,0.0,61,19.67,1,1,8,2,22,2,0,1,100.0,8,30,2,11,9,0.0,7.03,594430,5250
3,63.64,10,0,0,4,0.0,31,9.68,5,0,4,4,12,1,0,0,0.0,7,9,0,3,3,0.0,7.02,33703,5255
1,72.73,2,0,1,0,0.0,9,11.11,1,0,3,0,4,0,0,0,0.0,8,3,0,0,1,0.0,7.02,158593,5249
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.02,822736,5254
1,66.67,6,2,0,0,0.0,18,5.56,3,1,1,0,5,0,0,0,0.0,8,7,0,1,0,0.0,7.02,826831,39723
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,1470458,5255
0,100.0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0.0,7.0,1517144,5255
7,48.89,13,2,1,0,0.0,49,14.29,0,1,9,4,19,0,0,2,0.0,22,17,0,6,4,0.0,7.0,965310,21941
3,52.94,6,0,2,0,0.0,24,12.5,11,0,0,0,9,0,0,0,0.0,9,9,0,1,3,0.0,7.0,925740,39723
