goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
5,42.86,7,0,0,0,0.0,21,23.81,0,0,3,0,8,1,0,1,100.0,3,6,1,5,4,0.0,6.99,338,5257
4,23.08,4,1,0,1,0.0,35,11.43,0,1,7,3,18,0,0,0,0.0,3,13,0,4,3,0.0,6.99,895229,213638
0,63.64,2,1,0,2,0.0,10,0.0,0,0,0,0,3,0,0,0,0.0,7,5,0,0,0,0.0,6.99,977091,394127
5,40.19,18,2,1,1,0.0,65,7.69,0,0,5,5,22,0,0,2,0.0,43,25,0,4,3,0.0,6.99,1011412,21942
0,66.67,1,0,0,1,0.0,7,0.0,0,0,0,0,2,0,0,0,0.0,8,4,0,0,0,0.0,6.98,553508,21942
10,57.14,16,1,1,1,0.0,56,17.86,0,4,9,6,21,1,0,2,100.0,8,19,1,9,4,0.0,6.98,340415,5251
0,40.0,4,0,0,0,0.0,16,0.0,2,0,0,1,5,0,0,0,0.0,2,7,0,0,0,0.0,6.98,339967,5255
2,75.0,6,1,1,1,0.0,26,7.69,0,0,1,0,7,0,0,0,0.0,15,13,0,1,2,0.0,6.98,789402,5257
0,64.71,12,0,0,0,0.0,33,0.0,3,0,0,0,8,0,0,0,0.0,11,13,0,0,0,0.0,6.98,975528,5257
1,60.0,4,1,0,0,0.0,10,10.0,1,0,3,0,2,0,0,1,0.0,9,4,0,1,0,0.0,6.98,353296,5255
1,66.67,4,0,0,0,0.0,18,5.56,3,0,2,0,4,1,0,0,100.0,2,10,1,1,1,0.0,6.97,155776,5249
0,38.1,0,0,0,0,0.0,11,0.0,2,0,0,0,3,0,0,0,0.0,8,8,0,0,0,0.0,6.96,1066555,5257
1,55.56,9,0,0,1,0.0,38,2.63,0,0,1,1,12,0,0,1,0.0,30,17,0,1,0,0.0,6.96,989331,5255
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.96,174421,5250
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.96,794921,5251
3,80.0,3,1,0,0,0.0,13,23.08,0,0,2,0,7,0,0,0,0.0,4,3,0,3,3,0.0,6.96,312346,377757
2,56.45,5,0,0,0,0.0,13,15.38,0,0,6,0,5,1,0,0,100.0,35,3,1,2,2,0.0,6.96,975813,134976
2,40.0,2,0,0,1,0.0,25,8.0,0,0,0,1,10,1,0,0,100.0,2,13,1,2,2,0.0,6.95,250009,39723
3,34.29,6,0,1,0,0.0,26,11.54,2,0,2,0,7,0,0,1,0.0,12,13,0,2,2,0.0,6.95,975090,21941
3,81.82,7,0,1,0,0.0,31,9.68,0,0,1,2,10,1,0,0,0.0,9,14,0,2,3,0.0,6.95,822718,21942
7,42.62,11,0,0,0,0.0,45,15.56,1,0,5,1,22,3,0,0,100.0,26,12,3,7,7,0.0,6.95,922846,5254
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.95,925484,188850
2,51.85,5,0,1,1,0.0,31,6.45,3,0,3,0,11,0,0,1,0.0,14,15,0,1,1,0.0,6.94,836584,5255
0,57.14,5,0,0,0,0.0,16,0.0,0,0,0,0,5,0,0,0,0.0,8,6,0,0,0,0.0,6.94,1145130,5257
2,31.25,3,0,0,0,0.0,10,20.0,0,0,1,2,4,0,0,2,0.0,5,3,0,2,0,0.0,6.94,827140,5255
4,41.67,2,1,0,0,0.0,16,25.0,0,0,8,2,10,0,0,1,0.0,10,4,0,4,3,0.0,6.93,975548,5249
1,45.45,2,1,0,1,0.0,13,7.69,0,1,0,0,5,0,0,0,0.0,5,6,0,1,0,0.0,6.93,1086968,248196
1,100.0,3,0,0,0,0.0,9,11.11,0,0,0,1,1,0,0,1,0.0,6,5,0,1,0,0.0,6.93,980485,5257
3,28.57,7,0,2,0,0.0,30,10.0,12,0,0,1,12,1,1,0,0.0,2,11,0,1,3,8.33,6.92,975696,21941
0,35.71,4,0,0,2,0.0,19,0.0,0,0,0,0,5,0,0,0,0.0,5,10,0,0,0,0.0,6.92,359098,5257
4,55.17,5,0,2,2,0.0,37,10.81,3,0,5,5,14,0,1,3,0.0,16,18,0,2,1,33.33,6.92,1464025,39723
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,6.92,805464,377757
1,55.56,4,0,0,0,0.0,18,5.56,2,0,2,0,3,0,0,0,0.0,20,11,0,1,1,0.0,6.91,47668,377757
1,45.83,5,1,1,0,,17,5.88,1,0,0,0,3,0,0,0,0.0,11,9,0,0,1,0.0,6.91,1018554,5255
5,52.78,15,1,0,2,0.0,59,8.47,8,1,5,9,18,0,0,3,0.0,19,26,0,5,1,0.0,6.91,897059,5257
0,100.0,1,0,0,0,0.0,9,0.0,0,0,1,0,2,0,0,0,0.0,1,6,0,0,0,0.0,6.91,805203,5249
0,59.09,5,0,0,0,0.0,11,0.0,0,0,0,0,2,0,0,0,0.0,13,4,0,0,0,0.0,6.9,1134650,277525
1,55.56,2,0,0,0,,14,7.14,0,0,1,1,5,0,0,1,0.0,10,7,0,1,0,0.0,6.9,1116667,5249
1,50.0,1,0,0,0,0.0,10,10.0,2,0,2,0,3,0,0,0,0.0,1,6,0,1,1,0.0,6.9,898990,5255
0,100.0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,6.9,339563,5249
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.9,1067803,39723
1,60.0,9,0,0,0,0.0,23,4.35,1,0,0,1,6,0,0,1,0.0,6,8,0,1,0,0.0,6.89,1116579,5257
5,41.67,8,0,0,2,0.0,43,11.63,0,0,9,4,19,0,0,3,0.0,10,16,0,5,2,0.0,6.89,590176,5257
3,55.56,3,3,0,0,,21,14.29,0,0,10,2,8,0,0,1,0.0,5,10,0,3,2,0.0,6.89,868742,5255
1,100.0,0,0,0,0,0.0,9,11.11,0,0,0,0,6,0,0,0,0.0,4,3,0,1,1,0.0,6.89,827135,21942
0,75.0,4,0,0,0,0.0,9,0.0,0,0,0,1,3,0,0,0,0.0,3,2,0,0,0,0.0,6.89,998401,134976
3,33.33,0,0,0,1,0.0,16,18.75,2,1,1,1,6,2,0,0,50.0,1,10,1,3,2,0.0,6.88,1461225,5254
1,64.29,6,0,1,0,0.0,27,3.7,0,0,0,0,12,0,0,1,0.0,9,9,0,0,0,0.0,6.88,1466377,5254
1,27.78,6,1,0,0,0.0,22,4.55,1,0,0,2,3,0,0,0,0.0,5,13,0,1,1,0.0,6.88,588628,21941
3,65.0,6,1,0,0,0.0,26,11.54,8,0,0,0,8,3,0,0,100.0,13,12,3,3,3,0.0,6.88,1015290,213638
3,33.33,1,0,0,0,0.0,15,20.0,0,2,0,0,7,0,0,0,0.0,2,7,0,3,1,0.0,6.88,849170,5250
0,40.0,1,0,0,0,,6,0.0,0,0,0,0,0,0,0,0,0.0,2,5,0,0,0,0.0,6.88,1118571,377757
0,50.0,3,0,0,0,,6,0.0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0.0,6.88,971200,5255
11,40.0,10,1,1,0,0.0,43,25.58,0,0,7,4,18,3,0,3,66.67,4,15,2,10,8,0.0,6.87,846663,5249
7,27.27,6,1,0,1,0.0,34,20.59,0,4,8,3,15,0,0,1,0.0,3,13,0,7,2,0.0,6.87,1479176,134976
1,53.85,0,1,0,0,0.0,3,33.33,0,0,0,0,1,0,0,0,0.0,7,2,0,1,1,0.0,6.87,1122552,39723
1,100.0,1,0,0,0,0.0,2,50.0,0,0,0,0,1,0,0,1,0.0,2,0,0,1,0,0.0,6.87,871814,21942
1,72.73,4,0,0,0,0.0,15,6.67,0,1,0,0,6,0,0,0,0.0,8,5,0,1,0,0.0,6.86,844615,5249
5,45.83,8,0,0,2,0.0,47,10.64,2,0,14,7,17,0,0,0,0.0,11,22,0,5,5,0.0,6.86,882607,213638
4,46.3,11,0,0,0,0.0,38,10.53,2,1,7,0,14,1,0,0,100.0,25,13,1,4,3,0.0,6.86,896857,213638
4,0.0,6,0,1,0,0.0,16,25.0,0,1,0,0,6,0,0,1,0.0,0,4,0,3,2,0.0,6.86,1474739,394127
0,57.14,3,0,0,0,0.0,11,0.0,0,0,0,1,4,0,0,0,0.0,8,4,0,0,0,0.0,6.86,1065584,39723
2,58.54,4,0,0,0,0.0,23,8.7,7,2,2,3,7,0,0,0,0.0,24,12,0,2,0,0.0,6.86,1049725,188850
5,40.0,6,0,0,2,0.0,34,14.71,12,0,5,1,12,2,0,2,100.0,8,16,2,5,3,0.0,6.85,1090134,5250
0,100.0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0.0,4,1,0,0,0,0.0,6.85,1004135,377757
2,83.33,3,1,0,0,0.0,14,14.29,0,1,0,0,3,0,0,0,0.0,5,8,0,2,1,0.0,6.85,37047,277525
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,6.85,923237,39723
4,50.0,12,1,1,1,0.0,35,11.43,0,0,14,2,13,0,0,1,0.0,25,10,0,3,3,0.0,6.85,925741,5257
7,55.74,9,0,1,1,0.0,46,15.22,3,1,3,3,13,1,0,0,100.0,34,24,1,6,6,0.0,6.85,1119725,277525
5,60.78,8,0,3,0,0.0,37,13.51,1,0,2,1,12,0,0,0,0.0,31,17,0,2,5,0.0,6.85,1185457,21942
0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.85,33227,213638
3,0.0,1,1,0,0,,11,27.27,0,0,0,0,4,0,0,1,0.0,0,6,0,3,2,0.0,6.84,1108468,5250
5,50.0,7,0,0,1,0.0,25,20.0,0,0,6,1,6,1,0,1,100.0,4,12,1,5,4,0.0,6.84,886545,5254
0,55.0,1,0,0,0,0.0,5,0.0,0,0,0,0,0,0,0,0,0.0,11,4,0,0,0,0.0,6.84,1021850,5250
0,57.14,5,0,0,0,0.0,15,0.0,0,0,0,0,2,0,0,0,0.0,4,8,0,0,0,0.0,6.84,789917,21941
5,50.0,11,0,0,1,0.0,55,9.09,0,1,4,6,20,1,0,1,0.0,27,24,0,5,3,0.0,6.84,790806,134976
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.84,1020039,277525
2,25.0,2,1,0,0,0.0,9,22.22,0,0,2,1,3,0,0,0,0.0,1,4,0,2,2,0.0,6.84,226216,5254
3,66.67,2,0,0,2,,14,21.43,0,0,4,1,5,1,0,1,100.0,2,7,1,3,2,0.0,6.84,125076,5257
0,50.0,0,0,0,0,0.0,12,0.0,0,0,0,0,5,0,0,0,0.0,2,7,0,0,0,0.0,6.84,939465,394127
0,50.0,4,1,0,0,0.0,11,0.0,1,0,1,2,1,0,0,0,0.0,4,6,0,0,0,0.0,6.83,989402,248196
8,52.0,10,0,1,1,0.0,55,14.55,1,0,5,2,22,4,0,3,100.0,13,23,4,7,5,0.0,6.83,869786,5254
0,100.0,2,0,0,0,,5,0.0,4,0,3,0,0,0,0,0,0.0,1,3,0,0,0,0.0,6.83,805126,188850
0,100.0,0,0,0,1,0.0,2,0.0,1,0,0,0,0,0,0,0,0.0,6,2,0,0,0,0.0,6.83,1473020,213638
4,51.28,9,0,1,1,0.0,31,12.9,0,0,2,3,14,5,0,1,60.0,20,8,3,3,3,0.0,6.83,339557,277525
1,75.0,2,0,0,1,0.0,8,12.5,0,0,1,0,3,0,0,1,0.0,3,3,0,1,0,0.0,6.83,924855,5250
0,50.0,1,0,0,0,0.0,6,0.0,0,0,1,0,2,0,0,0,0.0,5,3,0,0,0,0.0,6.83,805170,39723
0,88.89,4,0,0,0,0.0,10,0.0,0,0,0,0,2,0,0,0,0.0,8,4,0,0,0,0.0,6.83,1004132,5255
3,25.0,4,0,2,0,0.0,17,17.65,7,0,2,0,7,1,2,0,100.0,1,6,1,1,3,28.57,6.83,1210374,134976
0,50.0,3,0,0,0,0.0,6,0.0,0,0,1,0,0,0,0,0,0.0,5,3,0,0,0,0.0,6.83,985109,21942
0,71.43,3,0,0,0,0.0,6,0.0,1,0,1,0,2,0,0,0,0.0,5,1,0,0,0,0.0,6.82,818997,134976
2,0.0,0,0,0,0,0.0,9,22.22,0,1,0,0,2,0,0,1,0.0,0,7,0,2,0,0.0,6.82,789668,5250
1,61.54,4,0,0,0,0.0,12,8.33,0,0,0,0,5,0,0,0,0.0,8,3,0,1,1,0.0,6.82,846671,5251
0,100.0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,6.82,822719,134976
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.82,923195,134976
0,87.5,1,0,0,0,0.0,6,0.0,0,0,2,0,3,0,0,0,0.0,7,2,0,0,0,0.0,6.82,943177,213638
1,80.0,2,0,0,1,0.0,13,7.69,0,0,0,1,6,0,0,0,0.0,4,5,0,1,1,0.0,6.81,588596,5251
1,50.0,0,0,0,0,0.0,3,33.33,0,1,0,0,1,0,0,0,0.0,1,2,0,1,0,0.0,6.81,1473025,213638
1,25.0,7,0,1,0,0.0,19,5.26,7,0,1,0,5,0,1,1,0.0,1,7,0,0,0,14.29,6.81,922853,5257
0,100.0,1,0,0,0,0.0,3,0.0,0,0,2,0,1,0,0,0,0.0,3,1,0,0,0,0.0,6.81,859969,377757
4,25.0,1,1,1,0,0.0,22,18.18,0,1,7,2,9,0,0,1,0.0,2,12,0,3,1,0.0,6.81,873889,5251
0,87.5,3,0,0,0,0.0,8,0.0,0,0,0,0,2,0,0,0,0.0,7,3,0,0,0,0.0,6.81,922092,5254
1,48.15,5,1,0,0,0.0,27,3.7,1,0,5,0,3,0,0,0,0.0,13,19,0,1,1,0.0,6.81,293235,5250
4,27.27,6,6,1,2,0.0,34,11.76,0,2,11,3,11,0,0,2,0.0,12,17,0,3,0,0.0,6.81,868275,5250
1,46.67,4,1,1,0,0.0,20,5.0,0,0,1,0,6,0,0,1,0.0,7,10,0,0,0,0.0,6.81,588640,213638
3,40.91,10,0,1,1,0.0,30,10.0,5,1,4,2,10,1,0,0,100.0,9,10,1,2,2,0.0,6.81,805166,394127
0,42.86,3,0,0,0,0.0,6,0.0,0,0,1,1,2,0,0,0,0.0,6,1,0,0,0,0.0,6.8,1185460,248196
4,51.43,11,1,0,1,0.0,33,12.12,1,0,6,1,10,0,0,1,0.0,18,12,0,4,3,0.0,6.8,1431770,39723
1,40.0,1,0,1,0,0.0,3,33.33,0,0,1,1,1,0,0,0,0.0,4,1,0,0,1,0.0,6.8,1105564,213638
0,60.0,3,0,0,0,,7,0.0,0,0,0,0,1,0,0,0,0.0,3,3,0,0,0,0.0,6.8,984979,277525
0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.8,822717,5255
0,33.33,0,0,0,0,,4,0.0,1,0,0,1,1,0,0,0,0.0,1,3,0,0,0,0.0,6.8,248045,21941
0,0.0,0,0,0,0,,4,0.0,0,0,1,0,1,0,0,0,0.0,0,3,0,0,0,0.0,6.8,249665,5249
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.8,985144,5249
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.8,1482436,21942
0,50.0,2,0,0,0,0.0,7,0.0,1,0,0,0,3,0,0,0,0.0,2,2,0,0,0,0.0,6.8,155796,5254
0,75.0,0,0,0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0.0,3,2,0,0,0,0.0,6.8,1473188,21941
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.8,848617,394127
0,59.09,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,6.8,905565,188850
0,0.0,0,0,0,0,0.0,2,0.0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0.0,6.79,805296,188850
0,50.0,4,0,0,0,0.0,11,0.0,0,0,1,0,1,0,0,0,0.0,6,6,0,0,0,0.0,6.79,832468,5249
1,44.44,2,1,1,0,0.0,17,5.88,2,0,1,1,6,0,0,1,0.0,4,9,0,0,0,0.0,6.79,925605,5254
0,42.86,4,0,0,0,0.0,6,0.0,0,0,0,0,0,0,0,0,0.0,3,2,0,0,0,0.0,6.79,146300,5250
1,40.0,1,0,0,0,0.0,18,5.56,0,0,0,0,5,0,0,0,0.0,2,12,0,1,1,0.0,6.79,1096661,394127
0,57.89,2,0,0,0,0.0,11,0.0,0,0,1,2,4,0,0,0,0.0,11,5,0,0,0,0.0,6.79,1459658,5257
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.79,991138,5250
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.79,1065585,39723
3,45.45,5,0,0,2,0.0,27,11.11,0,1,1,2,10,1,0,0,0.0,5,12,0,3,2,0.0,6.78,1020186,21941
2,60.0,3,0,0,0,0.0,20,10.0,0,0,9,1,10,0,0,1,0.0,3,7,0,2,1,0.0,6.78,125075,248196
0,50.0,1,0,0,0,,6,0.0,0,0,0,0,1,0,0,0,0.0,2,4,0,0,0,0.0,6.78,976102,5255
0,53.33,1,0,0,0,0.0,6,0.0,0,0,1,1,3,0,0,0,0.0,8,2,0,0,0,0.0,6.78,1468325,377757
1,66.67,3,0,0,1,0.0,16,6.25,0,0,0,0,4,0,0,0,0.0,16,9,0,1,1,0.0,6.78,826819,5254
0,0.0,1,0,0,0,0.0,9,0.0,4,0,1,0,4,0,0,0,0.0,0,4,0,0,0,0.0,6.78,805244,5251
2,28.57,1,0,0,0,0.0,25,8.0,0,1,5,3,8,0,0,0,0.0,2,16,0,2,1,0.0,6.78,805316,21942
0,100.0,1,0,0,0,0.0,5,0.0,0,0,1,1,2,0,0,0,0.0,1,2,0,0,0,0.0,6.78,1002530,39723
0,50.0,1,0,0,0,,5,0.0,0,0,2,0,2,0,0,0,0.0,3,2,0,0,0,0.0,6.78,987648,21942
0,0.0,2,0,0,0,0.0,3,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0.0,6.78,1108521,377757
2,54.55,3,0,0,0,0.0,11,18.18,0,0,0,0,3,0,0,0,0.0,6,5,0,2,2,0.0,6.77,1092353,213638
3,41.67,14,0,1,0,0.0,41,7.32,19,1,1,0,16,0,1,0,0.0,5,11,0,2,1,5.26,6.77,827122,277525
4,41.67,7,0,0,1,0.0,40,10.0,0,2,4,0,12,0,0,1,0.0,10,21,0,4,1,0.0,6.77,992093,39723
4,64.1,16,2,0,2,0.0,54,7.41,0,0,8,2,17,1,0,0,100.0,25,21,1,4,4,0.0,6.77,588626,394127
2,61.11,11,0,0,0,0.0,28,7.14,7,0,5,0,7,0,0,2,0.0,11,10,0,2,0,0.0,6.77,909664,21941
1,50.0,4,0,0,2,0.0,27,3.7,3,0,0,0,6,0,0,0,0.0,13,17,0,1,1,0.0,6.77,915158,5251
0,66.67,0,0,0,0,0.0,8,0.0,0,0,1,0,2,0,0,0,0.0,2,6,0,0,0,0.0,6.77,846828,21941
0,66.67,3,0,0,0,0.0,11,0.0,0,0,0,0,4,0,0,0,0.0,8,4,0,0,0,0.0,6.77,588630,39723
1,62.5,1,0,0,0,0.0,6,16.67,0,1,2,0,4,0,0,0,0.0,5,1,0,1,0,0.0,6.76,1020038,394127
1,46.67,8,0,0,0,0.0,20,5.0,0,0,0,0,5,0,0,0,0.0,7,7,0,1,1,0.0,6.76,220439,213638
0,50.0,0,0,0,0,,6,0.0,0,0,0,0,1,0,0,0,0.0,2,5,0,0,0,0.0,6.76,340197,21942
4,50.0,4,0,0,2,0.0,30,13.33,0,2,6,4,12,0,0,0,0.0,1,14,0,4,2,0.0,6.76,33120,39723
2,62.5,7,0,0,0,,26,7.69,0,1,3,0,12,0,0,1,0.0,15,7,0,2,0,0.0,6.76,1190984,5251
1,59.09,5,0,0,1,0.0,16,6.25,3,0,2,1,6,1,0,0,100.0,13,5,1,1,1,0.0,6.76,881847,5249
0,35.48,2,2,0,1,0.0,12,0.0,0,0,0,0,3,0,0,0,0.0,11,7,0,0,0,0.0,6.76,1184983,21942
0,83.33,0,0,0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0.0,5,2,0,0,0,0.0,6.76,896623,39723
1,55.0,13,0,0,0,0.0,29,3.45,2,0,1,0,7,1,0,0,100.0,11,9,1,1,1,0.0,6.76,106461,5250
2,72.73,9,0,0,2,0.0,20,10.0,1,1,0,1,3,0,0,1,0.0,8,8,0,2,0,0.0,6.76,787750,5254
1,30.0,6,0,0,3,0.0,28,3.57,6,0,2,3,7,0,0,1,0.0,3,15,0,1,0,0.0,6.76,1106546,39723
