tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
5,0,0,2,0,0,0,7,1,7.46,873891,5254
0,0,7,0,0,0,0,7,0,7.41,877442,213638
43,0,1,18,0,0,0,11,13,7.34,789939,248196
18,0,1,12,0,0,0,2,10,7.33,42573,21942
28,0,0,6,0,0,0,3,6,7.29,826826,5257
8,0,2,5,0,0,0,4,9,7.24,105717,39723
0,0,10,0,0,0,0,24,2,7.22,108832,21942
18,0,3,4,0,0,0,5,8,7.2,845323,5249
47,0,5,20,0,0,0,28,13,7.19,33308,21942
15,0,1,9,0,0,0,4,9,7.19,42454,5250
1,0,10,0,0,0,0,17,1,7.19,588618,5249
7,0,2,2,0,0,0,9,7,7.18,1199361,21941
1,0,13,0,0,0,1,6,0,7.18,33567,5257
26,0,4,17,0,0,0,31,7,7.18,805485,5257
11,0,4,6,0,0,0,2,17,7.18,174935,5251
0,0,2,0,0,0,0,6,0,7.14,107249,5249
9,0,3,3,0,0,0,2,4,7.14,155786,39723
0,0,14,0,0,0,0,10,1,7.13,905632,5255
14,0,2,9,0,0,0,19,5,7.12,873887,377757
12,0,5,16,1,0,0,45,4,7.11,877436,39723
22,0,3,8,0,0,0,10,14,7.11,906808,213638
29,0,13,36,0,3,0,85,8,7.1,839638,5257
0,0,1,0,0,0,0,7,0,7.1,1185856,377757
6,0,1,3,0,0,0,3,5,7.09,221748,5251
7,0,1,1,0,1,0,20,11,7.08,340247,188850
15,0,4,40,0,0,0,70,1,7.08,874645,5251
17,0,9,19,0,1,0,40,3,7.08,896806,39723
52,0,4,26,0,0,0,25,27,7.07,859965,5251
7,0,4,3,0,0,0,2,3,7.06,47658,5255
7,0,0,5,0,0,0,8,1,7.06,961894,5254
6,0,4,8,0,0,0,3,5,7.06,796328,21942
4,0,4,1,0,0,0,17,3,7.05,106458,5255
2,0,0,1,0,0,0,3,0,7.04,925147,5249
19,0,0,4,0,0,0,5,6,7.04,158395,5257
14,0,1,7,0,0,0,7,7,7.03,594430,5250
22,0,1,9,0,0,0,18,11,7.02,33703,5255
16,0,7,6,0,0,0,22,6,7.02,158593,5249
1,1,2,1,0,0,0,15,0,7.02,822736,5254
19,0,8,16,0,0,0,31,5,7.02,826831,39723
1,0,0,0,0,0,0,9,0,7.0,1470458,5255
2,0,0,0,0,0,0,0,1,7.0,1517144,5255
23,0,2,6,0,0,0,5,4,7.0,965310,21941
13,0,5,11,0,1,0,9,3,7.0,925740,39723
1,0,0,0,0,0,0,4,1,6.99,338,5257
11,0,3,1,0,0,0,7,3,6.99,895229,213638
6,0,0,6,0,0,0,3,3,6.99,977091,394127
22,0,4,14,0,0,0,1,7,6.99,1011412,21942
14,0,7,6,0,0,0,43,8,6.98,553508,21942
5,0,2,4,0,1,0,11,5,6.98,340415,5251
22,0,13,16,0,0,0,94,8,6.98,339967,5255
18,0,1,8,0,0,0,7,7,6.98,789402,5257
32,0,2,24,0,1,0,12,13,6.98,975528,5257
5,0,0,2,0,0,0,2,2,6.98,353296,5255
35,0,11,12,0,0,0,110,15,6.97,155776,5249
28,0,5,12,0,0,0,25,10,6.96,1066555,5257
39,0,3,19,0,0,0,6,22,6.96,989331,5255
0,0,8,0,0,0,0,21,0,6.96,174421,5250
0,0,10,0,0,0,0,19,1,6.96,794921,5251
50,0,7,40,0,1,0,140,14,6.96,312346,377757
17,0,1,8,0,0,0,7,6,6.96,975813,134976
29,0,3,6,0,1,0,1,13,6.95,250009,39723
23,0,2,4,0,0,0,2,12,6.95,975090,21941
19,0,9,30,0,0,0,26,10,6.95,822718,21942
29,0,2,11,0,0,0,5,6,6.95,922846,5254
1,0,6,2,0,1,0,22,0,6.95,925484,188850
14,0,1,4,0,0,0,8,4,6.94,836584,5255
25,0,5,19,0,1,0,10,13,6.94,1145130,5257
12,0,5,12,0,0,0,18,6,6.94,827140,5255
14,0,1,12,0,0,0,5,7,6.93,975548,5249
2,0,0,2,0,0,0,1,0,6.93,1086968,248196
23,0,11,24,1,0,0,58,4,6.93,980485,5257
5,0,1,5,0,0,0,3,6,6.92,975696,21941
37,0,7,19,0,1,0,8,15,6.92,359098,5257
11,0,0,5,0,0,0,1,6,6.92,1464025,39723
0,0,6,1,0,0,0,18,1,6.92,805464,377757
36,0,5,22,0,0,0,14,20,6.91,47668,377757
19,0,1,11,0,0,0,8,7,6.91,1018554,5255
22,0,2,7,0,0,0,5,6,6.91,897059,5257
10,0,5,9,0,0,0,39,2,6.91,805203,5249
53,0,2,21,0,0,0,15,11,6.9,1134650,277525
1,0,0,0,0,0,0,0,2,6.9,1116667,5249
37,0,13,29,0,0,0,83,16,6.9,898990,5255
0,0,0,1,0,0,0,0,0,6.9,339563,5249
0,0,2,0,0,0,0,1,0,6.9,1067803,39723
13,0,3,7,0,0,0,1,4,6.89,1116579,5257
8,0,1,2,0,0,1,7,4,6.89,590176,5257
3,0,1,3,0,0,0,6,1,6.89,868742,5255
23,1,10,30,0,0,0,121,5,6.89,827135,21942
13,0,0,5,0,0,0,2,4,6.89,998401,134976
44,1,5,39,0,1,0,104,17,6.88,1461225,5254
37,1,4,43,0,2,0,79,25,6.88,1466377,5254
38,0,8,30,0,0,0,16,12,6.88,588628,21941
10,0,2,10,0,0,0,13,8,6.88,1015290,213638
27,0,7,27,0,1,0,103,10,6.88,849170,5250
11,0,1,2,0,0,0,5,4,6.88,1118571,377757
27,0,5,20,0,0,0,35,9,6.88,971200,5255
1,0,0,0,0,0,0,7,4,6.87,846663,5249
5,0,1,2,0,0,0,17,8,6.87,1479176,134976
0,0,0,2,0,0,0,1,2,6.87,1122552,39723
16,0,4,14,0,0,0,39,3,6.87,871814,21942
38,0,6,11,0,2,0,17,22,6.86,844615,5249
18,0,0,6,0,0,0,8,12,6.86,882607,213638
32,0,6,26,0,1,0,13,19,6.86,896857,213638
5,0,0,0,0,0,0,1,0,6.86,1474739,394127
18,0,2,3,0,0,0,1,6,6.86,1065584,39723
19,0,1,12,0,0,0,2,13,6.86,1049725,188850
3,0,1,2,0,0,0,1,5,6.85,1090134,5250
20,0,1,14,0,0,0,7,5,6.85,1004135,377757
30,0,9,25,0,2,0,74,8,6.85,37047,277525
1,0,9,0,1,1,0,13,1,6.85,923237,39723
24,0,3,3,0,0,0,5,8,6.85,925741,5257
40,0,2,15,0,0,0,4,13,6.85,1119725,277525
17,0,0,10,0,0,0,5,7,6.85,1185457,21942
1,0,6,0,1,0,0,15,0,6.85,33227,213638
4,0,0,0,0,0,0,1,1,6.84,1108468,5250
3,0,1,1,0,0,0,3,3,6.84,886545,5254
54,0,6,35,0,0,0,16,14,6.84,1021850,5250
20,0,7,33,0,2,0,109,10,6.84,789917,21941
19,0,3,5,0,0,0,10,15,6.84,790806,134976
1,1,9,0,0,1,0,30,0,6.84,1020039,277525
4,0,0,1,0,0,0,0,2,6.84,226216,5254
0,0,0,0,0,0,0,3,0,6.84,125076,5257
10,0,4,6,0,0,0,54,5,6.84,939465,394127
43,0,4,38,0,0,0,108,18,6.83,989402,248196
10,0,3,1,0,0,0,2,2,6.83,869786,5254
0,0,0,1,0,0,0,3,0,6.83,805126,188850
1,0,0,0,0,0,0,0,1,6.83,1473020,213638
22,0,6,21,0,1,0,5,16,6.83,339557,277525
23,0,3,9,0,0,0,11,7,6.83,924855,5250
7,0,4,7,0,1,0,11,2,6.83,805170,39723
18,0,3,9,0,0,0,8,8,6.83,1004132,5255
31,0,4,29,1,2,0,55,12,6.83,1210374,134976
12,0,2,10,0,0,0,10,6,6.83,985109,21942
5,0,0,3,0,0,0,0,3,6.82,818997,134976
26,0,9,22,0,1,0,92,4,6.82,789668,5250
45,0,10,27,1,0,0,38,22,6.82,846671,5251
2,0,0,3,0,0,0,2,2,6.82,822719,134976
0,0,2,0,0,0,0,14,0,6.82,923195,134976
72,0,8,25,0,2,0,53,24,6.82,943177,213638
24,0,3,10,0,0,0,12,12,6.81,588596,5251
5,0,3,7,0,0,0,34,2,6.81,1473025,213638
12,0,6,16,0,0,0,20,7,6.81,922853,5257
36,0,6,39,0,0,0,86,12,6.81,859969,377757
24,0,0,8,0,0,0,10,6,6.81,873889,5251
5,0,0,1,0,0,0,2,1,6.81,922092,5254
27,0,1,18,0,1,0,3,8,6.81,293235,5250
31,0,0,6,0,0,0,3,8,6.81,868275,5250
56,0,8,38,0,0,0,37,32,6.81,588640,213638
34,0,1,16,0,0,0,10,17,6.81,805166,394127
48,0,3,33,0,0,0,21,22,6.8,1185460,248196
1,0,0,0,0,0,0,4,3,6.8,1431770,39723
33,0,4,22,0,0,0,27,7,6.8,1105564,213638
11,0,0,1,0,0,0,1,2,6.8,984979,277525
2,0,0,0,0,0,0,3,1,6.8,822717,5255
9,0,0,5,0,0,0,6,1,6.8,248045,21941
5,0,2,4,0,0,0,13,0,6.8,249665,5249
0,0,0,0,0,0,0,0,0,6.8,985144,5249
2,0,0,0,0,0,0,0,0,6.8,1482436,21942
0,0,0,0,0,0,0,0,1,6.8,155796,5254
5,0,1,0,0,0,0,1,2,6.8,1473188,21941
0,0,3,0,0,0,0,1,0,6.8,848617,394127
22,0,2,9,0,0,0,10,6,6.8,905565,188850
10,1,7,8,1,0,0,70,4,6.79,805296,188850
18,0,7,22,0,0,0,22,4,6.79,832468,5249
2,0,0,1,0,0,0,0,1,6.79,925605,5254
9,0,1,7,0,0,0,17,3,6.79,146300,5250
3,0,0,1,0,0,0,0,3,6.79,1096661,394127
14,0,7,17,0,1,0,19,3,6.79,1459658,5257
2,0,1,0,0,0,0,5,0,6.79,991138,5250
10,0,1,2,0,0,0,5,1,6.79,1065585,39723
34,0,2,23,0,1,0,27,17,6.78,1020186,21941
5,0,1,1,0,0,0,8,0,6.78,125075,248196
10,0,1,5,0,0,0,6,5,6.78,976102,5255
22,0,1,13,0,0,1,38,5,6.78,1468325,377757
25,0,1,16,0,0,0,5,10,6.78,826819,5254
7,0,5,4,0,0,0,36,6,6.78,805244,5251
10,0,0,2,0,0,0,2,2,6.78,805316,21942
2,0,0,3,0,0,0,2,1,6.78,1002530,39723
3,0,0,2,0,0,0,0,3,6.78,987648,21942
6,0,0,8,0,0,0,23,2,6.78,1108521,377757
14,0,12,25,0,1,0,111,5,6.77,1092353,213638
16,0,1,10,0,0,0,5,13,6.77,827122,277525
8,0,1,1,0,0,0,1,5,6.77,992093,39723
16,0,1,3,0,0,0,4,5,6.77,588626,394127
17,0,2,11,0,0,0,15,7,6.77,909664,21941
19,0,1,14,0,0,0,8,18,6.77,915158,5251
20,0,5,26,0,0,0,47,6,6.77,846828,21941
16,0,4,10,0,0,0,10,3,6.77,588630,39723
5,0,0,1,0,0,0,2,4,6.76,1020038,394127
3,0,0,2,0,0,0,2,0,6.76,220439,213638
5,0,2,5,0,0,0,6,3,6.76,340197,21942
3,0,2,3,0,0,0,7,5,6.76,33120,39723
5,0,0,2,0,0,0,1,3,6.76,1190984,5251
10,0,1,11,0,1,0,29,7,6.76,881847,5249
34,0,5,24,0,0,0,35,12,6.76,1184983,21942
28,0,3,13,0,0,0,37,8,6.76,896623,39723
19,0,3,14,0,0,0,5,22,6.76,106461,5250
10,0,0,4,0,0,0,5,7,6.76,787750,5254
7,0,0,6,0,0,0,5,2,6.76,1106546,39723
9,0,1,7,0,1,0,22,0,6.76,1002950,5250
2,0,3,0,0,1,0,6,2,6.75,922858,248196
26,0,13,26,0,0,0,61,9,6.75,1019932,213638
17,0,1,6,0,0,0,2,7,6.75,1177802,134976
0,0,0,0,0,0,0,0,0,6.75,1604235,21942
1,0,0,3,0,0,0,1,0,6.75,882068,5254
4,0,0,0,0,0,0,0,2,6.75,789888,394127
2,0,0,2,0,0,0,1,0,6.75,1103523,188850
2,0,0,1,0,0,0,2,0,6.75,1117777,277525
0,1,6,0,0,0,0,15,0,6.75,925598,134976
7,0,0,2,0,0,0,0,4,6.75,826832,134976
20,0,3,22,0,4,0,85,5,6.75,1017449,248196
19,0,0,12,0,0,0,9,10,6.74,903650,21942
6,0,0,1,0,0,0,1,1,6.74,1485501,5249
31,0,1,13,0,0,0,15,12,6.74,1495599,377757
45,0,6,35,0,0,0,45,11,6.74,1103526,188850
13,0,0,4,0,0,0,3,8,6.74,883301,277525
23,0,9,32,0,3,0,89,4,6.74,896879,5251
1,0,9,0,0,1,1,11,1,6.74,155764,21941
8,0,1,11,0,1,0,4,4,6.74,846662,39723
25,0,3,29,1,0,0,84,9,6.74,931653,188850
5,0,4,0,1,4,0,25,3,6.74,886492,5254
18,1,0,10,0,0,0,2,7,6.74,869785,21941
13,0,4,8,0,0,0,30,6,6.74,937863,5257
20,0,5,12,0,1,0,11,10,6.74,932247,134976
15,0,0,2,0,0,1,21,8,6.73,913609,377757
36,0,3,13,0,1,0,20,21,6.73,976167,277525
16,0,1,6,0,0,0,4,10,6.73,787563,39723
33,0,3,22,0,1,0,42,21,6.73,1473214,394127
2,0,1,1,0,0,0,2,2,6.73,158407,5255
13,0,1,1,0,0,0,5,2,6.73,312194,277525
38,0,2,9,0,0,0,9,15,6.73,921961,394127
11,0,3,18,0,0,0,60,4,6.73,922104,134976
2,0,0,5,0,0,0,2,1,6.73,1461227,5254
1,0,0,0,0,0,0,3,0,6.73,314094,248196
5,0,0,4,0,0,0,3,7,6.73,1186831,5251
2,0,0,0,0,0,0,1,0,6.73,384486,377757
36,1,12,30,0,1,0,125,14,6.73,1169072,213638
28,0,0,15,0,1,0,32,17,6.73,938611,188850
10,0,1,3,0,1,0,3,4,6.73,906807,39723
2,0,0,0,0,0,0,0,3,6.73,874724,21941
24,0,6,27,0,1,0,140,13,6.72,873737,377757
6,0,1,2,0,0,0,3,1,6.72,1404583,5255
20,0,0,10,0,0,0,5,8,6.72,588620,248196
4,0,0,2,0,0,0,10,1,6.72,1474796,394127
5,0,0,0,0,0,0,0,0,6.72,1185054,21941
36,0,3,21,0,1,0,33,7,6.72,1020037,21941
43,0,6,14,0,0,0,33,28,6.72,827138,134976
4,0,0,4,0,0,0,2,3,6.72,1022783,5251
20,0,3,13,0,0,0,5,12,6.72,338951,21941
9,0,0,6,0,0,0,2,4,6.72,927271,21941
3,0,0,0,0,0,0,4,1,6.72,868777,5257
2,0,1,5,0,0,0,7,3,6.72,1018168,5255
24,0,3,7,0,0,0,12,11,6.72,1131289,394127
16,1,1,21,0,0,1,42,4,6.71,220757,188850
0,0,0,1,0,0,0,2,0,6.71,1103938,5249
31,0,2,21,0,1,0,20,8,6.71,885589,248196
3,0,0,0,0,0,0,1,1,6.71,868706,277525
57,0,3,14,0,0,0,56,14,6.71,1109883,21941
17,0,1,10,0,0,0,1,1,6.71,975536,5250
11,0,0,0,0,1,0,5,6,6.71,338957,5249
3,0,0,0,0,0,0,1,1,6.71,922854,377757
7,0,4,12,0,0,0,48,1,6.71,147358,5249
8,0,2,4,0,0,0,5,5,6.71,1002458,39723
