name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Danilo Fernandes,danilo-fernandes,D. Fernandes,G,189.0,Right,135,145054,1.0,1988-04-03,2023-12-31,1955,360000.0,BR,Brazil,360000.0,EUR,https://api.sofascore.app/api/v1/player/145054/image
Pedro Morisco,pedro-morisco,Pedro Morisco,G,191.0,Right,16,1507616,72.0,2004-01-10,,1982,,BR,Brazil,,EUR,https://api.sofascore.app/api/v1/player/1507616/image
John,john,John,G,192.0,Right,237,840103,25.0,1996-02-13,2024-06-30,2831,970000.0,BR,Brazil,970000.0,EUR,https://api.sofascore.app/api/v1/player/840103/image
Raphael Veiga,raphael-veiga,Raphael Veiga,M,176.0,Left,7424,840020,23.0,1995-06-19,2026-12-31,1963,15300000.0,BR,Brazil,15300000.0,EUR,https://api.sofascore.app/api/v1/player/840020/image
Hulk,hulk,Hulk,F,180.0,Left,9558,34705,7.0,1986-07-25,2026-12-31,1977,2200000.0,BR,Brazil,2200000.0,EUR,https://api.sofascore.app/api/v1/player/34705/image
Caíque,caique,Caíque,G,198.0,Right,154,839514,31.0,1997-07-31,2023-12-31,5926,280000.0,BR,Brazil,280000.0,EUR,https://api.sofascore.app/api/v1/player/839514/image
Eduardo Bauermann,eduardo-bauermann,E. Bauermann,D,186.0,Both,211,358530,,1996-02-13,,241802,1500000.0,BR,Brazil,1500000.0,EUR,https://api.sofascore.app/api/v1/player/358530/image
Adriel,adriel,Adriel,G,195.0,Right,207,1106840,35.0,2001-01-14,2024-07-01,1955,1300000.0,BR,Brazil,1300000.0,EUR,https://api.sofascore.app/api/v1/player/1106840/image
Léo Linck,leo-linck,L. Linck,G,194.0,Right,112,1119887,24.0,2001-03-03,2024-12-31,1967,825000.0,BR,Brazil,825000.0,EUR,https://api.sofascore.app/api/v1/player/1119887/image
Dudu,dudu,Dudu,M,167.0,Right,4022,147464,7.0,1992-01-07,2026-01-31,1963,8700000.0,BR,Brazil,8700000.0,EUR,https://api.sofascore.app/api/v1/player/147464/image
Luis Suárez,luis-suarez,L. Suárez,F,182.0,Right,67176,16943,9.0,1987-01-24,2023-12-31,5926,3600000.0,UY,Uruguay,3600000.0,EUR,https://api.sofascore.app/api/v1/player/16943/image
Marcelo Lomba,marcelo-lomba,M. Lomba,G,187.0,Right,486,34141,42.0,1986-12-18,2023-12-31,1963,270000.0,BR,Brazil,270000.0,EUR,https://api.sofascore.app/api/v1/player/34141/image
Tiquinho Soares,tiquinho-soares,T. Soares,F,187.0,Right,4253,789100,9.0,1991-01-17,2024-12-31,1958,4099999.0,BR,Brazil,4099999.0,EUR,https://api.sofascore.app/api/v1/player/789100/image
Giorgian De Arrascaeta,giorgian-de-arrascaeta,G. De Arrascaeta,M,173.0,Right,15068,333587,14.0,1994-06-01,2026-12-31,5981,16399999.0,UY,Uruguay,16399999.0,EUR,https://api.sofascore.app/api/v1/player/333587/image
Robert Arboleda,robert-arboleda,R. Arboleda,D,187.0,Right,1472,338937,5.0,1991-10-22,2024-12-31,1981,1500000.0,EC,Ecuador,1500000.0,EUR,https://api.sofascore.app/api/v1/player/338937/image
Agustín Rossi,agustin-rossi,Agustín Rossi,G,190.0,Right,1358,1140986,17.0,1995-08-21,2027-12-31,5981,6200000.0,AR,Argentina,6200000.0,EUR,https://api.sofascore.app/api/v1/player/1140986/image
