goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
13,37.5,7,1,0,1,12.19,89,14.61,1,5,19,11,31,2,0,0,100.0,9,51,2,13,8,0.0,7.11,583974,3203
0,77.78,3,1,0,0,0.78,8,0.0,0,0,1,2,2,0,0,0,0.0,14,3,0,0,0,0.0,7.1,33958,3211
0,0.0,0,0,0,0,0.24,2,0.0,0,0,1,0,1,0,0,0,0.0,0,1,0,0,0,0.0,7.1,789271,3215
0,0.0,0,0,0,0,0.05,1,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,7.1,833542,7629
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.1,1003722,3205
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,7.1,1500263,3202
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,7.1,358910,3201
1,92.86,2,0,0,0,1.28,18,5.56,0,0,1,1,3,0,0,0,0.0,13,13,0,1,1,0.0,7.1,980886,3201
12,53.13,25,1,2,3,11.48,85,14.12,0,0,18,7,36,3,0,4,100.0,34,24,3,10,8,0.0,7.09,581804,36839
0,75.0,8,0,0,1,2.29,28,0.0,0,0,11,2,8,0,0,0,0.0,27,12,0,0,0,0.0,7.08,340087,3216
0,100.0,5,0,0,0,1.16,30,0.0,0,0,2,2,10,0,0,0,0.0,2,15,0,0,0,0.0,7.08,943995,65676
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.08,384552,3203
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.07,898750,36833
5,67.21,13,0,1,2,6.48,44,11.36,7,0,1,4,12,4,0,0,100.0,41,19,4,4,5,0.0,7.07,848473,3211
1,59.02,9,0,0,0,2.83,25,4.0,3,0,0,1,8,1,0,0,100.0,36,8,1,1,1,0.0,7.07,922460,4937
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.07,107418,36839
5,55.71,15,0,0,1,4.75,47,10.64,4,0,7,2,18,3,0,5,66.67,39,14,2,5,0,0.0,7.06,789427,3217
2,72.73,3,2,0,1,1.58,16,12.5,0,1,0,2,7,0,0,0,0.0,8,6,0,2,1,0.0,7.06,881169,3218
4,53.33,7,0,2,2,2.74,29,13.79,13,0,0,0,9,2,2,4,100.0,8,13,2,2,0,15.38,7.06,340537,3215
1,68.18,3,1,0,1,1.0,13,7.69,0,0,0,0,3,0,0,0,0.0,15,7,0,1,1,0.0,7.06,913596,36839
4,66.67,2,0,0,1,1.73,23,17.39,0,2,0,1,6,0,0,1,0.0,6,15,0,4,1,0.0,7.05,871788,65668
2,70.0,5,0,0,0,1.11,18,11.11,0,2,0,0,5,0,0,0,0.0,14,8,0,2,0,0.0,7.05,977677,3215
1,0.0,0,0,0,0,0.12,2,50.0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,1,0.0,7.05,983528,3212
0,71.43,1,0,0,0,0.33,5,0.0,0,0,2,0,2,0,0,0,0.0,5,2,0,0,0,0.0,7.05,155714,3210
