name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Ronie Carrillo,ronie-carrillo,R. Carrillo,F,186.0,Right,190,873891,19.0,1996-09-08,2026-06-30,3026,930000.0,EC,Ecuador,930000.0,EUR,https://api.sofascore.app/api/v1/player/873891/image
Brian Heras,brian-heras,B. Heras,G,180.0,,17,877442,26.0,1995-04-17,,213638,290000.0,EC,Ecuador,290000.0,EUR,https://api.sofascore.app/api/v1/player/877442/image
Joaquín Vergés,joaquin-verges,J. Vergés,M,175.0,Right,36,789939,5.0,1992-06-01,,248196,470000.0,UY,Uruguay,470000.0,EUR,https://api.sofascore.app/api/v1/player/789939/image
Mauro Díaz,mauro-diaz,M. Díaz,M,170.0,Right,43,42573,28.0,1991-03-10,,21942,720000.0,AR,Argentina,720000.0,EUR,https://api.sofascore.app/api/v1/player/42573/image
Alexander Alvarado,alexander-alvarado,A. Alvarado,M,165.0,Right,367,826826,10.0,1999-01-21,2027-12-31,5257,2000000.0,EC,Ecuador,2000000.0,EUR,https://api.sofascore.app/api/v1/player/826826/image
Michael Hoyos,michael-hoyos,M. Hoyos,F,179.0,Left,137,105717,11.0,1991-08-02,,39723,1200000.0,AR,Argentina,1200000.0,EUR,https://api.sofascore.app/api/v1/player/105717/image
Rafael Romo,rafael-romo,R. Romo,G,197.0,Right,320,108832,22.0,1990-02-25,,21942,390000.0,VE,Venezuela,390000.0,EUR,https://api.sofascore.app/api/v1/player/108832/image
Rómulo Otero,romulo-otero,R. Otero,M,166.0,Right,745,845323,23.0,1992-11-09,2023-12-31,5249,970000.0,VE,Venezuela,970000.0,EUR,https://api.sofascore.app/api/v1/player/845323/image
Facundo Martinez,facundo-martinez,F. Martinez,M,179.0,Right,16,33308,10.0,1985-04-02,2024-12-31,21942,380000.0,AR,Argentina,380000.0,EUR,https://api.sofascore.app/api/v1/player/33308/image
Damián Díaz,damian-diaz,D. Díaz,M,175.0,Right,222,42454,10.0,1986-05-01,2025-12-31,5250,465000.0,EC,Ecuador,465000.0,EUR,https://api.sofascore.app/api/v1/player/42454/image
Hernán Galíndez,hernan-galindez,H. Galíndez,G,189.0,Right,232,588618,12.0,1987-03-30,,5249,465000.0,EC,Ecuador,465000.0,EUR,https://api.sofascore.app/api/v1/player/588618/image
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,185.0,Right,56,1199361,9.0,1992-04-06,2023-12-31,21941,530000.0,CO,Colombia,530000.0,EUR,https://api.sofascore.app/api/v1/player/1199361/image
Alexander Domínguez,alexander-dominguez,A. Domínguez,G,195.0,Right,296,33567,22.0,1987-06-05,2024-12-31,5257,535000.0,EC,Ecuador,535000.0,EUR,https://api.sofascore.app/api/v1/player/33567/image
José Quintero,jose-quintero,J. Quintero,D,176.0,Right,40,805485,14.0,1990-06-20,,5257,650000.0,EC,Ecuador,650000.0,EUR,https://api.sofascore.app/api/v1/player/805485/image
Lucas Mancinelli,lucas-mancinelli,L. Mancinelli,M,168.0,Right,18,174935,7.0,1989-07-06,,5251,485000.0,AR,Argentina,485000.0,EUR,https://api.sofascore.app/api/v1/player/174935/image
Damián Frascarelli,damian-frascarelli,D. Frascarelli,G,189.0,Right,26,107249,1.0,1985-06-02,2023-12-31,5249,180000.0,UY,Uruguay,180000.0,EUR,https://api.sofascore.app/api/v1/player/107249/image
Junior Sornoza,junior-sornoza,J. Sornoza,F,166.0,Right,321,155786,10.0,1994-01-28,2024-12-31,39723,1900000.0,EC,Ecuador,1900000.0,EUR,https://api.sofascore.app/api/v1/player/155786/image
Pedro Ortiz,pedro-ortiz,P. Ortiz,G,187.0,Right,32,905632,12.0,1990-02-19,2023-12-30,5255,880000.0,EC,Ecuador,880000.0,EUR,https://api.sofascore.app/api/v1/player/905632/image
Hancel Batalla,hancel-batalla,H. Batalla,F,174.0,Right,15,873887,11.0,1997-11-09,2023-12-31,377757,340000.0,EC,Ecuador,340000.0,EUR,https://api.sofascore.app/api/v1/player/873887/image
Richard Schunke,richard-schunke,Richard Schunke,D,185.0,Right,71,877436,5.0,1991-11-26,2023-12-31,39723,1400000.0,AR,Argentina,1400000.0,EUR,https://api.sofascore.app/api/v1/player/877436/image
Braian Oyola,braian-oyola,B. Oyola,M,158.0,Left,17,906808,10.0,1996-06-15,,213638,870000.0,AR,Argentina,870000.0,EUR,https://api.sofascore.app/api/v1/player/906808/image
Ricardo Adé,ricardo-ade,R. Adé,D,190.0,Right,1072,839638,4.0,1990-05-21,2025-12-31,5257,720000.0,HT,Haiti,720000.0,EUR,https://api.sofascore.app/api/v1/player/839638/image
Benjamin Cardenas,cardenas-benjamin,B. Cardenas,G,,,2,1185856,33.0,1999-09-01,2023-12-31,377757,105000.0,EC,Ecuador,105000.0,EUR,https://api.sofascore.app/api/v1/player/1185856/image
Sergio López,sergio-lopez,S. López,M,178.0,Right,12,221748,10.0,1989-01-04,,5251,290000.0,AR,Argentina,290000.0,EUR,https://api.sofascore.app/api/v1/player/221748/image
Andrés Parrales,andres-parrales,A. Parrales,F,177.0,Right,66,340247,10.0,1995-12-26,2027-12-31,188850,1200000.0,EC,Ecuador,1200000.0,EUR,https://api.sofascore.app/api/v1/player/340247/image
Bruno Duarte,bruno-duarte,B. Duarte,D,190.0,,9,874645,26.0,1995-06-20,2024-06-30,7004,620000.0,AR,Argentina,620000.0,EUR,https://api.sofascore.app/api/v1/player/874645/image
Agustín García Basso,agustin-garcia-basso,A. G. Basso,D,178.0,Right,21,896806,2.0,1992-03-26,,39723,980000.0,AR,Argentina,980000.0,EUR,https://api.sofascore.app/api/v1/player/896806/image
Nicolás Rinaldi,nicolas-rinaldi,N. Rinaldi,M,185.0,Right,16,859965,8.0,1993-08-23,,5251,480000.0,AR,Argentina,480000.0,EUR,https://api.sofascore.app/api/v1/player/859965/image
Miller Bolaños,miller-bolanos,M. Bolaños,F,169.0,Right,215,47658,23.0,1990-06-01,2024-12-31,5255,1000000.0,EC,Ecuador,1000000.0,EUR,https://api.sofascore.app/api/v1/player/47658/image
Byron Palacios,byron-palacios,B. Palacios,F,,,15,961894,18.0,1995-01-20,2023-12-31,5254,650000.0,EC,Ecuador,650000.0,EUR,https://api.sofascore.app/api/v1/player/961894/image
Ismael Díaz,ismael-diaz,I. Díaz,F,181.0,Right,255,796328,30.0,1997-05-12,2025-06-30,21942,970000.0,PA,Panama,970000.0,EUR,https://api.sofascore.app/api/v1/player/796328/image
Jaime Ayoví,jaime-ayovi,J. Ayoví,F,185.0,Both,82,106458,17.0,1988-02-21,2024-06-30,5255,240000.0,EC,Ecuador,240000.0,EUR,https://api.sofascore.app/api/v1/player/106458/image
Jeison Medina,jeison-medina,J. Medina,F,180.0,Right,47,925147,9.0,1995-02-27,,5249,465000.0,CO,Colombia,465000.0,EUR,https://api.sofascore.app/api/v1/player/925147/image
Renato Ibarra,renato-ibarra,R. Ibarra,M,174.0,Right,204,158395,32.0,1991-01-20,2023-12-31,5257,1100000.0,EC,Ecuador,1100000.0,EUR,https://api.sofascore.app/api/v1/player/158395/image
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,186.0,Both,201,594430,18.0,1993-02-13,2025-12-31,5250,760000.0,AR,Argentina,760000.0,EUR,https://api.sofascore.app/api/v1/player/594430/image
José Cevallos,jose-cevallos,J. Cevallos,M,186.0,Right,69,33703,21.0,1995-01-18,2023-12-31,5255,825000.0,EC,Ecuador,825000.0,EUR,https://api.sofascore.app/api/v1/player/33703/image
Yerson Candelo,yerson-candelo,Y. Candelo,M,172.0,Right,121,158593,19.0,1992-02-24,2023-12-31,5249,945000.0,CO,Colombia,945000.0,EUR,https://api.sofascore.app/api/v1/player/158593/image
Leodan Chalá,leodan-chala,L. Chalá,G,188.0,,5,822736,1.0,1998-01-25,2023-12-31,5254,280000.0,EC,Ecuador,280000.0,EUR,https://api.sofascore.app/api/v1/player/822736/image
Anthony Landázuri,anthony-landazuri,A. Landázuri,D,178.0,Right,67,826831,4.0,1997-04-19,2024-12-31,39723,420000.0,EC,Ecuador,420000.0,EUR,https://api.sofascore.app/api/v1/player/826831/image
Diogo Bagui,bagui-diogo,D. Bagüí,D,180.0,,10,1470458,32.0,2005-03-20,,5255,,EC,Ecuador,,EUR,https://api.sofascore.app/api/v1/player/1470458/image
Richard Borja,borja-richard,R. Borja,F,,,13,1517144,70.0,2004-04-28,,5255,,EC,Ecuador,,EUR,https://api.sofascore.app/api/v1/player/1517144/image
Alexander Bolaños,alexander-bolanos,A. Bolaños,F,178.0,,15,965310,11.0,1999-12-12,,21941,465000.0,EC,Ecuador,465000.0,EUR,https://api.sofascore.app/api/v1/player/965310/image
Jordy Alcivar,jordy-alcivar,J. Alcivar,M,173.0,Right,160,925740,7.0,1999-08-05,,39723,2000000.0,EC,Ecuador,2000000.0,EUR,https://api.sofascore.app/api/v1/player/925740/image
Paolo Guerrero,paolo-guerrero,P. Guerrero,F,185.0,Right,3940,338,9.0,1984-01-01,2023-12-31,5257,145000.0,PE,Peru,145000.0,EUR,https://api.sofascore.app/api/v1/player/338/image
Facundo Castelli,castelli-facundo,F. Castelli,F,183.0,Right,21,895229,9.0,1995-02-18,,213638,270000.0,AR,Argentina,270000.0,EUR,https://api.sofascore.app/api/v1/player/895229/image
Dario Pazmino,pazmino-dario,D. Pazmino,M,,,1,977091,14.0,2000-05-25,,6001,230000.0,EC,Ecuador,230000.0,EUR,https://api.sofascore.app/api/v1/player/977091/image
Arón Rodríguez,aron-rodriguez,A. Rodríguez,F,,,33,1011412,7.0,1999-08-06,,21942,825000.0,EC,Ecuador,825000.0,EUR,https://api.sofascore.app/api/v1/player/1011412/image
Fausto Grillo,fausto-grillo,F. Grillo,D,180.0,Left,29,553508,37.0,1993-02-20,,21942,570000.0,AR,Argentina,570000.0,EUR,https://api.sofascore.app/api/v1/player/553508/image
Raúl Becerra,raul-becerra,R. Becerra,F,187.0,Right,50,340415,21.0,1987-10-01,,5251,485000.0,AR,Argentina,485000.0,EUR,https://api.sofascore.app/api/v1/player/340415/image
Luis Fernando León,luis-fernando-leon,L. F. León,D,185.0,Right,88,339967,27.0,1993-04-11,2023-12-31,5255,1100000.0,EC,Ecuador,1100000.0,EUR,https://api.sofascore.app/api/v1/player/339967/image
Mauricio Martínez,mauricio-martinez,M. Martínez,M,186.0,Right,68,789402,16.0,1993-02-20,2023-12-31,5257,440000.0,AR,Argentina,440000.0,EUR,https://api.sofascore.app/api/v1/player/789402/image
Jefferson Valverde,valverde-jefferson,J. Valverde,M,176.0,,9,975528,25.0,1999-05-04,,5257,,EC,Ecuador,,EUR,https://api.sofascore.app/api/v1/player/975528/image
Alexis Zapata,alexis-zapata,A. Zapata,M,179.0,Left,57,353296,10.0,1995-05-10,2023-12-31,5255,465000.0,CO,Colombia,465000.0,EUR,https://api.sofascore.app/api/v1/player/353296/image
Luis Cangá,luis-canga,L. Cangá,D,193.0,Right,23,155776,33.0,1995-06-15,2023-12-31,5249,625000.0,EC,Ecuador,625000.0,EUR,https://api.sofascore.app/api/v1/player/155776/image
Daykol Romero,daykol-romero,D. Romero,D,176.0,,7,1066555,13.0,2001-05-07,,5257,265000.0,EC,Ecuador,265000.0,EUR,https://api.sofascore.app/api/v1/player/1066555/image
Diego García,diego-garcia,D. García,M,179.0,Right,57,989331,11.0,1996-12-29,2023-12-31,5255,740000.0,UY,Uruguay,740000.0,EUR,https://api.sofascore.app/api/v1/player/989331/image
Javier Burrai,javier-burrai,J. Burrai,G,187.0,Right,104,174421,1.0,1990-10-09,2026-12-31,5250,740000.0,EC,Ecuador,740000.0,EUR,https://api.sofascore.app/api/v1/player/174421/image
Hamilton Piedra,hamilton-piedra,H. Piedra,G,182.0,,7,794921,31.0,1993-02-20,2024-12-31,5251,465000.0,EC,Ecuador,465000.0,EUR,https://api.sofascore.app/api/v1/player/794921/image
Teodoro Paredes,teodoro-paredes,T. Paredes,D,184.0,Right,15,312346,13.0,1993-04-01,2023-12-31,377757,390000.0,PY,Paraguay,390000.0,EUR,https://api.sofascore.app/api/v1/player/312346/image
Bagner Delgado,bagner-delgado,B. Delgado,M,,,4,975813,10.0,1995-11-20,,134976,410000.0,EC,Ecuador,410000.0,EUR,https://api.sofascore.app/api/v1/player/975813/image
Lorenzo Faravelli,lorenzo-faravelli,L. Faravelli,M,171.0,Right,166,250009,8.0,1993-03-29,2026-12-31,39723,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/250009/image
Luis Estupiñan,luis-estupinan,L. Estupiñan,F,170.0,,11,975090,7.0,1999-03-13,,21941,515000.0,EC,Ecuador,515000.0,EUR,https://api.sofascore.app/api/v1/player/975090/image
Kevin Minda,kevin-minda,K. Minda,M,176.0,,20,822718,4.0,1998-11-21,2024-12-31,21942,850000.0,EC,Ecuador,850000.0,EUR,https://api.sofascore.app/api/v1/player/822718/image
Maicon Solís,maicon-solis,M. Solís,M,,Right,9,922846,17.0,1994-05-11,2023-12-31,5254,545000.0,EC,Ecuador,545000.0,EUR,https://api.sofascore.app/api/v1/player/922846/image
Gonzalo Valle,gonzalo-valle,G. Valle,G,,Right,10,925484,1.0,1996-02-28,2026-12-31,188850,540000.0,EC,Ecuador,540000.0,EUR,https://api.sofascore.app/api/v1/player/925484/image
Samuel Sosa,samuel-sosa,S. Sosa,M,175.0,Left,348,836584,7.0,1999-12-17,2023-12-31,5255,430000.0,VE,Venezuela,430000.0,EUR,https://api.sofascore.app/api/v1/player/836584/image
Óscar Zambrano,oscar-zambrano,Ó. Zambrano,M,176.0,,390,1145130,5.0,2004-04-20,,5257,1600000.0,EC,Ecuador,1600000.0,EUR,https://api.sofascore.app/api/v1/player/1145130/image
Anibal Chalá,anibal-chala,A. Chalá,D,178.0,Left,112,827140,16.0,1996-05-09,2024-06-30,5255,970000.0,EC,Ecuador,970000.0,EUR,https://api.sofascore.app/api/v1/player/827140/image
Luis Cano,luis-cano,L. Cano,M,,,9,975548,22.0,1999-09-05,,5249,275000.0,EC,Ecuador,275000.0,EUR,https://api.sofascore.app/api/v1/player/975548/image
Tobías Donsanti,tobias-donsanti,T. Donsanti,F,179.0,Right,13,1086968,22.0,2000-05-15,2023-12-31,248196,190000.0,AR,Argentina,190000.0,EUR,https://api.sofascore.app/api/v1/player/1086968/image
Facundo Rodríguez,facundo-rodriguez,F. Rodríguez,D,188.0,Right,49,980485,6.0,2000-02-26,2023-12-31,5257,645000.0,AR,Argentina,645000.0,EUR,https://api.sofascore.app/api/v1/player/980485/image
Willian Cevallos,cevallos-willian,W. Cevallos,M,,,3,975696,40.0,1990-05-15,,21941,230000.0,EC,Ecuador,230000.0,EUR,https://api.sofascore.app/api/v1/player/975696/image
Ezequiel Piovi,ezequiel-piovi,E. Piovi,M,170.0,Right,76,359098,18.0,1992-08-20,2025-12-31,5257,1100000.0,AR,Argentina,1100000.0,EUR,https://api.sofascore.app/api/v1/player/359098/image
Kendry Páez,kendry-paez,K. Páez,M,177.0,Left,4043,1464025,55.0,2007-05-04,,39723,5200000.0,EC,Ecuador,5200000.0,EUR,https://api.sofascore.app/api/v1/player/1464025/image
Leonel Nazareno,leonel-nazareno,L. Nazareno,G,195.0,,3,805464,28.0,1994-08-05,2023-12-31,377757,310000.0,EC,Ecuador,310000.0,EUR,https://api.sofascore.app/api/v1/player/805464/image
Juan Carlos Paredes,juan-carlos-paredes,J. C. Paredes,M,179.0,Right,41,47668,4.0,1987-07-08,2023-12-31,377757,320000.0,EC,Ecuador,320000.0,EUR,https://api.sofascore.app/api/v1/player/47668/image
Michael Carcelén,michael-carcelen,M. Carcelén,M,189.0,Right,35,1018554,80.0,1997-04-13,2024-06-30,5255,440000.0,EC,Ecuador,440000.0,EUR,https://api.sofascore.app/api/v1/player/1018554/image
Lisandro Alzugaray,lisandro-alzugaray,L. Alzugaray,M,170.0,Left,42,897059,20.0,1990-04-17,2023-12-31,5257,730000.0,AR,Argentina,730000.0,EUR,https://api.sofascore.app/api/v1/player/897059/image
Carlos Rolón,carlos-rolon,C. Rolón,D,184.0,Right,19,805203,16.0,1992-06-30,,5249,360000.0,PY,Paraguay,360000.0,EUR,https://api.sofascore.app/api/v1/player/805203/image
Erick Plúas,erick-pluas,E. Plúas,M,174.0,,16,1134650,14.0,2002-03-20,,277525,470000.0,EC,Ecuador,470000.0,EUR,https://api.sofascore.app/api/v1/player/1134650/image
Kavier Ortiz,kavier-ortiz,K. Ortiz,M,,,3,1116667,24.0,2002-04-05,2024-06-30,202440,215000.0,EC,Ecuador,215000.0,EUR,https://api.sofascore.app/api/v1/player/1116667/image
Aníbal Leguizamón,anibal-leguizamon,A. Leguizamón,D,186.0,,25,898990,2.0,1992-01-10,2024-06-30,5255,680000.0,AR,Argentina,680000.0,EUR,https://api.sofascore.app/api/v1/player/898990/image
Christian Alemán,christian-aleman,C. Alemán,M,185.0,Left,56,339563,23.0,1996-02-05,2024-06-30,3112,145000.0,EC,Ecuador,145000.0,EUR,https://api.sofascore.app/api/v1/player/339563/image
Alexis Villa,alexis-villa,A. Villa,G,196.0,Right,4,1067803,12.0,2001-09-22,,39723,,EC,Ecuador,,EUR,https://api.sofascore.app/api/v1/player/1067803/image
Sebastián González,sebastian-gonzalez,S. González,M,178.0,Right,109,1116579,21.0,2003-06-06,,5257,825000.0,EC,Ecuador,825000.0,EUR,https://api.sofascore.app/api/v1/player/1116579/image
Jose Enrique Angulo,jose-enrique-angulo,J. E. Angulo,F,181.0,Right,99,590176,19.0,1995-02-03,2023-12-31,5257,560000.0,EC,Ecuador,560000.0,EUR,https://api.sofascore.app/api/v1/player/590176/image
Alejandro Cabeza,alejandro-cabeza,A. Cabeza,F,185.0,Right,51,868742,99.0,1997-03-11,2025-06-30,2334,820000.0,EC,Ecuador,820000.0,EUR,https://api.sofascore.app/api/v1/player/868742/image
Franklin Guerra,franklin-guerra,F. Guerra,D,182.0,Right,19,827135,15.0,1992-04-12,,21942,775000.0,EC,Ecuador,775000.0,EUR,https://api.sofascore.app/api/v1/player/827135/image
Arnaldo Zambrano,zambrano-arnaldo,A. Zambrano,M,,,2,998401,8.0,2001-12-22,,134976,330000.0,EC,Ecuador,330000.0,EUR,https://api.sofascore.app/api/v1/player/998401/image
Jhonnier Chala,jhonnier-chala,J. Chala,D,,,14,1461225,44.0,2000-05-04,2023-12-31,5254,640000.0,EC,Ecuador,640000.0,EUR,https://api.sofascore.app/api/v1/player/1461225/image
Jerry Parrales,parrales-jerry,J. Parrales,D,,,7,1466377,2.0,1997-02-08,2023-12-31,5254,495000.0,EC,Ecuador,495000.0,EUR,https://api.sofascore.app/api/v1/player/1466377/image
Elvis Patta,elvis-patta,E. Patta,M,167.0,Left,2,588628,17.0,1990-11-17,2023-12-31,21941,480000.0,EC,Ecuador,480000.0,EUR,https://api.sofascore.app/api/v1/player/588628/image
Nixon Molina,nixon-molina,N. Molina,M,182.0,Right,12,1015290,8.0,1993-03-26,,213638,325000.0,EC,Ecuador,325000.0,EUR,https://api.sofascore.app/api/v1/player/1015290/image
Carlos Rodríguez,carlos-rodriguez,C. Rodríguez,D,185.0,Right,55,849170,4.0,1990-04-07,2024-12-31,5250,730000.0,UY,Uruguay,730000.0,EUR,https://api.sofascore.app/api/v1/player/849170/image
Nicolas Sottile,sottile-nicolas,N. Sottile,M,190.0,Right,1,1118571,,1993-05-05,,117230,205000.0,AR,Argentina,205000.0,EUR,https://api.sofascore.app/api/v1/player/1118571/image
Caín Fara,cain-fara,C. Fara,D,184.0,Right,14,971200,3.0,1994-03-06,2023-12-31,5255,465000.0,AR,Argentina,465000.0,EUR,https://api.sofascore.app/api/v1/player/971200/image
Jhon Cifuente,jhon-cifuente,J. Cifuente,F,178.0,Right,96,846663,38.0,1992-07-23,,5249,770000.0,EC,Ecuador,770000.0,EUR,https://api.sofascore.app/api/v1/player/846663/image
Diego Ledesma,ledesma-diego,D. Ledesma,F,183.0,Right,13,1479176,9.0,1993-06-26,,134976,260000.0,AR,Argentina,260000.0,EUR,https://api.sofascore.app/api/v1/player/1479176/image
Alan Minda,minda-alan,A. Minda,M,171.0,Right,283,1122552,11.0,2003-05-14,2028-06-30,2929,2100000.0,EC,Ecuador,2100000.0,EUR,https://api.sofascore.app/api/v1/player/1122552/image
Tomás Oneto,tomas-oneto,T. Oneto,D,185.0,,12,871814,23.0,1998-02-19,,21942,440000.0,AR,Argentina,440000.0,EUR,https://api.sofascore.app/api/v1/player/871814/image
Edison Caicedo,edison-caicedo,E. Caicedo,M,170.0,,10,844615,13.0,1990-03-13,2023-12-31,5249,440000.0,EC,Ecuador,440000.0,EUR,https://api.sofascore.app/api/v1/player/844615/image
Alexis Rodríguez,alexis-rodriguez,A. Rodríguez,F,170.0,Right,41,882607,11.0,1996-03-21,,213638,460000.0,AR,Argentina,460000.0,EUR,https://api.sofascore.app/api/v1/player/882607/image
Juan Ruiz Gómez,juan-ruiz-gomez,J. R. Gómez,M,169.0,Right,16,896857,7.0,1994-01-10,,213638,390000.0,AR,Argentina,390000.0,EUR,https://api.sofascore.app/api/v1/player/896857/image
Elian Carabali,carabali-elian,E. Carabali,M,,,2,1474739,19.0,2000-04-11,,394127,145000.0,EC,Ecuador,145000.0,EUR,https://api.sofascore.app/api/v1/player/1474739/image
Bryan García,bryan-garcia,B. García,M,175.0,Right,75,1065584,20.0,2001-01-18,,39723,430000.0,EC,Ecuador,430000.0,EUR,https://api.sofascore.app/api/v1/player/1065584/image
Jordan Rezabala,jordan-rezabala,J. Rezabala,M,165.0,Left,50,1049725,11.0,2000-02-29,,188850,245000.0,EC,Ecuador,245000.0,EUR,https://api.sofascore.app/api/v1/player/1049725/image
Gabriel Cortez,gabriel-cortez,G. Cortez,M,179.0,Right,67,1090134,8.0,1995-10-10,,5250,540000.0,EC,Ecuador,540000.0,EUR,https://api.sofascore.app/api/v1/player/1090134/image
