saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,rating,player.id,team.id
0,0,0,0,0,0,0,0,18,0,0,1,0,7.46,873891,5254
59,29,4,0,7,30,3,3,8,3,0,2,22,7.41,877442,213638
0,0,0,0,1,0,0,0,45,0,0,5,0,7.34,789939,248196
0,0,0,0,1,0,0,0,20,0,0,1,0,7.33,42573,21942
0,0,0,0,0,0,0,0,12,0,0,2,0,7.29,826826,5257
0,0,0,0,2,0,0,0,17,0,0,1,0,7.24,105717,39723
93,57,16,0,10,35,3,3,25,3,0,1,13,7.22,108832,21942
0,0,0,0,3,0,0,0,17,0,0,4,0,7.2,845323,5249
0,0,0,0,5,0,0,0,25,0,0,2,0,7.19,33308,21942
0,0,0,0,1,0,0,0,18,0,0,1,0,7.19,42454,5250
87,40,10,0,10,47,0,3,22,0,0,4,8,7.19,588618,5249
0,0,0,0,2,0,0,0,15,0,0,1,0,7.18,1199361,21941
79,32,1,0,13,46,1,4,14,1,2,1,17,7.18,33567,5257
0,0,0,0,4,0,0,0,10,0,0,2,0,7.18,805485,5257
0,0,0,0,4,0,0,0,17,0,0,5,0,7.18,174935,5251
30,16,3,0,2,13,0,3,6,0,0,0,1,7.14,107249,5249
0,0,0,0,3,0,0,1,16,0,0,1,0,7.14,155786,39723
95,59,5,0,14,36,3,7,23,3,1,4,19,7.13,905632,5255
0,0,0,0,2,0,0,0,23,0,0,4,0,7.12,873887,377757
0,0,0,0,5,0,0,0,11,0,0,0,0,7.11,877436,39723
0,0,0,0,3,0,0,0,24,0,0,4,0,7.11,906808,213638
0,0,0,0,13,0,0,0,14,0,0,1,0,7.1,839638,5257
13,8,3,0,1,5,1,0,2,1,0,1,1,7.1,1185856,377757
0,0,0,0,1,0,0,0,9,0,0,2,0,7.09,221748,5251
0,0,0,0,1,0,0,0,28,0,0,3,0,7.08,340247,188850
0,0,0,0,4,0,0,0,15,0,0,6,0,7.08,874645,5251
0,0,0,0,9,0,0,0,21,0,0,2,0,7.08,896806,39723
0,0,0,0,4,0,0,0,15,0,0,5,0,7.07,859965,5251
0,0,0,0,4,0,0,0,9,0,0,2,0,7.06,47658,5255
0,0,0,0,0,0,0,0,20,0,0,2,0,7.06,961894,5254
0,0,0,0,4,0,0,0,16,0,0,2,0,7.06,796328,21942
0,0,0,0,4,0,0,0,6,0,0,0,0,7.05,106458,5255
0,0,0,0,0,0,0,0,5,0,0,3,0,7.04,925147,5249
0,0,0,0,0,0,0,0,9,0,0,0,0,7.04,158395,5257
0,0,0,0,1,0,0,0,24,0,0,2,0,7.03,594430,5250
0,0,0,0,1,0,0,0,16,0,0,4,0,7.02,33703,5255
0,0,0,0,7,0,0,0,11,0,0,3,0,7.02,158593,5249
45,25,10,0,2,20,2,4,15,2,1,2,3,7.02,822736,5254
0,0,0,0,8,0,0,0,14,0,0,1,0,7.02,826831,39723
0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1470458,5255
0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1517144,5255
0,0,0,0,2,0,0,0,20,0,0,1,0,7.0,965310,21941
0,0,0,0,5,0,0,0,8,0,0,1,0,7.0,925740,39723
0,0,0,0,0,0,0,0,2,0,0,0,0,6.99,338,5257
0,0,0,0,3,0,0,0,5,0,0,2,0,6.99,895229,213638
0,0,0,0,0,0,0,0,8,0,0,2,0,6.99,977091,394127
0,0,0,0,4,0,0,0,26,0,0,1,0,6.99,1011412,21942
0,0,0,0,7,0,0,0,8,0,0,1,0,6.98,553508,21942
0,0,0,0,2,0,0,0,20,0,0,4,0,6.98,340415,5251
0,0,0,0,13,0,0,0,15,0,0,2,0,6.98,339967,5255
0,0,0,0,1,0,0,0,7,0,0,2,0,6.98,789402,5257
0,0,0,0,2,0,0,0,24,0,0,1,0,6.98,975528,5257
0,0,0,0,0,0,0,0,6,0,0,0,0,6.98,353296,5255
0,0,0,0,11,0,0,0,24,0,0,4,0,6.97,155776,5249
0,0,0,0,5,0,0,0,4,0,0,2,0,6.96,1066555,5257
0,0,0,0,3,0,0,0,14,0,0,3,0,6.96,989331,5255
64,33,9,0,8,29,4,3,21,4,0,1,17,6.96,174421,5250
89,55,11,0,10,34,0,6,24,0,1,7,9,6.96,794921,5251
0,0,0,0,7,0,0,0,25,0,0,5,0,6.96,312346,377757
0,0,0,0,1,0,0,0,19,0,0,3,0,6.96,975813,134976
0,0,0,0,3,0,0,0,19,0,0,2,0,6.95,250009,39723
0,0,0,0,2,0,0,0,11,0,0,2,0,6.95,975090,21941
0,0,0,0,9,0,0,0,33,0,0,2,0,6.95,822718,21942
0,0,0,0,2,0,0,0,27,0,0,1,0,6.95,922846,5254
95,44,9,0,6,51,3,8,37,3,1,3,15,6.95,925484,188850
0,0,0,0,1,0,0,0,5,0,0,1,0,6.94,836584,5255
0,0,0,0,5,0,0,0,8,0,0,1,0,6.94,1145130,5257
0,0,0,0,5,0,0,0,6,0,0,0,0,6.94,827140,5255
0,0,0,0,1,0,0,0,15,0,0,3,0,6.93,975548,5249
0,0,0,0,0,0,0,0,8,0,0,0,0,6.93,1086968,248196
0,0,0,0,11,0,0,0,13,0,0,3,0,6.93,980485,5257
0,0,0,0,1,0,0,0,7,0,0,0,0,6.92,975696,21941
