name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Gustavo Salvatierra,gustavo-salvatierra,G. Salvatierra,G,188.0,Left,1,890061,12.0,1992-05-24,,47700,82000.0,BO,Bolivia,82000.0,EUR,https://api.sofascore.app/api/v1/player/890061/image
Bruno Sávio,bruno-savio,B. Sávio,M,184.0,Right,879,840066,10.0,1994-08-01,,7059,645000.0,BR,Brazil,645000.0,EUR,https://api.sofascore.app/api/v1/player/840066/image
Roler Ferrufino,roler-ferrufino,R. Ferrufino,F,,,1,989584,20.0,2000-10-10,,468587,,BO,Bolivia,,EUR,https://api.sofascore.app/api/v1/player/989584/image
Daniel Sandy,daniel-sandy,D. Sandy,G,184.0,Right,4,989573,,2001-10-22,,286991,82000.0,BO,Bolivia,82000.0,EUR,https://api.sofascore.app/api/v1/player/989573/image
Rafael Allan Mollercke,mollercke-rafael-allan,R. A. Mollercke,M,174.0,Right,29,1476548,15.0,1991-12-20,2023-12-31,6968,515000.0,BR,Brazil,515000.0,EUR,https://api.sofascore.app/api/v1/player/1476548/image
Lucas Salinas,lucas-salinas,L. Salinas,G,,,0,1184211,12.0,2001-04-10,,7878,46000.0,BO,Bolivia,46000.0,EUR,https://api.sofascore.app/api/v1/player/1184211/image
Matías Pisano,matias-pisano,M. Pisano,M,166.0,Left,37,579384,10.0,1991-12-13,2023-12-31,3214,435000.0,AR,Argentina,435000.0,EUR,https://api.sofascore.app/api/v1/player/579384/image
Dorny Romero,dorny-romero,D. Romero,F,173.0,,150,1099312,17.0,1998-01-24,,268083,935000.0,DO,Dominican Republic,935000.0,EUR,https://api.sofascore.app/api/v1/player/1099312/image
Martín Prost,martin-prost,M. Prost,F,175.0,,78,897007,20.0,1988-07-11,,47700,265000.0,AR,Argentina,265000.0,EUR,https://api.sofascore.app/api/v1/player/897007/image
Roy Ndoutoumo,ndoutoumo-roy,R. Ndoutoumo,M,180.0,Right,19,1184178,18.0,1994-10-16,,35888,285000.0,GA,Gabon,285000.0,EUR,https://api.sofascore.app/api/v1/player/1184178/image
Raúl Castro,raul-castro,R. Castro,M,181.0,Right,4,386274,10.0,1989-08-19,,268082,220000.0,BO,Bolivia,220000.0,EUR,https://api.sofascore.app/api/v1/player/386274/image
Enrique Triverio,enrique-triverio,E. Triverio,F,184.0,Right,197,340419,11.0,1988-12-31,2023-12-31,32529,455000.0,AR,Argentina,455000.0,EUR,https://api.sofascore.app/api/v1/player/340419/image
Carlos Mosquera,carlos-mosquera,C. Mosquera,G,191.0,Right,18,894214,1.0,1994-10-19,,89156,365000.0,CO,Colombia,365000.0,EUR,https://api.sofascore.app/api/v1/player/894214/image
Maximiliano Ezequiel Nunez,nunez-maximiliano-ezequiel,M. Núñez,F,169.0,Right,14,38406,10.0,1986-09-17,2023-12-31,47700,135000.0,AR,Argentina,135000.0,EUR,https://api.sofascore.app/api/v1/player/38406/image
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,174.0,Right,29,311400,21.0,1993-05-09,,33820,630000.0,UY,Uruguay,630000.0,EUR,https://api.sofascore.app/api/v1/player/311400/image
Ronnie Fernández,ronnie-fernandez,R. Fernández,F,183.0,Right,316,805150,9.0,1991-01-30,2024-12-31,7059,470000.0,CL,Chile,470000.0,EUR,https://api.sofascore.app/api/v1/player/805150/image
Julio Herrera,julio-herrera,J. Herrera,M,173.0,Right,14,931426,7.0,1999-02-11,,268083,730000.0,BO,Bolivia,730000.0,EUR,https://api.sofascore.app/api/v1/player/931426/image
Saulo Guerra,saulo-guerra,S. Guerra,M,174.0,Right,5,868702,17.0,1992-09-14,2023-12-31,47700,315000.0,BO,Bolivia,315000.0,EUR,https://api.sofascore.app/api/v1/player/868702/image
Ramiro Vaca,ramiro-vaca,R. Vaca,M,177.0,Right,173,876307,11.0,1999-07-01,,7059,630000.0,BO,Bolivia,630000.0,EUR,https://api.sofascore.app/api/v1/player/876307/image
Michael Ortega,michael-ortega,M. Ortega,M,170.0,Right,71,72872,10.0,1991-04-06,2023-12-31,32529,435000.0,CO,Colombia,435000.0,EUR,https://api.sofascore.app/api/v1/player/72872/image
Tommy Tobar,tommy-tobar,T. Tobar,F,183.0,Right,38,815461,9.0,1986-11-21,,47700,260000.0,CO,Colombia,260000.0,EUR,https://api.sofascore.app/api/v1/player/815461/image
Esteban Orfano,esteban-orfano,E. G. Orfano,M,172.0,Right,6,223728,30.0,1992-01-13,,273544,335000.0,AR,Argentina,335000.0,EUR,https://api.sofascore.app/api/v1/player/223728/image
Joel Amoroso,joel-amoroso,J. Amoroso,M,185.0,Right,12,789878,7.0,1988-01-08,,273544,240000.0,AR,Argentina,240000.0,EUR,https://api.sofascore.app/api/v1/player/789878/image
Julián Velázquez,julian-velazquez,J. Velázquez,D,184.0,Right,14,122667,2.0,1990-10-23,,7878,210000.0,AR,Argentina,210000.0,EUR,https://api.sofascore.app/api/v1/player/122667/image
Thomaz,thomaz,T. Santos,F,177.0,Right,37,846524,10.0,1986-05-02,2023-12-31,372975,97000.0,BR,Brazil,97000.0,EUR,https://api.sofascore.app/api/v1/player/846524/image
Arnaldo Giménez,arnaldo-gimenez,A. Giménez,G,195.0,Left,16,870493,13.0,1987-03-09,,7878,190000.0,PY,Paraguay,190000.0,EUR,https://api.sofascore.app/api/v1/player/870493/image
José Vargas,jose-vargas,J. Vargas,M,182.0,Right,4,1468327,14.0,,,321264,,,,,EUR,https://api.sofascore.app/api/v1/player/1468327/image
Jair Reinoso,jair-reinoso,J. Reinoso,F,182.0,Right,62,839459,18.0,1985-06-07,2023-12-31,33714,97000.0,BO,Bolivia,97000.0,EUR,https://api.sofascore.app/api/v1/player/839459/image
Diego Cuadros,diego-cuadros,D. Cuadros,M,170.0,Left,14,819655,7.0,1996-05-28,,327910,440000.0,CO,Colombia,440000.0,EUR,https://api.sofascore.app/api/v1/player/819655/image
Adalid Terrazas,adalid-terrazas,A. Terrazas,M,175.0,Right,12,1000182,10.0,2000-08-25,,268083,760000.0,BO,Bolivia,760000.0,EUR,https://api.sofascore.app/api/v1/player/1000182/image
Francisco Da Costa,francisco-da-costa,F. D. Costa,F,184.0,Right,149,866847,19.0,1995-05-05,2026-12-31,7059,875000.0,BR,Brazil,875000.0,EUR,https://api.sofascore.app/api/v1/player/866847/image
Leandro Corulo,leandro-corulo,L. Corulo,D,187.0,Right,4,340857,5.0,1989-06-02,2023-12-31,335685,190000.0,AR,Argentina,190000.0,EUR,https://api.sofascore.app/api/v1/player/340857/image
Jeyson Chura,jeyson-chura,J. Chura,M,175.0,Right,65,1017472,23.0,2002-02-03,,32529,705000.0,BO,Bolivia,705000.0,EUR,https://api.sofascore.app/api/v1/player/1017472/image
Leonel López,leonel-lopez,L. López,M,173.0,Right,69,590260,29.0,1994-05-24,,32529,1400000.0,MX,Mexico,1400000.0,EUR,https://api.sofascore.app/api/v1/player/590260/image
Raúl Olivares,raul-olivares,R. Olivares,G,185.0,Right,33,34430,1.0,1988-04-17,,268082,97000.0,CL,Chile,97000.0,EUR,https://api.sofascore.app/api/v1/player/34430/image
Edarlyn Reyes,edarlyn-reyes,E. Reyes,M,180.0,Left,46,1099313,11.0,1997-09-30,,305260,560000.0,DO,Dominican Republic,560000.0,EUR,https://api.sofascore.app/api/v1/player/1099313/image
Sebastián Ibars,sebastian-ibars,S. Ibars,D,190.0,Right,1,944708,29.0,1986-06-04,,372975,190000.0,AR,Argentina,190000.0,EUR,https://api.sofascore.app/api/v1/player/944708/image
Serginho,serginho,Serginho,M,169.0,Right,17,866405,70.0,1984-12-19,,33714,,BR,Brazil,,EUR,https://api.sofascore.app/api/v1/player/866405/image
Rodrigo Amaral,rodrigo-amaral,R. Amaral,M,176.0,Both,108,796451,22.0,1997-03-25,,7878,315000.0,UY,Uruguay,315000.0,EUR,https://api.sofascore.app/api/v1/player/796451/image
Gastón Rodríguez,gaston-rodriguez,G. Rodríguez,F,186.0,Left,65,340125,9.0,1992-03-23,,6968,485000.0,UY,Uruguay,485000.0,EUR,https://api.sofascore.app/api/v1/player/340125/image
José Martínez,jose-martinez,J. Martínez,M,175.0,Right,12,1017482,27.0,2002-09-18,,268083,430000.0,BO,Bolivia,430000.0,EUR,https://api.sofascore.app/api/v1/player/1017482/image
Diego Méndez,diego-mendez,D. Méndez,G,185.0,Right,1,975065,13.0,1990-10-05,,273544,160000.0,BO,Bolivia,160000.0,EUR,https://api.sofascore.app/api/v1/player/975065/image
Samuel Galindo,samuel-galindo,S. Galindo,M,190.0,Left,4,130098,10.0,1992-04-18,,335685,360000.0,BO,Bolivia,360000.0,EUR,https://api.sofascore.app/api/v1/player/130098/image
Jonathan Canete,jonathan-canete,J. Canete,F,174.0,Right,5,358932,7.0,1996-07-12,,321264,630000.0,AR,Argentina,630000.0,EUR,https://api.sofascore.app/api/v1/player/358932/image
Roberto Fernández,roberto-fernandez,R. Fernández,M,175.0,Left,105,986778,7.0,1999-07-12,2024-06-30,7517,1100000.0,BO,Bolivia,1100000.0,EUR,https://api.sofascore.app/api/v1/player/986778/image
Matias Noble,matias-noble,M. Noble,M,182.0,Left,14,815133,21.0,1996-08-09,,335685,360000.0,AR,Argentina,360000.0,EUR,https://api.sofascore.app/api/v1/player/815133/image
Fabián Pereira,fabian-pereira,F. Pereira,G,,,2,1503689,50.0,2006-05-16,,268083,,BO,Bolivia,,EUR,https://api.sofascore.app/api/v1/player/1503689/image
Ariel Nahuelpán,ariel-nahuelpan,A. Nahuelpán,F,190.0,Left,74,77558,37.0,1987-10-15,,7878,365000.0,AR,Argentina,365000.0,EUR,https://api.sofascore.app/api/v1/player/77558/image
Rodrigo Ramallo,rodrigo-ramallo,R. Ramallo,M,178.0,Right,16,163161,8.0,1990-10-14,,33714,320000.0,BO,Bolivia,320000.0,EUR,https://api.sofascore.app/api/v1/player/163161/image
César García,cesar-garcia,C. García,D,186.0,Right,9,1184158,13.0,1993-03-13,,33820,410000.0,DO,Dominican Republic,410000.0,EUR,https://api.sofascore.app/api/v1/player/1184158/image
Leonel Justiniano,leonel-justiniano,L. Justiniano,M,172.0,Right,30,220991,23.0,1992-07-02,,7059,515000.0,BO,Bolivia,515000.0,EUR,https://api.sofascore.app/api/v1/player/220991/image
Miguel Mendoza,miguel-mendoza,M. Mendoza,F,,,3,1495665,32.0,1998-10-27,,423192,,,,,EUR,https://api.sofascore.app/api/v1/player/1495665/image
Héctor Cuellar,hector-cuellar,H. Cuellar,D,180.0,,15,1495631,13.0,2000-08-16,,268083,620000.0,BO,Bolivia,620000.0,EUR,https://api.sofascore.app/api/v1/player/1495631/image
Pablo Hervías,pablo-hervias,P. Hervías,M,174.0,Right,41,116952,7.0,1993-03-08,,7059,485000.0,ES,Spain,485000.0,EUR,https://api.sofascore.app/api/v1/player/116952/image
Cristian Alvarez,cristian-alvarez,C. Alvarez,M,174.0,Right,21,250235,8.0,1992-09-28,,33820,460000.0,AR,Argentina,460000.0,EUR,https://api.sofascore.app/api/v1/player/250235/image
Julio Vila,julio-vila,J. Vila,D,183.0,Left,1,1184221,2.0,1996-01-15,,268082,485000.0,AR,Argentina,485000.0,EUR,https://api.sofascore.app/api/v1/player/1184221/image
Patricio Rodríguez,patricio-rodriguez,P. Rodríguez,F,172.0,Right,83,37952,17.0,1990-05-04,,7059,490000.0,AR,Argentina,490000.0,EUR,https://api.sofascore.app/api/v1/player/37952/image
Rodrigo Orihuela,rodrigo-orihuela,R. Orihuela,M,170.0,Right,1,1017445,,2003-08-28,,241802,71000.0,BO,Bolivia,71000.0,EUR,https://api.sofascore.app/api/v1/player/1017445/image
