name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Sebastián Angulo,sebastian-angulo,S. Angulo,G,188.0,Left,5,1184187,1.0,1992-03-03,,335685,110000.0,CO,Colombia,110000.0,EUR,https://api.sofascore.app/api/v1/player/1184187/image
José Herrera,jose-herrera,J. Herrera,M,181.0,,9,1017481,13.0,2003-03-09,,7059,96000.0,BO,Bolivia,96000.0,EUR,https://api.sofascore.app/api/v1/player/1017481/image
Rudy Cardozo,rudy-cardozo,R. Cardozo,M,171.0,Left,8,64982,30.0,1990-02-14,,7878,160000.0,BO,Bolivia,160000.0,EUR,https://api.sofascore.app/api/v1/player/64982/image
Gabriel Sotomayor,gabriel-sotomayor,G. Sotomayor,F,175.0,Right,11,974103,26.0,1999-07-02,2023-12-31,32529,485000.0,BO,Bolivia,485000.0,EUR,https://api.sofascore.app/api/v1/player/974103/image
Wilson Quiñónez,wilson-quinonez,W. Quiñónez,G,184.0,Right,44,1184161,1.0,1988-09-04,2023-12-31,33820,425000.0,PY,Paraguay,425000.0,EUR,https://api.sofascore.app/api/v1/player/1184161/image
Pedro Galindo,pedro-galindo,P. Galindo,G,176.0,Right,1,877531,23.0,1995-04-13,2023-12-31,335685,425000.0,BO,Bolivia,425000.0,EUR,https://api.sofascore.app/api/v1/player/877531/image
Jair Torrico,jair-torrico,J. Torrico,M,174.0,Right,2,163181,10.0,1986-09-02,2023-12-31,33714,110000.0,BO,Bolivia,110000.0,EUR,https://api.sofascore.app/api/v1/player/163181/image
Carlos Melgar,carlos-melgar,C. Melgar,M,172.0,Right,8,877535,70.0,1994-11-04,2023-12-31,273544,515000.0,BO,Bolivia,515000.0,EUR,https://api.sofascore.app/api/v1/player/877535/image
Martín Alaníz,martin-alaniz,M. Alaníz,M,175.0,Left,17,339123,50.0,1993-02-19,2023-12-31,25009,435000.0,UY,Uruguay,435000.0,EUR,https://api.sofascore.app/api/v1/player/339123/image
Luciano Ursino,luciano-ursino,L. Ursino,M,179.0,Right,40,589582,8.0,1988-10-31,,32529,390000.0,BO,Bolivia,390000.0,EUR,https://api.sofascore.app/api/v1/player/589582/image
Gustavo Almada,gustavo-almada,G. Almada,G,182.0,,2,1418344,12.0,,,268082,,PY,Paraguay,,EUR,https://api.sofascore.app/api/v1/player/1418344/image
David Robles,david-robles,D. Robles,D,186.0,Right,11,893078,24.0,1991-09-24,,268083,390000.0,PY,Paraguay,390000.0,EUR,https://api.sofascore.app/api/v1/player/893078/image
Luis Maki Salces,luis-maki-salces,L. M. Salces,M,174.0,Right,3,897151,,1994-11-25,,241802,120000.0,AR,Argentina,120000.0,EUR,https://api.sofascore.app/api/v1/player/897151/image
Jorge Correa,jorge-correa,J. Correa,F,170.0,Left,25,175097,20.0,1993-04-04,2024-06-30,25787,530000.0,AR,Argentina,530000.0,EUR,https://api.sofascore.app/api/v1/player/175097/image
Oscar Vaca,oscar-vaca,O. Vaca,D,177.0,Left,1,886913,28.0,1988-10-30,,33714,81000.0,BO,Bolivia,81000.0,EUR,https://api.sofascore.app/api/v1/player/886913/image
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,187.0,Right,15,805363,19.0,1992-04-07,,47465,470000.0,BO,Bolivia,470000.0,EUR,https://api.sofascore.app/api/v1/player/805363/image
Jairo Hestefano Jean,hestefano-jean-jairo,J. Jean,F,170.0,Right,317,1156453,18.0,1998-06-22,,268083,340000.0,HT,Haiti,340000.0,EUR,https://api.sofascore.app/api/v1/player/1156453/image
Luis Banegas,luis-banegas,L. Banegas,G,184.0,Right,4,873729,1.0,1995-08-11,,32529,205000.0,BO,Bolivia,205000.0,EUR,https://api.sofascore.app/api/v1/player/873729/image
Luis Torrico,luis-torrico,L. Torrico,D,181.0,Right,2,12435,2.0,1986-09-14,2023-12-31,47700,105000.0,BO,Bolivia,105000.0,EUR,https://api.sofascore.app/api/v1/player/12435/image
Pedro Azogue,pedro-azogue,P. Azogue,M,176.0,Right,1,247125,22.0,1994-12-06,,335685,375000.0,BO,Bolivia,375000.0,EUR,https://api.sofascore.app/api/v1/player/247125/image
Robson dos Santos,robson-dos-santos,R. d. Santos,D,180.0,Right,1,1102032,25.0,1992-09-28,,7878,285000.0,BR,Brazil,285000.0,EUR,https://api.sofascore.app/api/v1/player/1102032/image
Guillermo Viscarra,guillermo-viscarra,G. Viscarra,G,190.0,Right,83,331437,13.0,1993-02-07,,32529,680000.0,BO,Bolivia,680000.0,EUR,https://api.sofascore.app/api/v1/player/331437/image
Joaquín Lencinas,joaquin-lencinas,J. Lencinas,D,181.0,Right,9,345747,26.0,1988-05-11,,268082,155000.0,AR,Argentina,155000.0,EUR,https://api.sofascore.app/api/v1/player/345747/image
Rubén Cordano Justiniano,ruben-cordano-justiniano,R. C. Justiniano,G,181.0,,18,846777,12.0,1998-10-16,,7059,,BO,Bolivia,,EUR,https://api.sofascore.app/api/v1/player/846777/image
David Akologo,david-akologo,D. Akologo,G,180.0,,25,1184170,99.0,1997-11-15,,33714,94000.0,GH,Ghana,94000.0,EUR,https://api.sofascore.app/api/v1/player/1184170/image
Carlos Lampe,carlos-lampe,C. Lampe,G,192.0,Right,218,47452,1.0,1987-03-17,2024-12-31,7059,315000.0,BO,Bolivia,315000.0,EUR,https://api.sofascore.app/api/v1/player/47452/image
Alejandro Chumacero,alejandro-chumacero,A. Chumacero,M,164.0,Right,66,162707,3.0,1991-04-22,,7878,290000.0,BO,Bolivia,290000.0,EUR,https://api.sofascore.app/api/v1/player/162707/image
Celin Padilla,celin-padilla,C. Padilla,D,175.0,Left,1,1495609,24.0,2004-04-13,,273544,26000.0,BO,Bolivia,26000.0,EUR,https://api.sofascore.app/api/v1/player/1495609/image
Gabriel Esparza,gabriel-esparza,G. Esparza,M,168.0,Left,15,1085228,34.0,1993-01-30,,7878,410000.0,AR,Argentina,410000.0,EUR,https://api.sofascore.app/api/v1/player/1085228/image
Rafinha,rafinha,Rafinha,F,164.0,Right,49,329269,91.0,1993-04-01,,268082,97000.0,BR,Brazil,97000.0,EUR,https://api.sofascore.app/api/v1/player/329269/image
Gustavo Cristaldo,gustavo-cristaldo,G. Cristaldo,M,170.0,Left,22,75655,19.0,1989-05-31,,47700,265000.0,PY,Paraguay,265000.0,EUR,https://api.sofascore.app/api/v1/player/75655/image
Juan Adrián,juan-adrian,J. Adrián,M,165.0,,5,1008535,29.0,1996-03-08,,321264,655000.0,BO,Bolivia,655000.0,EUR,https://api.sofascore.app/api/v1/player/1008535/image
Jonata Machado,jonata-machado,J. Felipe,M,183.0,Both,12,927215,8.0,1999-07-06,,7878,390000.0,BR,Brazil,390000.0,EUR,https://api.sofascore.app/api/v1/player/927215/image
Limberg Gutierrez Mojica,limberg-gutierrez-mojica,L. G. Mojica,M,178.0,Left,1,876306,20.0,1998-06-18,,327860,155000.0,BO,Bolivia,155000.0,EUR,https://api.sofascore.app/api/v1/player/876306/image
Víctor Cuellar,victor-cuellar,V. Cuellar,M,183.0,Right,2,1108509,26.0,2000-09-23,,47700,180000.0,BO,Bolivia,180000.0,EUR,https://api.sofascore.app/api/v1/player/1108509/image
Oscar Valda,oscar-valda,O. Valda,F,,,2,1495670,50.0,2003-04-25,,372975,,,,,EUR,https://api.sofascore.app/api/v1/player/1495670/image
Nicolás Ferreyra,nicolas-ferreyra,N. Ferreyra,D,193.0,Right,38,340839,22.0,1993-03-30,2023-12-31,7059,520000.0,AR,Argentina,520000.0,EUR,https://api.sofascore.app/api/v1/player/340839/image
Diego Corpus,diego-corpus,D. Corpus,D,171.0,Right,3,1184177,27.0,2003-09-07,,32529,180000.0,BO,Bolivia,180000.0,EUR,https://api.sofascore.app/api/v1/player/1184177/image
Ruben Escobar,ruben-escobar,R. Escobar,G,190.0,Right,7,790107,21.0,1991-02-06,,387619,190000.0,PY,Paraguay,190000.0,EUR,https://api.sofascore.app/api/v1/player/790107/image
Daniel Aguilera,daniel-aguilera,D. Aguilera,M,,,0,1564072,46.0,,,423192,,,,,EUR,https://api.sofascore.app/api/v1/player/1564072/image
Leandro Claros,leandro-claros,L. Claros,G,184.0,,1,885576,12.0,1998-03-04,,327860,,BO,Bolivia,,EUR,https://api.sofascore.app/api/v1/player/885576/image
Thiago,thiago,Thiago,M,176.0,Both,3,84604,7.0,1985-01-23,2023-12-31,335685,54000.0,BR,Brazil,54000.0,EUR,https://api.sofascore.app/api/v1/player/84604/image
José Correa,jose-correa,J. Correa,F,185.0,Both,29,233338,27.0,1992-07-20,,273544,495000.0,CO,Colombia,495000.0,EUR,https://api.sofascore.app/api/v1/player/233338/image
Juan Orellana,juan-orellana,J. Orellana,D,179.0,Left,3,874470,15.0,1998-01-02,,335685,160000.0,BO,Bolivia,160000.0,EUR,https://api.sofascore.app/api/v1/player/874470/image
Fernando Saucedo,fernando-saucedo,F. Saucedo,M,173.0,Right,47,127947,20.0,1990-03-15,,7059,270000.0,BO,Bolivia,270000.0,EUR,https://api.sofascore.app/api/v1/player/127947/image
Maximiliano Lemos,maximiliano-lemos,M. Lemos,M,180.0,Right,13,805321,,1993-12-17,,241802,220000.0,UY,Uruguay,220000.0,EUR,https://api.sofascore.app/api/v1/player/805321/image
Nelson Avelino Amarilla Bogado,nelson-avelino-amarilla-bogado,N. A. A. Bogado,D,180.0,,10,47210,29.0,1987-07-20,,33714,69000.0,PY,Paraguay,69000.0,EUR,https://api.sofascore.app/api/v1/player/47210/image
Brayan Aranibar,brayan-aranibar,B. Aranibar,M,166.0,Right,1,946802,14.0,1998-07-15,,33714,130000.0,BO,Bolivia,130000.0,EUR,https://api.sofascore.app/api/v1/player/946802/image
Sebastian Gallegos,sebastian-gallegos,S. Gallegos,M,178.0,Right,14,116096,34.0,1992-01-18,,5034,190000.0,UY,Uruguay,190000.0,EUR,https://api.sofascore.app/api/v1/player/116096/image
Maximiliano Ortíz,maximiliano-ortiz,M. Ortíz,D,179.0,Right,2,846776,6.0,1989-10-11,,47700,230000.0,BO,Bolivia,230000.0,EUR,https://api.sofascore.app/api/v1/player/846776/image
Luis Barboza,luis-barboza,L. Barboza,D,176.0,Right,1,249285,3.0,1993-04-02,,33714,325000.0,BO,Bolivia,325000.0,EUR,https://api.sofascore.app/api/v1/player/249285/image
Marc Enoumba,marc-enoumba,M. Enoumba,D,186.0,Right,27,1008536,4.0,1993-03-04,,273544,525000.0,BO,Bolivia,525000.0,EUR,https://api.sofascore.app/api/v1/player/1008536/image
Freddy Abastoflor,freddy-abastoflor,F. Abastoflor,F,169.0,Right,1,886576,17.0,1983-01-10,2023-12-31,47701,340000.0,BO,Bolivia,340000.0,EUR,https://api.sofascore.app/api/v1/player/886576/image
Diago Giménez,diago-gimenez,D. Giménez,D,183.0,Left,3,895960,3.0,1997-04-30,,268082,475000.0,AR,Argentina,475000.0,EUR,https://api.sofascore.app/api/v1/player/895960/image
Victor Abrego,victor-abrego,V. Abrego,F,177.0,Right,34,1016143,11.0,1997-02-11,,268082,530000.0,BO,Bolivia,530000.0,EUR,https://api.sofascore.app/api/v1/player/1016143/image
Henry Vaca,vaca-henry,H. Vaca,M,166.0,Left,92,878344,10.0,1998-01-27,,274894,650000.0,BO,Bolivia,650000.0,EUR,https://api.sofascore.app/api/v1/player/878344/image
Alejandro Torrez,alejandro-torrez,A. Torrez,G,193.0,,1,1184172,1.0,1998-03-18,,327860,440000.0,BO,Bolivia,440000.0,EUR,https://api.sofascore.app/api/v1/player/1184172/image
Robin Ramírez,robin-ramirez,R. Ramírez,F,171.0,Right,14,75642,22.0,1989-11-11,,372975,160000.0,PY,Paraguay,160000.0,EUR,https://api.sofascore.app/api/v1/player/75642/image
Juan Vogliotti,juan-vogliotti,J. Vogliotti,F,180.0,Right,19,875242,33.0,1985-04-11,,47701,78000.0,AR,Argentina,78000.0,EUR,https://api.sofascore.app/api/v1/player/875242/image
Saidt Mustafa,saidt-mustafa,S. Mustafa,G,187.0,Right,6,875243,1.0,1989-11-26,2023-12-31,47700,320000.0,BO,Bolivia,320000.0,EUR,https://api.sofascore.app/api/v1/player/875243/image
Alejandro Gabriel Quintana,alejandro-gabriel-quintana,A. G. Quintana,F,190.0,Right,16,868706,22.0,1992-02-20,,47701,210000.0,AR,Argentina,210000.0,EUR,https://api.sofascore.app/api/v1/player/868706/image
Jose Berdecio,jose-berdecio,Jose Berdecio,M,177.0,Right,1,1169071,30.0,2002-01-20,,33820,300000.0,BO,Bolivia,300000.0,EUR,https://api.sofascore.app/api/v1/player/1169071/image
Marcos Riquelme,marcos-riquelme,M. Riquelme,F,179.0,Right,51,790008,99.0,1989-06-01,2023-12-31,33820,220000.0,AR,Argentina,220000.0,EUR,https://api.sofascore.app/api/v1/player/790008/image
Pablo Vaca,pablo-vaca,P. Vaca,D,181.0,Right,4,1116477,3.0,2002-05-31,,268083,320000.0,BO,Bolivia,320000.0,EUR,https://api.sofascore.app/api/v1/player/1116477/image
Pablo Pedraza,pablo-pedraza,P. Pedraza,D,189.0,Left,1,249333,3.0,1995-03-10,,32529,245000.0,BO,Bolivia,245000.0,EUR,https://api.sofascore.app/api/v1/player/249333/image
Junior Arias,junior-arias,J. Arias,F,170.0,Right,60,846158,9.0,1993-05-17,2023-12-31,32529,480000.0,UY,Uruguay,480000.0,EUR,https://api.sofascore.app/api/v1/player/846158/image
Alejandro Bejarano,alejandro-bejarano,A. Bejarano,M,170.0,Left,1,131615,30.0,1984-06-21,,372975,68000.0,BO,Bolivia,68000.0,EUR,https://api.sofascore.app/api/v1/player/131615/image
Jimmy Roca,jimmy-roca,J. Roca,G,186.0,Right,4,979326,12.0,1999-05-04,,268083,290000.0,BO,Bolivia,290000.0,EUR,https://api.sofascore.app/api/v1/player/979326/image
Marcos de Lima,marcos-de-lima,M. d. Lima,F,175.0,Right,1,947067,35.0,1997-06-10,,372975,73000.0,BO,Bolivia,73000.0,EUR,https://api.sofascore.app/api/v1/player/947067/image
José Sagredo,jose-sagredo,J. Sagredo,D,180.0,Left,22,815445,4.0,1994-03-10,,7059,765000.0,BO,Bolivia,765000.0,EUR,https://api.sofascore.app/api/v1/player/815445/image
Cristhian Machado,cristhian-machado,C. Machado,M,173.0,Right,4,147479,15.0,1990-06-20,,7878,195000.0,BO,Bolivia,195000.0,EUR,https://api.sofascore.app/api/v1/player/147479/image
Diego Daniel Medina Roman,diego-daniel-medina-roman,D. D. M. Roman,D,175.0,Right,35,1114079,2.0,2002-01-13,,268083,805000.0,BO,Bolivia,805000.0,EUR,https://api.sofascore.app/api/v1/player/1114079/image
Widen Saucedo,widen-saucedo,W. Saucedo,D,,,1,931652,23.0,1997-03-01,2023-12-31,47700,465000.0,BO,Bolivia,465000.0,EUR,https://api.sofascore.app/api/v1/player/931652/image
Bruno Miranda,bruno-miranda,B. Miranda,F,180.0,Left,30,836165,90.0,1998-02-10,2024-12-31,273544,450000.0,BO,Bolivia,450000.0,EUR,https://api.sofascore.app/api/v1/player/836165/image
Jaime Arrascaita,jaime-arrascaita,J. Arrascaita,M,183.0,Right,31,350568,30.0,1993-09-02,2023-12-31,32529,590000.0,BO,Bolivia,590000.0,EUR,https://api.sofascore.app/api/v1/player/350568/image
Miguel,miguel,Miguel,F,191.0,Right,18,378642,,1992-05-14,2024-06-30,25228,275000.0,BR,Brazil,275000.0,EUR,https://api.sofascore.app/api/v1/player/378642/image
Rodrigo Ruiz Díaz,rodrigo-ruiz-diaz,R. Ruiz Díaz,F,175.0,Right,18,877519,22.0,1999-01-15,,90968,490000.0,PY,Paraguay,490000.0,EUR,https://api.sofascore.app/api/v1/player/877519/image
Miguel Villaroel,miguel-villaroel,M. Villaroel,M,173.0,Right,8,1116679,16.0,2003-01-10,,7059,370000.0,BO,Bolivia,370000.0,EUR,https://api.sofascore.app/api/v1/player/1116679/image
