bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.id,team.id
0,13,0,1,0,61.54,0,16.67,8,7,0,0,5,1,0.0,7.7,145054,1955
0,34,1,8,0,47.06,0,32.0,16,12,0,0,18,4,0.0,7.6,1507616,1982
0,186,5,33,0,66.13,0,34.38,123,107,0,0,63,16,0.0,7.5,840103,1966
11,919,324,55,7,83.13,77,62.5,764,238,70,3,155,596,33.49,7.49,840020,1963
12,780,264,31,10,71.92,59,59.62,561,136,25,1,219,450,20.33,7.45,34705,1977
0,35,1,4,0,42.86,0,16.67,15,14,0,0,20,1,0.0,7.45,839514,5926
0,105,4,3,0,83.81,0,33.33,88,67,0,0,17,21,0.0,7.33,358530,1968
0,58,2,14,0,39.66,0,28.57,23,12,0,0,35,11,0.0,7.3,1106840,1955
0,108,8,25,0,50.0,0,31.65,54,36,0,0,54,18,0.0,7.3,1119887,1967
5,379,163,29,3,77.04,25,64.44,292,75,10,0,87,227,25.64,7.29,147464,1963
10,990,360,29,11,71.92,48,59.18,712,184,1,0,278,529,3.33,7.27,16943,5926
0,83,0,17,0,68.67,1,39.53,57,50,0,0,26,7,0.0,7.27,34141,1963
2,631,155,35,4,71.63,31,72.92,452,158,5,0,179,299,38.46,7.26,789100,1958
11,776,267,30,5,78.87,46,60.0,612,161,25,1,164,476,22.32,7.24,333587,5981
1,1114,35,55,0,89.5,2,51.4,997,749,0,0,117,248,0.0,7.21,338937,1981
0,382,15,82,0,73.04,0,44.81,279,229,0,0,103,50,0.0,7.21,1140986,5981
0,644,16,101,0,77.17,0,42.8,497,449,0,0,147,48,0.0,7.21,1105835,5981
9,829,284,34,4,79.98,76,55.74,663,180,53,1,166,536,38.13,7.2,808785,1967
0,15,2,2,0,73.33,0,40.0,11,9,0,0,4,2,0.0,7.2,942061,1954
0,14,0,0,0,78.57,0,0.0,11,11,0,0,3,0,0.0,7.2,879859,2020
0,62,1,21,0,58.06,1,45.65,36,21,0,0,26,15,0.0,7.2,1018555,1977
3,107,39,4,0,79.44,6,100.0,85,20,3,0,22,68,33.33,7.18,1046501,2020
1,232,79,8,3,79.74,18,66.67,185,58,2,0,47,129,18.18,7.17,954719,1982
1,290,42,6,1,61.72,5,50.0,179,80,1,0,111,100,7.69,7.17,583974,1974
2,732,38,38,2,89.75,3,67.86,657,453,0,0,75,204,0.0,7.16,826343,1957
9,1269,463,35,6,82.19,73,67.31,1043,283,48,0,226,808,28.57,7.15,331397,1999
2,965,311,18,2,82.69,35,81.82,798,247,3,0,167,554,16.67,7.15,885179,1977
0,1244,87,133,0,83.6,2,53.41,1040,719,0,0,204,321,0.0,7.15,385916,1977
2,907,226,61,2,85.34,46,75.31,774,315,27,0,133,486,38.57,7.15,245159,1954
5,1683,421,115,1,79.44,57,61.83,1337,534,19,1,346,822,19.79,7.14,870556,1999
0,95,5,19,0,61.05,0,33.93,58,45,0,0,37,13,0.0,7.13,358418,2020
4,1616,350,113,2,79.08,54,50.22,1278,576,42,0,338,744,25.77,7.13,870787,1954
0,833,42,178,0,63.27,0,36.93,527,423,0,0,306,104,0.0,7.13,844576,1999
0,253,89,4,2,67.59,13,80.0,171,43,4,0,82,132,36.36,7.13,340519,1981
0,877,27,239,0,65.91,1,45.18,578,456,0,0,299,122,0.0,7.12,870748,1977
1,1020,91,144,1,85.59,6,63.72,873,568,2,0,147,307,25.0,7.12,250351,1963
0,932,143,106,0,83.58,8,59.22,779,422,2,0,153,359,40.0,7.12,869643,1999
0,1995,240,126,1,88.67,12,59.72,1769,1035,3,0,226,737,27.27,7.12,358548,5981
1,2113,226,140,1,89.3,6,58.58,1887,1124,3,0,226,766,21.43,7.12,840220,5981
11,1288,268,83,6,87.81,40,68.03,1131,559,30,0,157,602,27.03,7.12,273329,1963
0,823,0,60,0,87.12,0,38.46,717,702,0,0,106,15,0.0,7.12,17785,1961
3,1301,490,16,7,85.78,51,43.24,1116,361,27,1,185,782,17.88,7.11,844096,1961
0,965,26,229,0,66.01,0,41.86,637,491,0,0,328,146,0.0,7.11,358524,1955
1,811,163,93,1,83.11,20,59.62,674,337,7,1,137,344,31.82,7.11,82576,1963
0,819,35,213,0,59.58,1,39.44,488,366,0,0,331,122,0.0,7.11,871290,1958
8,1124,485,30,6,79.72,73,53.57,896,152,29,0,228,773,23.02,7.11,255873,1955
3,377,122,17,1,83.02,15,70.83,313,104,1,0,64,210,10.0,7.11,1105970,1957
0,464,142,22,1,78.45,17,66.67,364,119,3,1,100,248,14.29,7.11,777341,1957
0,69,2,10,0,73.91,1,52.63,51,42,0,0,18,9,0.0,7.1,583824,1982
1,65,13,6,0,87.69,1,100.0,57,34,3,0,8,26,42.86,7.1,931574,1968
0,29,0,6,0,89.66,0,100.0,26,21,0,0,3,5,0.0,7.1,1111123,1999
1,596,41,63,2,84.73,3,52.5,505,359,1,0,91,147,20.0,7.09,44691,1974
5,1140,79,86,4,73.16,14,36.13,834,584,1,0,306,251,14.29,7.08,1047740,1968
0,1010,20,228,0,76.34,1,49.03,771,673,0,0,239,98,0.0,7.08,124980,1954
5,770,258,13,1,82.34,38,40.63,634,194,17,0,136,457,48.57,7.08,1106839,5926
2,683,61,53,0,81.99,4,50.0,560,383,0,0,123,177,0.0,7.08,1199282,1957
2,1198,90,83,2,89.4,7,63.85,1071,733,0,0,127,338,0.0,7.07,874729,1963
2,1510,303,112,1,82.45,26,65.88,1245,584,7,0,265,668,23.33,7.07,243113,1966
11,1362,476,52,7,87.52,56,76.47,1192,369,7,0,170,830,23.33,7.07,611876,5981
0,1466,35,80,1,85.06,2,47.62,1247,924,0,0,219,323,0.0,7.07,795261,1958
0,142,6,3,0,83.1,0,27.27,118,61,0,0,24,57,0.0,7.07,1129429,2020
