name,slug,shortName,gender,userCount,nameCode,disabled,national,type,team.id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text,team.image
Nacional Potosí,nacional-potosi,Nacional Potosí,M,6640,CNP,,False,0,47700,Nacional Potosí,-875232000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Victor Agustín Ugarte,32115.0,1046.0,BO,Bolivia,BO,Bolivia,#ffffff,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/47700/image
Bolívar,bolivar,Bolívar,M,22854,BOL,False,False,0,7059,Bolívar,-1411344000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Hernando Siles,42000.0,984.0,BO,Bolivia,BO,Bolivia,#33ccff,#330066,#330066,https://api.sofascore.app/api/v1/team/7059/image
Always Ready,always-ready,Always Ready,M,13798,ARE,False,False,0,268083,Always Ready,-1158796800.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Municipal de El Alto,,25589.0,BO,Bolivia,BO,Bolivia,#ffffff,#cc252b,#cc252b,https://api.sofascore.app/api/v1/team/268083/image
FC Libertad Gran Mamoré,fc-libertad-gran-mamore,Libertad Gran Mamoré,M,2226,LIB,,False,0,423192,FC Libertad Gran Mamoré,,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,BO,Bolivia,#008000,#222226,#222226,https://api.sofascore.app/api/v1/team/423192/image
Blooming,blooming,Blooming,M,7233,BLO,False,False,0,6968,Blooming,-747014400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Ramon Tahuichi Aguilera,38000.0,1140.0,BO,Bolivia,BO,Bolivia,#0099ff,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/6968/image
Jorge Wilstermann,jorge-wilstermann,Wilstermann,M,7649,JOW,,False,0,7878,Jorge Wilstermann,-634435200.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Felix Capriles,35000.0,1195.0,BO,Bolivia,BO,Bolivia,#ffffff,#000033,#000033,https://api.sofascore.app/api/v1/team/7878/image
Palmaflor del Trópico,palmaflor-del-tropico,Palmaflor,M,3930,PAL,False,False,0,321264,Palmaflor del Trópico,1220832000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,BO,Bolivia,#e4b23f,#00a056,#00a056,https://api.sofascore.app/api/v1/team/321264/image
FC Universitario de Vinto,fc-universitario-de-vinto,Univ. de Vinto,M,2478,UVI,,False,0,268082,FC Universitario de Vinto,1111536000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,BO,Bolivia,#ffffff,#e50412,#e50412,https://api.sofascore.app/api/v1/team/268082/image
The Strongest,the-strongest,The Strongest,M,22083,STR,False,False,0,32529,The Strongest,-1948147200.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Hernando Siles,42000.0,984.0,BO,Bolivia,BO,Bolivia,#ffcc00,#000000,#000000,https://api.sofascore.app/api/v1/team/32529/image
Oriente Petrolero,oriente-petrolero,Oriente,M,5875,ORP,False,False,0,33820,Oriente Petrolero,-446774400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Ramon Tahuichi Aguilera,38000.0,1140.0,BO,Bolivia,BO,Bolivia,#009900,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/33820/image
Royal Pari Sion,royal-pari-sion,Royal Pari,M,3918,ROP,,False,0,273544,Royal Pari Sion,747878400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,BO,Bolivia,#ff0000,#0000ff,#0000ff,https://api.sofascore.app/api/v1/team/273544/image
Independiente Petrolero,independiente-petrolero,Independiente Petrolero,M,3669,IND,,False,0,372975,Independiente Petrolero,-1191110400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Olimpico Patria,32000.0,1201.0,BO,Bolivia,BO,Bolivia,#fc0601,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/372975/image
Club Aurora,club-aurora,Club Aurora,M,5336,AUR,,False,0,33714,Club Aurora,-1091923200.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Felix Capriles,35000.0,1195.0,BO,Bolivia,BO,Bolivia,#33ccff,#66ccff,#66ccff,https://api.sofascore.app/api/v1/team/33714/image
Club Vaca Díez,club-vaca-diez,Club Vaca Díez,M,2725,VDI,,False,0,327910,Club Vaca Díez,-561340800.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,BO,Bolivia,#3392ff,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/327910/image
CD Real Tomayapo,cd-real-tomayapo,CD Real Tomayapo,M,3705,REA,,False,0,335685,CD Real Tomayapo,917913600.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio IV Centenario,,15969.0,BO,Bolivia,BO,Bolivia,#00661a,#de1021,#de1021,https://api.sofascore.app/api/v1/team/335685/image
Guabirá,guabira,Guabirá,M,3609,GUA,False,False,0,47701,Guabirá,-243561600.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Gilberto Parada,15000.0,3042.0,BO,Bolivia,BO,Bolivia,#8e0000,#fdfdfd,#fdfdfd,https://api.sofascore.app/api/v1/team/47701/image
CD Real Santa Cruz,cd-real-santa-cruz,Real Santa Cruz,M,2299,RSC,False,False,0,327860,CD Real Santa Cruz,-241920000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Estadio Juan Carlos Duran,,31676.0,BO,Bolivia,BO,Bolivia,#ffffff,#000000,#000000,https://api.sofascore.app/api/v1/team/327860/image
