saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,rating,player.id,team.id
7,3,0,0,1,4,0,0,0,0,0,0,0,8.6,890061,47700
0,0,0,0,0,0,0,0,8,0,0,5,0,7.73,840066,7059
0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,989584,268083
11,5,2,0,0,6,2,0,3,2,0,0,1,7.5,989573,423192
0,0,0,0,0,0,0,0,32,0,0,1,0,7.46,1476548,6968
3,1,0,0,1,2,0,0,0,0,0,0,1,7.4,1184211,7878
0,0,0,0,1,0,0,0,14,0,0,3,0,7.38,579384,321264
0,0,0,0,6,0,0,0,25,0,0,5,0,7.37,1099312,268083
0,0,0,0,6,0,0,0,33,0,0,4,0,7.33,897007,47700
0,0,0,0,1,0,0,0,7,0,0,0,0,7.3,1184178,268082
0,0,0,0,8,0,0,0,19,0,0,2,0,7.29,386274,268082
0,0,0,0,6,0,0,0,24,0,0,2,0,7.29,340419,32529
22,13,9,0,3,9,0,1,4,0,0,1,2,7.28,894214,268083
0,0,0,0,3,0,0,0,32,0,0,4,0,7.28,38406,47700
0,0,0,0,2,0,0,0,6,0,0,3,0,7.26,311400,33820
0,0,0,0,6,0,0,0,18,0,0,6,0,7.25,805150,7059
0,0,0,0,5,0,0,0,22,0,0,6,0,7.25,931426,268083
0,0,0,0,1,0,0,0,24,0,0,3,0,7.24,868702,47700
0,0,0,0,1,0,0,0,15,0,0,10,0,7.23,876307,7059
0,0,0,0,2,0,0,0,21,0,0,1,0,7.22,72872,32529
0,0,0,0,8,0,0,0,31,0,0,5,0,7.21,815461,47700
0,0,0,0,2,0,0,0,24,0,0,3,0,7.21,223728,273544
0,0,0,0,3,0,0,0,34,0,0,4,0,7.19,789878,273544
0,0,0,0,11,0,0,0,10,0,0,4,0,7.18,122667,7878
0,0,0,0,8,0,0,0,31,0,0,8,0,7.18,846524,372975
91,45,22,0,12,46,2,8,15,2,1,3,13,7.17,870493,7878
0,0,0,0,3,0,0,0,38,0,0,9,0,7.17,1468327,321264
0,0,0,0,5,0,0,0,21,0,0,7,0,7.15,839459,33714
0,0,0,0,2,0,0,0,42,0,0,7,0,7.15,819655,327910
0,0,0,0,5,0,0,0,20,0,0,5,0,7.15,1000182,268083
0,0,0,0,0,0,0,0,6,0,0,2,0,7.15,866847,7059
0,0,0,0,7,0,0,0,20,0,0,4,0,7.15,340857,335685
0,0,0,0,1,0,0,0,12,0,0,0,0,7.15,1017472,32529
0,0,0,0,0,0,0,0,6,0,0,0,0,7.15,590260,32529
57,24,18,0,10,33,2,3,13,2,0,0,14,7.14,34430,268082
0,0,0,0,1,0,0,0,17,0,0,3,0,7.14,1099313,268083
0,0,0,0,5,0,0,0,11,0,0,6,0,7.13,944708,372975
0,0,0,0,2,0,0,0,15,0,0,4,0,7.13,866405,33714
0,0,0,0,1,0,0,0,6,0,0,1,0,7.13,796451,7878
