goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.7,145054,1955
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.6,1507616,1982
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.5,840103,1966
9,50.98,25,0,3,1,7.07,84,10.71,13,2,6,4,31,2,1,7,50.0,26,28,1,6,0,7.69,7.49,840020,1963
14,55.48,29,2,3,3,11.83,117,11.97,32,1,21,6,47,5,2,11,100.0,81,41,5,11,2,6.25,7.45,34705,1977
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.45,839514,5926
1,100.0,2,0,0,0,0.39,8,12.5,0,0,0,0,2,0,0,0,0.0,1,4,0,1,1,0.0,7.33,358530,1968
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.3,1106840,1955
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.3,1119887,1967
3,68.33,12,0,0,1,2.45,35,8.57,0,1,3,1,10,0,0,0,0.0,41,13,0,3,2,0.0,7.29,147464,1963
14,36.71,23,1,2,7,11.56,117,11.97,11,0,25,14,50,1,1,5,0.0,29,44,0,12,9,9.09,7.27,16943,5926
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.27,34141,1963
17,60.34,23,1,1,0,12.39,80,21.25,1,4,13,2,31,7,0,2,71.43,35,26,5,16,11,0.0,7.26,789100,1958
7,70.0,15,1,1,3,4.42,48,14.58,4,3,4,5,15,0,1,1,0.0,35,18,0,6,3,25.0,7.24,333587,5981
0,100.0,5,0,0,1,0.93,15,0.0,0,0,4,0,4,0,0,0,0.0,3,6,0,0,0,0.0,7.21,338937,1981
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.21,1140986,5981
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.21,1105835,5981
4,65.38,21,0,1,2,5.28,63,6.35,10,0,5,1,19,3,0,0,100.0,34,23,3,3,4,0.0,7.2,808785,1967
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.2,942061,1954
