name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Lautaro Giannetti,lautaro-giannetti,L. Giannetti,D,184.0,Right,162,233856,17.0,1993-11-13,2023-12-31,3208,3100000.0,AR,Argentina,3100000.0,EUR,https://api.sofascore.app/api/v1/player/233856/image
Benjamín Rollheiser,benjamin-rollheiser,B. Rollheiser,F,175.0,Left,949,922454,10.0,2000-03-24,2025-06-30,3206,7200000.0,AR,Argentina,7200000.0,EUR,https://api.sofascore.app/api/v1/player/922454/image
Kevin Mac Allister,kevin-mac-allister,K. Mac Allister,D,175.0,Right,753,895327,5.0,1997-11-07,2026-06-30,4860,4099999.0,AR,Argentina,4099999.0,EUR,https://api.sofascore.app/api/v1/player/895327/image
Alexis Martín Arias,alexis-martin-arias,A. M. Arias,G,185.0,Right,69,340849,25.0,1992-07-04,2023-12-31,3216,680000.0,AR,Argentina,680000.0,EUR,https://api.sofascore.app/api/v1/player/340849/image
Mateo Retegui,mateo-retegui,M. Retegui,F,186.0,Right,3621,914501,19.0,1999-04-29,2028-06-30,2713,15500000.0,IT,Italy,15500000.0,EUR,https://api.sofascore.app/api/v1/player/914501/image
Guido Herrera,guido-herrera,G. Herrera,G,187.0,Left,76,248977,22.0,1992-02-29,2026-12-31,3210,1900000.0,AR,Argentina,1900000.0,EUR,https://api.sofascore.app/api/v1/player/248977/image
Abel Luciatti,abel-luciatti,A. Luciatti,D,180.0,Left,40,340727,6.0,1993-03-18,2023-12-31,7628,1400000.0,AR,Argentina,1400000.0,EUR,https://api.sofascore.app/api/v1/player/340727/image
Matías Melluso,matias-melluso,M. Melluso,D,168.0,Left,195,895931,32.0,1998-06-09,2026-05-31,171626,1400000.0,AR,Argentina,1400000.0,EUR,https://api.sofascore.app/api/v1/player/895931/image
Andres Desabato,desabato-andres,A. Desabato,G,183.0,Right,16,941546,1.0,1990-03-30,2023-12-31,65668,205000.0,AR,Argentina,205000.0,EUR,https://api.sofascore.app/api/v1/player/941546/image
Miguel Torren,miguel-torren,M. Torren,D,179.0,Right,82,76383,2.0,1988-08-12,2025-12-31,3216,365000.0,AR,Argentina,365000.0,EUR,https://api.sofascore.app/api/v1/player/76383/image
